mall,type,shop_category_id,shop_category_name,update_date
CityGate,Shopping,men,Men,2022-01-16
CityGate,Shopping,women,Women,2022-01-16
CityGate,Shopping,kids,Kids,2022-01-16
CityGate,Shopping,sports,Sports & Outdoor,2022-01-16
CityGate,Shopping,shoes,Shoes,2022-01-16
CityGate,Shopping,accessories bags,Accessories & Bags,2022-01-16
CityGate,Shopping,watch-jewellery,Watch & Jewellery,2022-01-16
CityGate,Shopping,beauty,Beauty,2022-01-16
CityGate,Shopping,others,Others,2022-01-16
CityGate,Dining,asian,Asian Delights,2022-01-16
CityGate,Dining,cafe bar,Café and Bar,2022-01-16
CityGate,Dining,food court,Food Court,2022-01-16
CityGate,Dining,japanese,Japanese Cuisine,2022-01-16
CityGate,Dining,western,Western Gourmet,2022-01-16
CityGate,Dining,others,Others,2022-01-16
CityGate,Dining,sweets confectionery,Sweets & Confectionery,2022-01-16
