mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
CityGate,Shopping,6ixty-8ight,6ixty 8ight,6ixty 8ight,L4 408,4F,28138807,10:00 - 20:30;,,,women,Women,,2022-01-16
CityGate,Shopping,adidas-outlet,adidas Outlet,adidas Outlet,"GF 06 - 10, L1 108",1F,21093010,11:00 - 21:00;,,,men;women;sports;shoes,Men;Women;Sports & Outdoor;Shoes,,2022-01-16
CityGate,Shopping,aigle,AIGLE,AIGLE,L1 109,1F,23112862,"11:00-20:00 (Sun-Thu);11:00-20:30 (Fri, Sat & Public Holiday);",,,men;women;sports;shoes,Men;Women;Sports & Outdoor;Shoes,,2022-01-16
CityGate,Shopping,american-eagle,American Eagle,American Eagle,L4 409,4F,,11:00 - 21:00 (Sat - Sun);11:00 - 20:00 (Mon - Fri);,,,women;men,Women;Men,,2022-01-16
CityGate,Shopping,americanvintage,American Vintage,American Vintage,L3 320,3F,29881366,11:00-21:00;,,,women,Women,,2022-01-16
CityGate,Shopping,anagram,Anagram,Anagram,L3 316,3F,,,,,women,Women,,2022-01-16
CityGate,Shopping,anteprima-outlet,Anteprima Outlet,ANTEPRIMA OUTLET,L2 226,2F,21091588,11:00 - 20:00;,,,women,Women,,2022-01-16
CityGate,Shopping,arcteryx,Arc’teryx,始祖鳥,L1 107,1F,28987228,11:00-21:00;,,,men;women;sports,Men;Women;Sports & Outdoor,,2022-01-16
CityGate,Shopping,armani-outlet,Armani Outlet,Armani Outlet,L2 293 - 294,2F,21093774,11:00-20:00;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,arte,Arte,Arte,L2 254,2F,21519456,10:30 - 21:00;,,,accessories bags;watch-jewellery,Accessories & Bags;Watch & Jewellery,,2022-01-16
CityGate,Shopping,ashworth,Ashworth,雅獅威,L2 288,2F,23667353,11:00 - 20:00;,,,men;women;sports,Men;Women;Sports & Outdoor,,2022-01-16
CityGate,Shopping,asics,ASICS,ASICS,GF 17,GF,28853508,11:00 - 21:00;,,,men;women;sports,Men;Women;Sports & Outdoor,,2022-01-16
CityGate,Shopping,a-testoni,a. testoni,a. testoni,L2 267,2F,21092623,"11:30-20:30 Monday-Friday;10:30-20:30 Saturday, Sunday and public holidays;",,,men;women;shoes;accessories bags,Men;Women;Shoes;Accessories & Bags,,2022-01-16
CityGate,Shopping,atsuro-tayama-outlet,ATSURO TAYAMA OUTLET,ATSURO TAYAMA OUTLET,L3 314,3F,25060668,11:00 - 20:00;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,bally,Bally,Bally,L2 213 - 216,2F,21090975,11:00 - 20:30;,,,men;women;shoes;accessories bags,Men;Women;Shoes;Accessories & Bags,,2022-01-16
CityGate,Shopping,barocco,Barocco,Barocco,L5 504,5F,22641298,11:00-20:00;,,,kids,Kids,,2022-01-16
CityGate,Shopping,bluebell-outlet,Bluebell Outlet,Bluebell Outlet,L2 278,2F,23043566,10:00-21:30;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,boggi-milano-outlet,Boggi Milano Outlet,Boggi Milano Outlet,L2 282,2F,21101256,11:00 - 20:00;,,,men,Men,,2022-01-16
CityGate,Shopping,bora-aksu,BORA AKSU,BORA AKSU,L2 217 - 218,2F,28680627,10:00 - 21:00;,,,women,Women,,2022-01-16
CityGate,Shopping,bose,Bose,Bose,L2 224,2F,21968195,11:00 - 21:00;,,,others,Others,,2022-01-16
CityGate,Shopping,breitling,Breitling,百年靈,L2 292,2F,,11:00 - 20:00;,,,accessories bags;watch-jewellery,Accessories & Bags;Watch & Jewellery,,2022-01-16
CityGate,Shopping,bricks-house,Bricks House,Bricks House,L5 506,5F,67486660,Mon-Fri: 12:00 - 20:00;Sat & Sun: 11:00 - 20:00;,,,kids,Kids,,2022-01-16
CityGate,Shopping,brooks-brothers-factory-store,Brooks Brothers,Brooks Brothers,L2 283,2F,21091908,10:30 - 21:30;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,burberry,Burberry,Burberry,L2 261 - 262,2F,21090566,11:00 - 21:00;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,calvin-klein-outlet,Calvin Klein Outlet,Calvin Klein Outlet,L2 226A,2F,21090671,11:00 - 21:00 (Fri - Sun & PH);11:00 - 20:00 (Mon - Thu);,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,calvin-klein-underwear,CALVIN KLEIN UNDERWEAR,CALVIN KLEIN UNDERWEAR,L2 206,2F,21093622,10:30 – 21:00;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,cath-kidston,Cath Kidston,Cath Kidston,L4 403,4F,,10:30am- 9:30pm;,,,accessories bags;others,Accessories & Bags;Others,,2022-01-16
CityGate,Shopping,cdf-beauty,cdf Beauty,cdf Beauty,L2 274 - 277,2F,67322709,11:00-21:00;,,,beauty,Beauty,,2022-01-16
CityGate,Shopping,chevignon,Chevignon,尚飛揚,L4 405,4F,26880033,"Mon to Fri: 1100 – 2100,;Sat, Sun, PH: 1100 – 2130;",,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,chickeeduck,CHICKEEDUCK OUTLET,CHICKEEDUCK OUTLET,L5 507,5F,27736939,11:30-20:30;,,,kids,Kids,,2022-01-16
CityGate,Shopping,chole,Chloe,Chloe,L2 210,2F,24934938,11:00-20:00;,,,women;accessories bags,Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,chow-sang-sang,Chow Sang Sang,Chow Sang Sang,L3 309C,3F,,,,,watch-jewellery,Watch & Jewellery,,2022-01-16
CityGate,Shopping,chow-tai-fook,CHOW TAI FOOK,CHOW TAI FOOK,L3 309B,3F,25268649,10:30 - 21:00;,,,watch-jewellery,Watch & Jewellery,,2022-01-16
CityGate,Shopping,city-chain-glam-timepieces,City Chain GLAM Timepieces,City Chain GLAM Timepieces,L3 307,3F,,10:00 - 22:00;,,,watch-jewellery,Watch & Jewellery,,2022-01-16
CityGate,Shopping,city-chain-outlet,City Chain Outlet,City Chain Outlet,GF 16,GF,,10:00 - 22:00;,,,watch-jewellery,Watch & Jewellery,,2022-01-16
CityGate,Shopping,clarks,Clarks,Clarks,L3 310,3F,24070808,10:00 - 20:30;,,,shoes,Shoes,,2022-01-16
CityGate,Shopping,claudie-pierlot,Claudie Pierlot,Claudie Pierlot,L3 311,3F,28051884,10:30 - 21:00;,,,women,Women,,2022-01-16
CityGate,Shopping,club-21-outlet,Club 21 Outlet,Club 21 Outlet,L3 303,3F,21092270,10:00 - 21:00;,,,men;women;kids,Men;Women;Kids,,2022-01-16
CityGate,Shopping,club-monaco-studio,Club Monaco Studio,Club Monaco Studio,L2 239 - 240,2F,21130127,10:00 – 21:30;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,coach-mens-factory,Coach Men's Factory,Coach Men's Factory,L2 290,2F,21093880,11:00-20:30  (Mon - Thu);11:00-21:00  (Fri - Sun);;,,,men;accessories bags,Men;Accessories & Bags,,2022-01-16
CityGate,Shopping,coach-outlet,Coach Outlet,Coach Outlet,L2 244 - 247,2F,28669065,11:00-20:30  (Mon - Thu);11:00-21:00  (Fri - Sun);;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,cocktail,Cocktail,Cocktail,L3 314,3F,25060668,11:00 - 20:00;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,cole-haan-outlet,Cole Haan Outlet,Cole Haan Outlet,L2 232,2F,21099983,10:30 - 20:30;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,columbia-sportswear-company,Columbia Sportswear Company,Columbia Sportswear Company,L1 103B,1F,63913069,11:00-21:00 (Monday to Friday);11:00-21:30 (Saturday to Sunday and public holidays);,,,men;women;sports,Men;Women;Sports & Outdoor,,2022-01-16
CityGate,Shopping,crcare,CRCare,華潤堂,L5 512,5F,28805520,10:00-21:00;,,,beauty,Beauty,,2022-01-16
CityGate,Shopping,crocs-outlet,Crocs Outlet,Crocs Outlet,L1 101G,1F,21091013,11:30-19:00 (Mon- Fri);11:00-20:00 (Sat- Sun & Pubic Holidays);,,,shoes,Shoes,,2022-01-16
CityGate,Shopping,daks,Daks,Daks,L2 268,2F,29189338,11:00 - 20:00;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,descente,Descente,Descente,L2 281,2F,,,,,sports,Sports & Outdoor,,2022-01-16
CityGate,Shopping,dickies,Dickies,Dickies,GF 01E,GF,31934127,12:00-19:00;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,dior-beauty,Dior Beauty,Dior Beauty,L2 272,2F,,10:00-21:00;,,,beauty,Beauty,,2022-01-16
CityGate,Shopping,dr-kong-footcare-outlet,Dr. Kong Footcare Outlet,Dr. Kong Footcare Outlet,L4 404,4F,21093283,10:00 - 20:30;,,,shoes,Shoes,,2022-01-16
CityGate,Shopping,dunhill,Alfred Dunhill,Alfred Dunhill,L2 257,2F,21094300,"11:00 – 21:00 (Mon - Fri),;10:00 – 21:00 (Sat - Sun);",,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,duty-zero,DUTY ZERO by cdf,DUTY ZERO by cdf,L2 284,2F,97389306,11:00 - 20:00;,,,others,Others,,2022-01-16
CityGate,Shopping,ecco,ecco Outlet,ecco Outlet,L3 331,3F,27117213,10:00 - 20:30 (Mon - Sun);,,,men;women;shoes,Men;Women;Shoes,,2022-01-16
CityGate,Shopping,egg-optical-with-smiley,eGG Optical with Smiley,eGG Optical with Smiley,L4 402B,4F,,11:00 - 21:00;,,,accessories bags,Accessories & Bags,,2022-01-16
CityGate,Shopping,ellesse,ellesse,ellesse,GF 01D,GF,26389023,11:30-20:30;,,,sports;men;women;shoes,Sports & Outdoor;Men;Women;Shoes,,2022-01-16
CityGate,Shopping,ermenegildo-zegna,Ermenegildo Zegna,傑尼亞,"L2 299B, L2 299C",2F,,11:00-20:00;,,,men;women;accessories bags,Men;Women;Accessories & Bags,,2022-01-16
CityGate,Shopping,evisu-outlet,EVISU OUTLET,EVISU OUTLET,L3 336,3F,22347268,11:30-20:30;,,,men;women,Men;Women,,2022-01-16
CityGate,Shopping,fila,FILA,FILA,L1 102,1F,64154799,11:00 - 21:00;,,,sports;men;women;shoes,Sports & Outdoor;Men;Women;Shoes,,2022-01-16
CityGate,Shopping,fila-fusion,Fila Fusion,Fila Fusion,GF 11,GF,27364608,11:00 - 20:00 (Mon - Thu);11:00 - 20:30 (Fri-Sun & Public Holiday);;,,,sports;men;women;shoes,Sports & Outdoor;Men;Women;Shoes,,2022-01-16
CityGate,Shopping,fortress,Fortress,豐澤,L5 502,5F,26316199,11:00 - 21:00;,,,others,Others,,2022-01-16
CityGate,Shopping,furla,Furla,Furla,L2 269 - 270,2F,21092908,"11:00 - 20:00 (Mon - Thur),;11:00 - 21:00 (Fri - Sun);",,,accessories bags,Accessories & Bags,,2022-01-16
CityGate,Shopping,g2000,G2000,G2000,L4 414,4F,27538699,11:00 – 21:00;,,,men;women,Men;Women,,2022-01-16
