mall,type,shop_category_id,shop_category_name,update_date
CityPlaza,Shopping,accessories-jewellery-optical,"Accessories, Jewellery & Optical",2022-01-16
CityPlaza,Shopping,banks-otherservices,Banks & Services,2022-01-16
CityPlaza,Shopping,beauty-personal-care,Beauty & Personal Care,2022-01-16
CityPlaza,Shopping,childrenwear-kids,Children's Wear & Kids' Accessories,2022-01-16
CityPlaza,Shopping,electronic-appliances-gadgets,Electronic Appliances & Gadgets,2022-01-16
CityPlaza,Shopping,fashion-apparel-shoes,"Fashion, Apparel & Shoes",2022-01-16
CityPlaza,Shopping,lifestyle,Lifestyle & Entertainment,2022-01-16
CityPlaza,Shopping,major-stores,Major Stores,2022-01-16
CityPlaza,Shopping,sportswear-and-equipment,Sportswear & Equipment,2022-01-16
CityPlaza,Shopping,travel-travel-accessories,Travel & Travel Accessories,2022-01-16
CityPlaza,Shopping,new-shop,New Shop,2022-01-16
CityPlaza,Shopping,liveplus,LIVE+ Offers,2022-01-16
CityPlaza,Dining,asian-delights,Asian Delights,2022-01-16
CityPlaza,Dining,chinese-treasures,Chinese Treasures,2022-01-16
CityPlaza,Dining,coffee-leisure,Coffee Leisure,2022-01-16
CityPlaza,Dining,food-court,Food Court,2022-01-16
CityPlaza,Dining,quick-bites,Quick Bites,2022-01-16
CityPlaza,Dining,sweets-snacks,Sweets & Snacks,2022-01-16
CityPlaza,Dining,western-delicacies,Western Delicacies ,2022-01-16
CityPlaza,Dining,new-shop,New Shop,2022-01-16
CityPlaza,Dining,liveplus,LIVE+ Offers,2022-01-16
