mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
CityPlaza,Shopping,22-hair-and-nail,22 hair.nail,22 hair.nail,"L1, 119A",1F,31050888,Monday – Sunday 11:00 – 19:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,aape,AAPE BY *A BATHING APE®,AAPE BY *A BATHING APE®,"GF, 020",GF,23637385,Sunday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,abc-cooking-studio,ABC Cooking Studio,ABC Cooking Studio,"L1, 148",1F,25681722,Monday – Sunday 10:00 – 22:00,,,lifestyle;liveplus,Lifestyle & Entertainment;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,adidas,adidas,adidas,"GF, 018A",GF,29070158,Monday – Sunday 11:00 – 21:00,,,sportswear-and-equipment;fashion-apparel-shoes,"Sportswear & Equipment;Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,agnes-b,agnès b.,agnès b.,"L2, 280",2F,28859803,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,agnes-b-fleuriste,Agnes.b Fleuriste,Agnès b. 花店,"L2, 280-282",2F,28080623,Monday – Sunday 08:30 – 19:30,,,lifestyle,Lifestyle & Entertainment,,2022-05-02
CityPlaza,Shopping,aigle,Aigle,Aigle,"GF, 067",GF,28732332,Monday – Sunday 11:00 – 20:30,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,alice-house,Alice House,Alice House,"L2, 249",2F,25682553,Monday – Sunday 11:30 – 20:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,apita,APITA ,APITA ,B1 & G/F,B1F;GF,28850331,Monday – Sunday 09:30-22:00(B1/F) & 10:00-21:00(G/F),,,lifestyle;fashion-apparel-shoes;major-stores,"Lifestyle & Entertainment;Fashion, Apparel & Shoes;Major Stores",,2022-05-02
CityPlaza,Shopping,apivita,APIVITA,APIVITA,"L2, 212",2F,64817060,Monday – Sunday 11:00 – 21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,as-know-as-ponpoko,As Know As Ponpoko,As Know As Ponpoko,"L2, 264B",2F,26030404,Monday – Sunday 11:00 – 20:00,,,childrenwear-kids;liveplus,Children's Wear & Kids' Accessories;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,ashworth,ASHWORTH,雅獅威,"L1, 106",1F,28844987,Monday – Sunday 11:00 – 20:00,,,sportswear-and-equipment;liveplus,Sportswear & Equipment;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,asics,ASICS,ASICS,"GF, 018B",GF,26909228,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes;sportswear-and-equipment,"Fashion, Apparel & Shoes;Sportswear & Equipment",,2022-05-02
CityPlaza,Shopping,aveda,Aveda,Aveda,"L2, 231",2F,23965435,Monday-Sunday 11:00 -20:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,b-ab,b+ab,b+ab,"L1, 104",1F,25763579,Monday – Sunday 11:30 – 22:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,bank-of-communications-co-ltd,Bank of Communications,交通銀行,"GF, 038",GF,39893290,Monday – Friday 09:00 – 16:00,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,bobbi-brown,BOBBI BROWN,BOBBI BROWN,"L2, 235",2F,35802760,Monday – Sunday 11:00 – 21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,brand-off,BRAND OFF,BRAND OFF,"L1, 120",1F,29676137,Monday – Sunday 11:00 – 20:00,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,bread-n-butter,bread n butter,bread n butter,"L2, 270",2F,25687677,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,broadway,BROADWAY,百老滙,"L4, 410",4F,28840324,Monday – Sunday 11:00 – 21:00,,,electronic-appliances-gadgets,Electronic Appliances & Gadgets,,2022-05-02
CityPlaza,Shopping,brooks-brothers,Brooks Brothers,Brooks Brothers,"L2, 287",2F,23452821,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,ckp-cku,CALVIN KLEIN UNDERWEAR + CALVIN KLEIN PERFORMANCE,CALVIN KLEIN UNDERWEAR + CALVIN KLEIN PERFORMANCE,"GF, 031",GF,25919763/66570666,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes;sportswear-and-equipment,"Fashion, Apparel & Shoes;Sportswear & Equipment",,2022-05-02
CityPlaza,Shopping,calzedonia-and-intimissimi,CALZEDONIA & Intimissimi,CALZEDONIA & Intimissimi,"L2, 257",2F,25373302,Sun - Thu 11:00 - 20:30,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,catalog,Catalog,Catalog ,"L4, 404",4F,29070186,Monday – Sunday 11:00 – 22:00,,,fashion-apparel-shoes;sportswear-and-equipment,"Fashion, Apparel & Shoes;Sportswear & Equipment",,2022-05-02
CityPlaza,Shopping,cath-kidston,Cath Kidston,Cath Kidston,"L2, 285",2F,27155738,Monday – Sunday 11:30 – 19:30,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,cd-warehouse,CD WAREHOUSE,音樂坊,"L4, 407",4F,35280992,Monday-Sunday 11:00 – 20:30,,,lifestyle,Lifestyle & Entertainment,,2022-05-02
CityPlaza,Shopping,challenger,CHALLENGER,挑戰者汽車護理服務,B2,B1F,25398438,Monday – Friday 11:00 – 20:00,,,banks-otherservices;liveplus,Banks & Services;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,chanel-beaute,CHANEL BEAUTÉ ,CHANEL BEAUTÉ ,"L2, 225",2F,29794878,Monday – Sunday 11:00 – 20:00,,,beauty-personal-care;liveplus,Beauty & Personal Care;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,charles-and-keith,CHARLES & KEITH,CHARLES & KEITH ,"GF, 072",GF,39050380,Monday – Sunday 11:00 – 21:00,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,chevignon,CHEVIGNON,尚飛楊,"4/F, Open Space",4F,63901053,Monday – Sunday 11:30 – 20:30,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,chicco,Chicco,Chicco,"L2, 277",2F,21856029,Monday – Sunday 11:00 – 21:00,,,childrenwear-kids;liveplus,Children's Wear & Kids' Accessories;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,china-citic-bank-international,CHINA CITIC BANK INTERNATIONAL  ,中信銀行(國際),"GF, 063",GF,36033190,Monday – Friday 09:00 – 17:00,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,china-construction-bank-asia,China Construction Bank (Asia),中國建設銀行 (亞洲),"GF, 001",GF,37187380,Monday – Friday 09:00 – 16:00,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,chow-sang-sang,Chow Sang Sang,周生生,"L1, 119",1F,25696083,Mon - Sun 11:00 – 20:30,,,accessories-jewellery-optical;liveplus,"Accessories, Jewellery & Optical;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,city-chain,City Chain,時間廊,"L1, 117",1F,25779841,Monday – Sunday 11:00-20:30,,,accessories-jewellery-optical;liveplus,"Accessories, Jewellery & Optical;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,cityplaza-ice-palace-skate-shop,Cityplaza Ice Palace Skate Shop,太古城中心冰上皇宮溜冰商店,"L1, 131",1F,28448637,Monday – Friday 11:00 – 20:00,,,sportswear-and-equipment;liveplus,Sportswear & Equipment;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,clean-living,Clean Living,恒隆白洋舍,B1,B1F,25357768,Monday – Sunday 10:00 – 22:00,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,clinique,CLINIQUE,倩碧,"L2, 234",2F,28849228,Monday – Thursday 11:00 – 21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,club-monaco,Club Monaco ,Club Monaco,"L2, 274",2F,21132455,Monday – Sunday 11:00 – 20:00,,,fashion-apparel-shoes;accessories-jewellery-optical;liveplus,"Fashion, Apparel & Shoes;Accessories, Jewellery & Optical;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,coach,COACH,COACH ,"L2, 278A",2F,29070827,Monday – Thursday 11:00 – 20:00,,,accessories-jewellery-optical;fashion-apparel-shoes,"Accessories, Jewellery & Optical;Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,cocktail,COCKTAIL,COCKTAIL,"L2, 268",2F,23011368,Monday – Sunday 11:00 – 20:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,columbia,Columbia Sportswear Company,Columbia Sportswear Company ,"GF, 069B",GF,63909310,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes;sportswear-and-equipment;travel-travel-accessories;liveplus,"Fashion, Apparel & Shoes;Sportswear & Equipment;Travel & Travel Accessories;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,cos,COS,COS,"L2, 238",2F,25600013,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,covermark,COVERMARK,COVERMARK,"L2, 232",2F,25600146,Monday – Sunday 10:30 – 21:00,,,beauty-personal-care;liveplus,Beauty & Personal Care;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,crocs,crocs,crocs,"L1, 116",1F,24519511,Sunday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,csl-as-simple-as-one2free,csl,csl,"L1, 151B",1F,25123123,Monday – Sunday 11:00 – 21:00,,,electronic-appliances-gadgets;banks-otherservices,Electronic Appliances & Gadgets;Banks & Services,,2022-05-02
CityPlaza,Shopping,dbs-treasures,DBS Treasures at Taikoo Shing,太古城-星展豐盛理財中心,"GF, 037",GF,36682290,Monday – Friday 09:00 – 17:00,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,double-park,double-park,double-park,"GF, 020",GF,23637063,Sunday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,ecco,ECCO,ECCO,"L1, 146",1F,29070866,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,egg-optical-boutique,eGG Optical Boutique,eGG Optical Boutique,"L1, 118",1F,25234542,Monday – Friday 11:00 – 21:30,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,eslite,eslite spectrum Tai Koo Store,誠品生活太古店,"GF, 074 & L1, 144",GF;1F,34191188,Monday – Sunday 10:00 – 20:00,,,accessories-jewellery-optical;lifestyle;major-stores;liveplus,"Accessories, Jewellery & Optical;Lifestyle & Entertainment;Major Stores;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,esteelauder,ESTĒE LAUDER,ESTĒE LAUDER,"L2, 278",2F,28869312,Monday – Sunday 10:30-21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,eu-yan-sang,Eu Yan Sang,余仁生,"L1, 128B",1F,28863216,Monday – Sunday 10:00 – 20:30,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,fancl,FANCL,FANCL,"L2, 242",2F,36220719,Monday – Sunday 11:00 – 21:00,,,beauty-personal-care;liveplus,Beauty & Personal Care;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,florsheim,Florsheim,富樂紳,"L3, 304A",3F,23661360,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,fortress,FORTRESS,豐澤,"L4, 418",4F,25682280,Monday – Sunday 11:00-21:00,,,electronic-appliances-gadgets;liveplus,Electronic Appliances & Gadgets;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,francfranc,Francfranc,Francfranc,"L2, 210",2F,34273366/90904686,Sunday – Thursday 11:30 – 20:30,,,lifestyle;liveplus,Lifestyle & Entertainment;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,fresh,fresh,fresh,"L1, 113",1F,91707016,Monday – Sunday 11:00 – 21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,furla,FURLA,FURLA,"L2, 258",2F,25150018,Monday – Sunday 11:00 – 20:00,,,accessories-jewellery-optical;liveplus,"Accessories, Jewellery & Optical;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,g2000,"G2000 MAN, G2000 WOMAN, BLAACK ","G2000 MAN, G2000 WOMAN, BLAACK","L2, 250",2F,29070252,Monday – Friday 11:00 – 21:30,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,geox,GEOX,GEOX,"L2, 207",2F,24277088,Monday – Sunday 10:30 – 20:30,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,gienne-tsui,Gienne Tsui,Gienne Tsui,"L1, GH1",1F,28810568,Monday - Sunday 10:30 - 19:30,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,gigasports,GigaSports,GigaSports,"GF, 034",GF,29153360,Monday – Friday 11:00 – 21:00,,,sportswear-and-equipment;fashion-apparel-shoes;liveplus,"Sportswear & Equipment;Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,giordano,Giordano,佐丹奴 ,"L3, 306",3F,29227126,Monday – Sunday 11:00 – 20:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,giordano-junior,Giordano Junior ,Giordano Junior ,"L3, 306",3F,29227126,Monday – Sunday 11:30 – 21:00,,,childrenwear-kids;liveplus,Children's Wear & Kids' Accessories;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,giordano-ladies,Giordano Ladies,Giordano Ladies,"L3, 305",3F,29227127,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes;accessories-jewellery-optical,"Fashion, Apparel & Shoes;Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,global-timepieces,Global Timepieces,高時錶行,"L2, 203-205",2F,23690889,Monday – Sunday 11:00 – 20:00,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,global-work,Global Work,Global Work,"GF, 052",GF,26770630,Monday – Sunday 11:00 – 22:00,,,fashion-apparel-shoes;accessories-jewellery-optical,"Fashion, Apparel & Shoes;Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,go-wild,Go Wild,Go Wild,"GF, 069A",GF,63913101,Mon - Fri 12:00 - 21:00,,,fashion-apparel-shoes;sportswear-and-equipment;travel-travel-accessories;liveplus,"Fashion, Apparel & Shoes;Sportswear & Equipment;Travel & Travel Accessories;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,h-and-m,H&M,H&M,"L2, 245 & L3, 301",2F/3F,31014463,Monday – Sunday 10:00 – 22:00,,,fashion-apparel-shoes;childrenwear-kids,"Fashion, Apparel & Shoes;Children's Wear & Kids' Accessories",,2022-05-02
CityPlaza,Shopping,herownwords,Her Own Words,Her Own Words,"L2, 269",2F,27620866,Monday – Sunday 11:00 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,hobbs,Hobbs,Hobbs,"L2, 263",2F,34285168,Sunday – Thursday 11:00 – 20:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,homeless,HOMELESS,HOMELESS,"L2, 211",2F,21101984,Monday – Sunday 11:00 – 20:30,,,lifestyle,Lifestyle & Entertainment,,2022-05-02
CityPlaza,Shopping,hsbc-cityplaza-branch,HSBC Cityplaza Branch & Premier Centre Cityplaza Express ,"匯豐銀行太古城中心卓越理財中心, 太古城中心分行,太古城中心理財易中心","GF, 065",GF,22333322,Monday – Thursday 09:00 – 16:30,,,banks-otherservices,Banks & Services,,2022-05-02
CityPlaza,Shopping,it,i.t,i.t.,"L1, 104",1F,25763155,Sunday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes;accessories-jewellery-optical;major-stores;liveplus,"Fashion, Apparel & Shoes;Accessories, Jewellery & Optical;Major Stores;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,initial,initial,initial ,"L3, 302",3F,28092266,Monday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,initial-gentleman,initial GENTLEMAN,initial GENTLEMAN,"L3, 303",3F,28092266,Monday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,innisfree,innisfree,悅詩風吟,"L1, 110",1F,31011928,Monday – Sunday 10:30 - 21:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,izzue,izzue,izzue,"GF, 008",GF,29070485,Sunday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,joy-and-peace,Joy & Peace,Joy & Peace,"L1, 150",1F,25907503,Monday – Sunday 11:30 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,jumpin-gym-usa,Jumpin Gym USA,美國冒險樂園,"L1, 103B",1F,25600003,Monday – Sunday 11:00 – 22:00,,,lifestyle;liveplus,Lifestyle & Entertainment;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,jurlique,Jurlique,Jurlique,"L2, 230",2F,28859606,Sunday – Thursday 11:00 – 20:00,,,beauty-personal-care;liveplus,Beauty & Personal Care;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,loccitane,L’OCCITANE,L’OCCITANE,"L2, 209",2F,25686860,Monday – Sunday 11:00 – 21:00,,,beauty-personal-care;liveplus,Beauty & Personal Care;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,lancome,LANCÔME,LANCÔME,"L2, 279",2F,25396008,Monday – Sunday 10:30 – 21:30,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,lego-certified-store,LEGO® Store,樂高®認證專門店,"GF, 012",GF,21164378,Monday – Thursday 11:00 – 21:00,,,childrenwear-kids;liveplus,Children's Wear & Kids' Accessories;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,lenscrafters,LensCrafters,亮視點,"L1, 128A",1F,28864522,Monday – Sunday 11:00 – 20:30,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,levis,Levi’s®,Levi’s®,"L2, 284",2F,25603719,Monday – Thursday 11:00 – 21:00,,,fashion-apparel-shoes,"Fashion, Apparel & Shoes",,2022-05-02
CityPlaza,Shopping,log-on,LOG-ON,LOG-ON,"L2, 260",2F,28554200,Sunday – Thursday 10:30 – 22:00,,,lifestyle;beauty-personal-care;major-stores;liveplus,Lifestyle & Entertainment;Beauty & Personal Care;Major Stores;LIVE+ Offers,,2022-05-02
CityPlaza,Shopping,mabelle,MaBelle,MaBelle,"L1, 137",1F,29070800,Monday – Sunday 11:00 – 21:00,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,madia,MADIA,MADIA,"L2, 206",2F,25053603,Monday – Sunday 11:00 – 21:00,,,accessories-jewellery-optical,"Accessories, Jewellery & Optical",,2022-05-02
CityPlaza,Shopping,maje,Maje,Maje,"L2, 264A",2F,28056123,Monday – Sunday 11:30 – 20:30,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,mannings-plus,Mannings Plus,萬寧,"L4, 420",4F,29070621,Monday – Sunday 10:00 – 22:00,,,beauty-personal-care,Beauty & Personal Care,,2022-05-02
CityPlaza,Shopping,marella,Marella,MARELLA,"L2, 275A",2F,27229627,Monday – Sunday 11:00 – 20:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
CityPlaza,Shopping,marks-and-spencer,Marks & Spencer,英國馬莎,"L1, 130",1F,29218721,Monday – Sunday 10:00 – 21:30 & 8:00 – 21:30(Food),,,fashion-apparel-shoes;lifestyle;major-stores,"Fashion, Apparel & Shoes;Lifestyle & Entertainment;Major Stores",,2022-05-02
CityPlaza,Shopping,max-and-co,MAX&Co.,MAX&Co.,"L2, 228",2F,27229615,Monday – Sunday 11:00 – 20:00,,,fashion-apparel-shoes;liveplus,"Fashion, Apparel & Shoes;LIVE+ Offers",,2022-05-02
