mall,type,shop_category_id,shop_category_name,update_date
Citylink,Shopping,blt4b4e72b39eb32fb0,Beauty,2022-01-31
Citylink,Shopping,blt28d10eb752c7ad7c,Confectionary,2022-01-31
Citylink,Shopping,bltc0b943d9e57f4030,Education,2022-01-31
Citylink,Shopping,blta9ff1f81f8712f7c,Entertainment,2022-01-31
Citylink,Shopping,blt3b5c8ef027320543,Fashion,2022-01-31
Citylink,Shopping,bltb37f454d8c48a630,"Gifts, Books & Stationery",2022-01-31
Citylink,Shopping,blt96266d4300699b66,Health & Personal Care,2022-01-31
Citylink,Shopping,blt8efd535a3f882740,Household & Grocery,2022-01-31
Citylink,Shopping,bltf8b8a11312dcc0f3,Optical,2022-01-31
Citylink,Shopping,blt9901dc4f3d1a41a6,Services,2022-01-31
Citylink,Shopping,bltda7646ef0ff67a62,Shoes & Bags,2022-01-31
Citylink,Shopping,blt8b55d94b942ffee1,Travel Agency,2022-01-31
Citylink,Dining,blt54a60f3ece4cf54c,Food & Beverage,2022-01-31
