mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
Citylink,Shopping,135,6ixty8ight,6ixty8ight,4-9,Retail Floor,26736896,10:00 - 22:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,136,AnthonG,AnthonG,44,Retail Floor,21119698,12:00 - 21:00,MTR Points Promotion,1,blt4b4e72b39eb32fb0,Beauty,,2022-01-21
Citylink,Shopping,15,AREA0264,AREA0264,18,Retail Floor,26871939,11:30 - 20:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,132,Beauty Kingdom,Beauty Kingdom,508,5F,27132955,11:00 - 21:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,64,Beethoven Music & Arts Studio,Beethoven Music & Arts Studio,406,4F,26032803,10:00 - 19:00,MTR Points Promotion,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,150,Bellain Accessories Shop,Bellain Accessories Shop,60,Retail Floor,,,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,31,Bellatrix,Bellatrix,37,Retail Floor,21796288,12:00 - 22:00,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,26,Chateraise,Chateraise,31,Retail Floor,29077037,10:00 - 22:00,MTR Points Promotion,1,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,94,China Travel Service HK Ltd.,China Travel Service HK Ltd.,717-718,7F,26927773,10:30 - 18:30,MTR Points Promotion,1,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,14,CIRCUS,CIRCUS,17,Retail Floor,23942511,12:00 - 21:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,12,COMO,COMO,15A,Retail Floor,26092908,,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,34,Corner,Corner,41,Retail Floor,91206266,13:00 - 20:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,40,Double Face,Double Face,49,Retail Floor,26911968,12:00 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,19,Doughnut,Doughnut,22,Retail Floor,28384233,12:00 - 21:30,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,28,Dress Up,Dress Up,33,Retail Floor,26998801,11:00 - 21:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,92,EDC Languages Centre,英拓語言中心,715,7F,36431666,,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,87,EGL Tours,東瀛遊,707,7F,26965511,,,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,37,elba,elba,45,Retail Floor,23886968,10:00 - 22:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,29,Erica Store,Erica Store,34,Retail Floor,69272783,11:00 - 22:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,39,Faith,Faith,48,Retail Floor,26562118,11:30 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,48,g.c.f.,g.c.f.,58,Retail Floor,28081860,15:00 - 21:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,104,Hang Seng Bank,Hang Seng Bank,40,Retail Floor,,05:00 - 01:00,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,139,HKHC,HKHC,208-211,2F,,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,137,HKJEBN Ltd,樓上®,201-207; 221-223 & 225-226,2F,27869910,11:00 - 20:00,MTR Points Promotion,,blt96266d4300699b66,Health & Personal Care,,2022-01-21
Citylink,Shopping,2,Hung Fook Tong - Herbal Tea & Soup Square,鴻福堂－自家湯涼茶坊,2,Retail Floor,26027823,09:30 - 21:30,MTR Points Promotion,1,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,75,ICHI-CAKE,一級甜品烘焙材料銷售中心,616,6F,22199448,,MTR Points Promotion,,blt8efd535a3f882740,Household & Grocery,,2022-01-21
Citylink,Shopping,76,Image Optical,潮流天地,617-618,6F,26969983,11:00 - 20:00,MTR Points Promotion,1,bltf8b8a11312dcc0f3,Optical,,2022-01-21
Citylink,Shopping,105,intique,intique,47,Retail Floor,21770138,12:00 - 21:00,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,165,Italian Tomato,Italian Tomato,21,Retail Floor,,,MTR Points Promotion,1,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,165,Perfect Specialist Clinic,Perfect Specialist Clinic,801,8F,,,MTR Points Promotion,,blt96266d4300699b66,Health & Personal Care,,2022-01-21
Citylink,Shopping,79,J-Vision,眼鏡夢工場,621,6F,26811829,,MTR Points Promotion,1,bltf8b8a11312dcc0f3,Optical,,2022-01-21
Citylink,Shopping,83,JOLLY KINGDOM ENGLISH LEARNING CENTRE shatin,啓言英語教育中心 沙田,629-630,6F,28111286,10:00 - 19:00,MTR Points Promotion,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,162,KAKIMONO Fashion Shop,KAKIMONO Fashion Shop,59,Retail Floor,,,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,68,King's Glory Education,英皇小博士教育中心,601-603,6F,23050505,14:00 - 21:00,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,99,KUONI,勝景遊,726,7F,29566710,10:00 - 17:00,MTR Points Promotion,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,36,L'ARMOIRE,L'ARMOIRE,43,Retail Floor,26052228,11:00 - 20:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,35,La Vie Hair & Beauty,La Vie Hair & Beauty,42,Retail Floor,26922081,11:00 - 20:00,MTR Points Promotion,1,blt4b4e72b39eb32fb0,Beauty,,2022-01-21
Citylink,Shopping,46,Lace Ribbon,Lace Ribbon,56,Retail Floor,26093677,,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,159,Lester Young,Lester Young,54,Retail Floor,,,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,163,Little Prince Art,Little Prince Art,607,6F,31082599,10:00 - 19:00,MTR Points Promotion,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,53,Little Shop Accessories,Little Shop Accessories,9A,Retail Floor,23801068,,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,108,Macrame Bohemia,Macrame Bohemia,35-36,Retail Floor,31884281,11:00 - 21:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,130,MathConcept Learning Center Shatin,數學．思維教室,627,6F,28868212,,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,23,Millie's,Millie's,29,Retail Floor,28978408,11:00 - 21:00,MTR Points Promotion,1,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,85,Miramar Travel Ltd.,美麗華旅遊,702-703,7F,39600022,,MTR Points Promotion,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,80,Monkey Tree English Learning Center,Monkey Tree English Learning Center,623,6F,23109088,09:30 - 19:30,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,93,Morning Star Travel Services Ltd.,星晨旅遊,716,7F,26933068,,MTR Points Promotion,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,128,MTR Operations Projects Department,港鐵營運鐵路項目部,10/F,Retail Floor,NIL,,,,,,,2022-01-21
Citylink,Shopping,129,MTR Operations Training Centre,港鐵車務訓練中心,909-916,Retail Floor,NIL,,,,,,,2022-01-21
Citylink,Shopping,127,MTR Operations Training Department,港鐵車務訓練部,901-908,Retail Floor,NIL,,,,,,,2022-01-21
Citylink,Shopping,149,Museum Context,Museum Context,23,Retail Floor,,10:00 - 22:00,MTR Points Promotion,1,bltb37f454d8c48a630,"Gifts, Books & Stationery",,2022-01-21
Citylink,Shopping,42,na. mu,na. mu,52,Retail Floor,31884948,11:30 - 22:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,7,Nail Nail,Nail Nail,11,Retail Floor,26880288,,MTR Points Promotion,1,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,133,New Beauty,New Beauty,521,5F,26187882,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,153,New York Chiropractic And Physiotherapy Center,紐約脊醫及物理治療中心,609-615,6F,21528577,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,151,New York pediatric Spine Center,紐約兒童脊骨中心,609-615,6F,21528577,10:00 - 20:00,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,116,OLENS,OLENS,24,Retail Floor,22141088,12:00 - 21:30,MTR Points Promotion,1,bltf8b8a11312dcc0f3,Optical,,2022-01-21
Citylink,Shopping,72,Optical Town,眼鏡直銷工場,608,6F,26999893,,MTR Points Promotion,1,bltf8b8a11312dcc0f3,Optical,,2022-01-21
Citylink,Shopping,70,Orchid Beauty,Orchid Beauty,606,6F,26361737,11:00 - 20:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,107,ORiental TRaffic,ORiental TRaffic,27-28,Retail Floor,22170870,11:00 - 22:00,MTR Points Promotion,1,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,117,Palladium,Palladium,25,Retail Floor,28062663,10:30 - 22:00,MTR Points Promotion,1,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,27,PAPRIKA,PAPRIKA,32,Retail Floor,31889622,11:00 - 21:00,MTR Points Promotion,1,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,90,PARSONS MUSIC,柏斯琴行,710-713,7F,26093998,11:00 - 21:00,MTR Points Promotion,,blta9ff1f81f8712f7c,Entertainment,,2022-01-21
Citylink,Shopping,138,Perfect Hair,Perfect Hair,517,5F,27130798,11:00 - 21:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,157,Perfect Medical,Perfect Medical,501,5F,27130793,11:00 - 21:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,166,Perfect Medical,Perfect Medical,810,8F,,,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,134,Perfect Men,Perfect Men,515,5F,27130793,11:00 - 21:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,106,philosophy,philosophy,20A,Retail Floor,25658333,11:00 - 21:00,MTR Points Promotion,1,blt4b4e72b39eb32fb0,Beauty,,2022-01-21
Citylink,Shopping,125,Physical Fitness & Beauty Centre,舒適堡,3/F,3F,26092000,,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,131,Physical Fitness & Beauty Centre,舒適堡,409-427,4F,26093333,09:00 - 22:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,148,Picasso,Picasso,46,Retail Floor,28778288,11:30 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,16,PIT,PIT,19,Retail Floor,22044386,10:30 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,25,RABEANCO,RABEANCO,30,Retail Floor,31884721,11:00 - 21:30,MTR Points Promotion,1,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,164,Saga Store,Saga Store,55,Retail Floor,,,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,8,Salon China X AVEDA Concept Store,Salon China X AVEDA Concept Store,12,Retail Floor,23630498,10:00 - 20:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,69,School of Creativity,創意學堂,605,6F,21169000,,MTR Points Promotion,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,123,Selin Method Wisdom World Education Centre,學林式智趣天地教育中心,625,6F,23230335,,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,168,SENA,SENA,42,Retail Floor,,,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,161,Silver Shop,Silver Shop,56A,Retail Floor,,,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,13,Silversmith,Silversmith,16,Retail Floor,27767707,12:30 - 20:30,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,81,SO-IN Blessings Education Centre,數研恩典教育中心,626,6F,24663363,10:00 - 19:35,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,111,soapmum,平凡媽媽,Kiosk1,Retail Floor,64444018,11:30 - 20:30,MTR Points Promotion,,blt4b4e72b39eb32fb0,Beauty,,2022-01-21
Citylink,Shopping,43,SPARK,SPARK,53,Retail Floor,34269956,11:00 - 22:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,155,SweetyMagic,SweetyMagic,401-405A,4F,66798638,12:00 - 20:00,MTR Points Promotion,1,bltb37f454d8c48a630,"Gifts, Books & Stationery",,2022-01-21
Citylink,Shopping,1,TenRen's Tea,天仁茗茶,1,Retail Floor,28183839,10:00 - 22:00,MTR Points Promotion,,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,144,TH -  Dr. Vio & Partners,康健 - 韋予力醫務中心,217,2F,23605755,,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,142,TH - Dental Centre (Dr. Leung Chi Sang),康健牙科中心 (梁子生牙科醫生),215B,2F,23435180,09:30 - 19:30,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,124,TH - Dental Centre (Dr. So Chi Kin),康健牙科中心 (蘇志堅牙科醫生),215A,2F,26871121,10:00 - 19:30,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,147,TH - ENT Centre Premier ENT Specialist Centre,康健耳鼻喉科中心 (康栢耳鼻喉專科中心),219,2F,26021515,,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,145,TH - Eye Centre,康健眼科中心,218,2F,25608388,10:00 - 19:30,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,146,TH - Obstetrics & Gynaecology Centre,康健婦產科中心,218B,2F,28058001,09:30 - 19:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,140,TH - Orthopaedics Centre HKTOI,康健骨科中心 香港創傷及骨科矯形中心,212,2F,26010711,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,143,TH - Paediatrics Centre,康健兒科中心,216,2F,26052236,09:00 - 19:00,MTR Points Promotion,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,141,TH - Physiotherapy Centre TOI,康健物理治療中心TOI,213,2F,26010711,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,158,The Korner Hong Kong,The Korner Hong Kong,26,Retail Floor,,,MTR Points Promotion,,bltda7646ef0ff67a62,Shoes & Bags,,2022-01-21
Citylink,Shopping,6,THE mint …,THE mint …,10,Retail Floor,21915689/60772433,12:30 - 21:00,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,160,Tirodo Tea House,茶古道,3,Retail Floor,,,MTR Points Promotion,,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,66,Tom Lee Music,Tom Lee Music,428-430,4F,26023680,,MTR Points Promotion,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,17,TONYMOLY,TONYMOLY,20B,Retail Floor,27703391,10:00 - 21:00,MTR Points Promotion,1,blt4b4e72b39eb32fb0,Beauty,,2022-01-21
Citylink,Shopping,103,Toxic 8,Toxic 8,50,Retail Floor,31881632,12:00 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,41,Triangulo,Triangulo,51,Retail Floor,28062989/91388087,12:00 - 21:00,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,84,Ucruising,國際繽紛郵輪,701,7F,31023131,,MTR Points Promotion,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,11,Uo Show,魚尚,15,Retail Floor,25235800,11:00 - 21:00,MTR Points Promotion,,blt28d10eb752c7ad7c,Confectionary,,2022-01-21
Citylink,Shopping,152,V+ PROPERTY EXPO,赢家物業聯展中心,725,7F,,,,,blt9901dc4f3d1a41a6,Services,,2022-01-21
Citylink,Shopping,65,Wide Eye Learning Centre,Wide Eye Learning Centre,407-408,4F,26341666,09:30 - 19:00,,,bltc0b943d9e57f4030,Education,,2022-01-21
Citylink,Shopping,120,Will Fashion,Will Fashion,38,Retail Floor,,12:30 - 21:00,MTR Points Promotion,,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Shopping,96,Wing On Travel,永安旅遊,721,7F,29294286,,MTR Points Promotion,,blt8b55d94b942ffee1,Travel Agency,,2022-01-21
Citylink,Shopping,77,Yat Yuen Tong,一元堂,619-620,6F,26092980,10:00 - 20:30,MTR Points Promotion,1,blt96266d4300699b66,Health & Personal Care,,2022-01-21
Citylink,Shopping,47,宮,宮,57,Retail Floor,22199221,12:30 - 21:30,MTR Points Promotion,1,blt3b5c8ef027320543,Fashion,,2022-01-21
Citylink,Dining,57,Chef Hung,洪師父牛肉麵,106,1F,28388518,08:00 - 21:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,61,euro go go,euro go go,110,1F,26872929,08:00 - 23:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,10,Fairwood,大快活,14,Retail Floor,28564475,07:00 - 21:30,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,56,Little Nanyang,小南洋,105,1F,21570025,08:00 - 21:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,55,Mixian Sense,米線陣,102-103,1F,26180780,11:00 - 21:15,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,9,MOS Burger,摩斯漢堡,13,Retail Floor,26185229,07:30 - 23:00,MTR Points Promotion,,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,59,PACIFIC COFFEE,太平洋咖啡,108,1F,35144108,08:00 - 21:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,112,PHO VIETZ,越好,109,1F,25606066,10:30 - 22:00,,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,54,Shanghai Lao Lao,上海姥姥,101,1F,24888703,11:30 - 22:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,33,TEAWOOD,茶木,39,Retail Floor,28167511,11:00 - 22:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,113,TONKOTSU 8,三田製麵所,111,1F,29888745,11:00 - 21:30,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
Citylink,Dining,58,Trusty Congee King,靠得住粥麵小館,107,1F,26980098,11:00 - 22:00,MTR Points Promotion,1,blt54a60f3ece4cf54c,Food & Beverage,,2022-01-21
