mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
Citywalk,Shopping,1,1 + 1 Professional Optical Shop,1+1專業眼鏡,127a,Citywalk 1F,29410238,Mon - Sun: 11:00am - 08:30pm,,,11,"Jewellery, Watches, Optical & Accessories​​",,2022-01-04
Citywalk,Shopping,2,7-Eleven,7-11便利店,G01,Citywalk2 GF,22991110,24 hours,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Convenience Stores;Daily Necessities;Drink;Food,2022-01-04
Citywalk,Shopping,3,759 Store,759 阿信屋,G18a-b,Citywalk GF,36696780,Mon - Sun: 09:00am - 10:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-04
Citywalk,Shopping,7,A-Fontane,雅芳婷,102,Citywalk 1F,29410565,Mon - Sun: 11:00am - 08:00pm,,,10,Furniture & Lifestyle​​,Bedding;Mattress,2022-01-04
Citywalk,Shopping,9,ad-lib,ad-lib,UG38,Citywalk UGF,21521520,Mon - Sun: 12:00pm - 09:00pm,,,9,Fashion​​,Clothing;Fashion;Kids' Fashion;Men’s Fashion,2022-01-04
Citywalk,Shopping,8,adidas,adidas,UG73&75,Citywalk UGF,23323970,Mon - Thu: 11:30am - 09:00pmFri - Sun: 11:30am - 09:30pm,,,14,Sportswear & Equipment​​,Bag;Shoes;Sneakers;Sports Accessories;Sportswear,2022-01-04
Citywalk,Shopping,298,Ark Studio,Ark Studio,12-13,Citywalk2 UGF,63654047,"Mon - Fri: 11:00am - 09:30pmSat, Sun: 09:00am - 08:00pm",,,5,"Books, Stationery & Education​​",Art;Drawing;Education;Interest;Learning Centre,2022-01-04
Citywalk,Shopping,225,Aureus Academy,Aureus Academy,UG15-21&47-49,Citywalk2 UGF,58032564,Mon - Sun: 10:00am - 08:00pm,,,5,"Books, Stationery & Education​​",Education;Extracurricular Activity;Interest;Music;Study,2022-01-04
Citywalk,Shopping,244,B51,B51,135,Citywalk 1F,26613989,"Mon - Wed, Sun: 11:00am - 09:00pmThu - Sat: 11:00am - 10:00pm",,,12,Kid's Wear & Toys​​,,2022-01-04
Citywalk,Shopping,10,Bank of China (Hong Kong),中國銀行 (香港 ),G65,Citywalk GF,29203211,Mon - Fri: 09:00am - 04:00pmSat: 09:00am - 12:00pm,,,2,Banking Services​​,ATM;Bank;Money Exchange;Wealth,2022-01-04
Citywalk,Shopping,183,Beijing Tong Ren Tang,北京同仁堂,G35,Citywalk GF,29410139,Mon - Sun: 10:30am - 08:30pm,,,4,Health Products & Personal Care​​,Chinese Medicine;Drug;Health Care;Supplements,2022-01-04
Citywalk,Shopping,11,Best Mart 360°,優品 360°,G08-09,Citywalk GF,31508088,Mon - Sun: 09:00am - 10:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-04
Citywalk,Shopping,14,Bloom Dance Academy,兒童流行舞蹈學院,UG56-57,Citywalk2 UGF,24671919,"Mon, Thu, Fri: 12:00pm - 08:00pmSat, Sun: 09:45am - 07:00pm",,,5,"Books, Stationery & Education​​",Dancing;School,2022-01-04
Citywalk,Shopping,288,blueplace,blueplace,UG57,Citywalk UGF,29410087,"Mon - Fri: 10:30am - 08:30pmSat, Sun: 11:00am - 08:30pm",,,14,Sportswear & Equipment​​,Backpack;Outdoor;Shoes;Sport;Sports Accessories,2022-01-04
Citywalk,Shopping,245,Boatat Foods Market,寶達食品超市,UG29-33&35-36,Citywalk2 UGF,24301148,"Mon - Wed, Fri - Sun, PH, Day before PH: 10:00am - 10:00pmThu: 10:10am - 10:00pm",,,8,"Department Stores, Supermarkets and Convenience Stores​​",Food;Fresh Food,2022-01-04
