mall,type,shop_category_id,shop_category_name,update_date
Elements,Shopping,All Great Sports,All Great Sports,2022-01-31
Elements,Shopping,"Arts, Home and Gifts","Arts, Home and Gifts",2022-01-31
Elements,Shopping,Audio-Visual / Electronics Appliance,Audio-Visual / Electronics Appliance,2022-01-31
Elements,Shopping,Fashion,Fashion,2022-01-31
Elements,Shopping,Jewelry and Accessories,Jewelry and Accessories,2022-01-31
Elements,Shopping,Kid's Wear,Kid's Wear,2022-01-31
Elements,Shopping,Personal Care and Beauty,Personal Care and Beauty,2022-01-31
Elements,Shopping,Travel Accessories,Travel Accessories,2022-01-31
Elements,Shopping,At Your Service,At Your Service,2022-01-31
Elements,Shopping,Entertainment,Entertainment,2022-01-31
Elements,Dining,Asian Cuisine,Asian Cuisine,2022-01-31
Elements,Dining,Bakeries,Bakeries,2022-01-31
Elements,Dining,Café & Deli,Café & Deli,2022-01-31
Elements,Dining,Chinese Cuisine,Chinese Cuisine,2022-01-31
Elements,Dining,International Cuisine,International Cuisine,2022-01-31
Elements,Dining,Supermarkets & Gourmet,Supermarkets & Gourmet,2022-01-31
Elements,Dining,Sweet & Confectionary,Sweet & Confectionary,2022-01-31
