mall,type,shop_category_id,shop_category_name,update_date
FestivalWalk,Shopping,1,Fashion & Beauty,2022-05-02
FestivalWalk,Shopping,2,Home & Leisure,2022-05-02
FestivalWalk,Dinning,3,Wine & Dine,2022-05-02
FestivalWalk,Shopping,4,Major Stores,2022-05-02
FestivalWalk,Shopping,5,Casual Chic,2022-05-02
FestivalWalk,Shopping,6,Children's Kingdom,2022-05-02
FestivalWalk,Shopping,7,Accessories & Footwear,2022-05-02
FestivalWalk,Shopping,8,Jewellery & Timepieces,2022-05-02
FestivalWalk,Shopping,9,Ladies' Fashion & Lingerie,2022-05-02
FestivalWalk,Shopping,10,Men's Wear,2022-05-02
FestivalWalk,Shopping,11,Sports Apparel & Gear,2022-05-02
FestivalWalk,Shopping,12,Health & Beauty,2022-05-02
FestivalWalk,Shopping,13,Smart Living & Audio Visual,2022-05-02
FestivalWalk,Shopping,14,Books & Gifts,2022-05-02
FestivalWalk,Shopping,15,Banks & Services,2022-05-02
FestivalWalk,Dinning,16,Western Wonders,2022-05-02
FestivalWalk,Dinning,17,Asian Delights,2022-05-02
FestivalWalk,Dinning,18,Café Chic,2022-05-02
FestivalWalk,Dinning,19,Sweets & Delicacies,2022-05-02
FestivalWalk,Dinning,20,Fast 'N' Feast,2022-05-02
