mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
FestivalWalk,Dinning,105,McDonald’s,麥當勞,ShopLG1-01A,LG1F,22658232,7:00 am -11:00 pm,,,3;20,Wine & Dine;Fast 'N' Feast,,2022-01-11
FestivalWalk,Dinning,128,Kee Wah Bakery,奇華餅家,ShopMTR-03,MTRF,27763183,9:00 am - 9:00 pm,,1,3;19,Wine & Dine;Sweets & Delicacies,,2022-01-11
FestivalWalk,Dinning,145,GODIVA,GODIVA,ShopLG1-62,LG1F,22657229,10:30 am - 9:30 pm,,1,3;19,Wine & Dine;Sweets & Delicacies,,2022-01-11
FestivalWalk,Dinning,149,Pacific Coffee,Pacific Coffee,ShopLG2-26,LG2F,26980320,7:00 am - 10:30 pm (Mon - Sat)8:00 am - 10:30 pm (Sun & Public Holidays),,,3;18,Wine & Dine;Café Chic,,2022-01-11
FestivalWalk,Dinning,153,Starbucks Coffee,星巴克,ShopUG-20A,UGF,22658589,7:00 am - 10:00 pm (Mon - Fri)7:30 am - 10:00 pm (Sat)8:00 am - 10:00 pm (Sun & Public Holidays),,,3;18,Wine & Dine;Café Chic,,2022-01-11
FestivalWalk,Dinning,175,EXP,EXP,ShopUG-23,UGF,22658298,8:00 am - 10:00 pm,,1,3;17,Wine & Dine;Asian Delights,,2022-01-11
FestivalWalk,Dinning,178,Häagen-Dazs,Häagen-Dazs,ShopL1-16,1F,22658100,12:00 nn - 10:00 pm,,,3;19,Wine & Dine;Sweets & Delicacies,,2022-01-11
FestivalWalk,Dinning,183,Jasmine,八月花,ShopLG2-40,LG2F,23330222,11:00 am - 4:00 pm; 5:30 pm - 11:00 pm (Mon - Sat)10:00 am - 4:00 pm; 5:30 pm - 11:00 pm (Sunday & Public Holidays),,,3;17,Wine & Dine;Asian Delights,,2022-01-11
FestivalWalk,Dinning,198,Pepper Lunch,胡椒廚房,ShopL2-21,2F,31050183,11:00 am - 9:45 pm,,1,3;20,Wine & Dine;Fast 'N' Feast,,2022-01-11
FestivalWalk,Dinning,201,See’s Candies,時思糖果,ShopG-06,GF,22658199,11:30 am - 7:30 pm (Mon - Sat)11:30 am - 7:00 pm (Sun & Public Holidays),,1,3;19,Wine & Dine;Sweets & Delicacies,,2022-01-11
FestivalWalk,Dinning,202,simplylife,simplylife,ShopL2-30,2F,27775168,11:00 am - 9:30 pm (Mon - Fri)10:00 am - 9:30 pm (Sat - Sun & Public Holidays),,,3;16,Wine & Dine;Western Wonders,,2022-01-11
FestivalWalk,Dinning,217,Yoshinoya,吉野家,ShopL2-26,2F,22658805,7:30 am - 10:00 pm,,,3;20,Wine & Dine;Fast 'N' Feast,,2022-01-11
FestivalWalk,Dinning,228,Café de Coral,大家樂,ShopL2-23,2F,22658225,7:30 am - 9:30 pm,,,3;20,Wine & Dine;Fast 'N' Feast,,2022-01-11
FestivalWalk,Dinning,24,Amaroni’s New York Italian,Amaroni’s New York Italian,ShopLG1-32,LG1F,22658818,11:00 am - 11:00 pm,,1,3;16,Wine & Dine;Western Wonders,,2022-01-11
FestivalWalk,Dinning,264,Greyhound Café,Greyhound Café,ShopL2-42,2F,23834838,11:30 am - 10:00 pm (Mon - Fri)11:30 am - 10:30 pm (Sat - Sun & Public Holidays),,1,3;17,Wine & Dine;Asian Delights,,2022-01-11
