mall,type,shop_category_id,shop_category_name,update_date
HarbourCity,Shopping,servicebankandmedicalservice,Banking / Medical Services,2022-01-02
HarbourCity,Shopping,beautyorpersonalcare,Beauty / Personal Care,2022-01-02
HarbourCity,Shopping,departmentstore,Department Store,2022-01-02
HarbourCity,Shopping,electronics,Electronics,2022-01-02
HarbourCity,Shopping,fashion,Fashion,2022-01-02
HarbourCity,Shopping,homeandlifestyle,Home & Lifestyle,2022-01-02
HarbourCity,Shopping,kidsandfamily,Kids & Family,2022-01-02
HarbourCity,Shopping,optical,Optical,2022-01-02
HarbourCity,Shopping,sports,Sports,2022-01-02
HarbourCity,Shopping,watchesjewelleryandaccessories,"Watches, Jewellery & Accesories",2022-01-02
HarbourCity,Dining,allcuisines,All,2022-01-02
HarbourCity,Dining,asiandelights,Asian Delights,2022-01-02
HarbourCity,Dining,chinesecuisines,Chinese Cuisines,2022-01-02
HarbourCity,Dining,confectionery,Confectionery,2022-01-02
HarbourCity,Dining,deli123,Deli,2022-01-02
HarbourCity,Dining,westerndelicacies,Western Delicacies,2022-01-02
