mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
HarbourCity,Shopping,2044,0/3 Baby Collection,0/3 Baby Collection,18,Ocean Terminal - GF,21109036,10:00 – 21:30 MON – SUN,,,kidsandfamily,Kids &amp; Family,,2022-01-02
HarbourCity,Shopping,4361,1010/csl,1010/csl,4012-4,Gateway Arcade - 4F,34171010,10:00 – 22:00 MON – SUN,,,homeandlifestyle,Home &amp; Lifestyle,,2022-01-02
HarbourCity,Shopping,1459,111 SKIN,111 SKIN,"3205-7, JOYCE Beauty",Gateway Arcade - 3F,23670860,,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,1760,45R,45R,2514-5,Gateway Arcade - 2F,21755545,10:00 – 21:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,1761,7 For All Mankind,7 For All Mankind,311,Ocean Terminal - 3F,27229398,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,6996,A80 Anoufa Paris,A80 Anoufa Paris,LCX Kiosk,Ocean Terminal - 3F,23113028,10:00 – 22:00 MON – SUN,,,,,,2022-01-02
HarbourCity,Shopping,7287,aalis,aalis,2207,Gateway Arcade - 2F,25721233,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,1763,Abercrombie & Fitch,Abercrombie & Fitch,3320,Gateway Arcade - 3F,27703618,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,2000,Acanta,Acanta,3323,Gateway Arcade - 3F,21755169,10:00 – 22:00 MON – SUN,,,homeandlifestyle,Home &amp; Lifestyle,,2022-01-02
HarbourCity,Shopping,1464,ACCA KAPPA,ACCA KAPPA,2217-8,Gateway Arcade - 2F,31881748,10:00 – 22:00 MON – SUN,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,7372,ACQUA DI PARMA,ACQUA DI PARMA,Kiosk 3F,Gateway Arcade - 3F,,10:00 – 22:00 MON – SUN,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,2101,adidas,adidas,4102,Gateway Arcade - 4F,29838381,10:00 – 22:00 MON – SUN,,,sports,Sports,,2022-01-02
HarbourCity,Shopping,3184,adidas FTWR SUPPLY,adidas FTWR SUPPLY,244A,Ocean Terminal - 2F,24323068,11:00 – 22:00 MON – SUN,,,sports,Sports,,2022-01-02
HarbourCity,Shopping,1764,ADORE,ADORE,2119,Gateway Arcade - 2F,21110105,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,22072,Aerie,Aerie,LCX Shop 11-12,LCX - 3F,,,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,1466,Aesop,Aesop,3317,Gateway Arcade - 3F,21101701,10:00 – 22:00 MON – SUN,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,3474,Aesop Harbour City Facial Room,Aesop 海港城面部護理空間,1415,Vita- World Commerce Centre - 14F,21105099,10:00 – 22:00 MON – SUN,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,2102,AIGLE,AIGLE,247-247A,Ocean Terminal - 2F,27309788,10:30 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,11182,ALBION,ALBION,OT202,"Ocean Terminal, Facesss  - 2F",31882008,,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,1767,Alexander McQueen,Alexander McQueen,G316 & 316A,Gateway Arcade - GF,25624828,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,1769,Alexander Wang,Alexander Wang,103A,Ocean Centre - 1F,21182552,11:00 – 20:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,1853,American Eagle Outfitters,American Eagle Outfitters,LCX5-7,Ocean Terminal - 3F,27306939,10:00 – 22:00 MON – SUN,,,fashion,Fashion,,2022-01-02
HarbourCity,Shopping,10295,AMOREPACIFIC,AMOREPACIFIC,3322,Gateway Arcade - 3F,31074845,10:00 – 22:00 Mon to Sun,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
HarbourCity,Shopping,11221,Angela Caglia,Angela Caglia,201,"Marco Polo Hongkong Hotel Arcade, Lane Crawford - 2F",,,,,beautyorpersonalcare,Beauty / Personal Care,,2022-01-02
