mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
ISquare,Dinning,151,nanhai no. 1,南海一號,3001,30F,24873688,11:30 - 15:00 ;18:00 - 23:30 ;,No iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,154,PANASH Café,PANASH Café,305,3F,23277071,11:30 – 22:30,Has iClub Privilege,1,RE;WD,Restaurant;Western Delicacies,,2022-01-30
ISquare,Dinning,159,Zhongxiao East Road,忠孝東路,306,3F,28733288,11:30 - 22:30,No iClub Privilege,1,RE;AD,Restaurant;Asian Delights,,2022-01-30
ISquare,Dinning,161,Nadai Unatoto Charcoal Grilled Eel Specialty,名代宇奈備長炭燒鰻魚飯專門店,304,3F,35801550,"12:00 - 23:00 (Mon-Fri) ;11:30 - 23:00 (Sat-Sun, PH and Eve of PH)",No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,170,Joyous Gate,彩薈軒,2502,25F,27661010,11:00 - 15:00;18:00 - 22:00,No iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,171,Choi Fook Royal Banquet,彩福皇宴,2601,26F,27663060,11:00 - 15:00 ;18:00 - 22:00,No iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,179,Something Wild - The Farm,野玩田店,307,3F,37554899,12:00 – 22:00,Has iClub Privilege,1,RE;WD,Restaurant;Western Delicacies,,2022-01-30
ISquare,Dinning,182,Jiang Shun Jade Palace,江順名滙,302,3F,26191118,11:00-23:00,No iClub Privilege,1,RE;CC,Restaurant;Chinese Cuisines,,2022-01-30
ISquare,Dinning,183,Sing La,星怡,303,3F,21171300,11:30 – 22:00,No iClub Privilege,1,AD;RE,Asian Delights;Restaurant,,2022-01-30
ISquare,Dinning,33,Sportful Garden Restaurant,陶源酒家 (鮑魚專門店),2401,24F,29979303,11:00 - 23:00,No iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,38,Myung Ga Korean Restaurant,名家韓國餐廳,2702,27F,23691177,12:00 - 15:00 ;18:00 - 23:00;,Has iClub Privilege,1,FD;AD,Fine Dining;Asian Delights,,2022-01-30
ISquare,Dinning,39,ro ann,櫓杏,2801,28F,28180031;57034565(日本語専用JapaneseHotline),12:00 - 14:30;18:00 - 23:00,Has iClub Privilege,1,FD;JG,Fine Dining;Japanese Gourmets,,2022-01-30
ISquare,Dinning,41,Champ Kitchen,炊公館,2901,29F,62270220,"11:30 - 15:00, 18:00 - 23:00 (Mon-Fri) ;11:00 - 15:00, 18:00 - 23:00;(Sat-Sun, PH)",Has iClub Privilege,1,FD;WD,Fine Dining;Western Delicacies,,2022-01-30
ISquare,Dinning,42,AH YAT HARBOUR VIEW RESTAURANT,阿一海景飯店,2902,29F,62270330,"11:30 - 15:00, 18:00 - 23:00 (Mon-Fri) ;11:00 - 15:00, 18:00 - 23:00  (Sat-Sun, PH)",Has iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,54,eyebar,eyebar,3001(bar),30F,24873988,11:30 - 01:00 (Sun-Thu) ;11:30 - 02:00 (Fri-Sat);,No iClub Privilege,1,FD;WD,Fine Dining;Western Delicacies,,2022-01-30
ISquare,Dinning,55,nanhai no.1,南海一號,3101,31F,24873788,11:30 - 15:00 ;18:00 - 23:00,No iClub Privilege,1,FD;CC,Fine Dining;Chinese Cuisines,,2022-01-30
ISquare,Dinning,78,JAPANESE TONKOTSU RAMEN HAKATANMARU,博多丸,601,6F,35719625,11:30 - 23:00,Has iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,80,Teawood Taiwanese Cafe & Restaurant,茶木 · 台式休閒餐廳,603,6F,26685011,11:30- 23:00,No iClub Privilege,1,RE;AD,Restaurant;Asian Delights,,2022-01-30
ISquare,Dinning,81,Shanghai Po Po 336,上海婆婆336,605,6F,28061833,11:00 - 16:00;17:45 - 23:00,No iClub Privilege,1,RE;CC,Restaurant;Chinese Cuisines,,2022-01-30
ISquare,Dinning,83,HOKKAIDO RAMEN SANTOUKA,北海道山頭火拉麵,608,6F,27211298,11:30 - 22:00,No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,84,Marugame Udon,丸亀製麵,609,6F,35830880,11:30 - 23:00,No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,85,YAKINIKU GYUKURA,牛蔵,701,7F,26280993,12:00 - 16:30;17:30 - 22:00,No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,86,NISHIKI DON,錦丼,702,7F,26280802,11:30 - 23:00,No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Dinning,89,GYU JIN SHABUSHABU & SUKIYAKI,牛陣,706,7F,23111092,12:00 - 23:30,No iClub Privilege,1,RE;JG,Restaurant;Japanese Gourmets,,2022-01-30
ISquare,Shopping,101,Ray-Ban,Ray-Ban,LB04,LBF,26254017,11:00 - 21:00,Has iClub Privilege,1,FA,Fashion & Accessories,,2022-01-30
ISquare,Shopping,105,MANGO,MANGO,LB07,LBF,24663379,"10:30 - 21:30 (Mon-Thu, Sun) ;10:30 - 22:00 (Fri-Sat);",No iClub Privilege,0,FA,Fashion & Accessories,,2022-01-30
ISquare,Shopping,107,PN,PN,LB09A,LBF,23279628,11:00 - 21:00,Has iClub Privilege,1,WJ,Watches & Jewelry,,2022-01-30
ISquare,Shopping,108,mademoiselle,mademoiselle,LB10A,LBF,28824700,11:30 - 21:30 (Mon-Thu);11:00 - 21:30 (Fri-Sun & PH) ;,Has iClub Privilege,1,FA,Fashion & Accessories,,2022-01-30
