mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
K11ArtMall,Shopping,923,#CCCCCc Se/ect X Liberation,#CCCCCc Se/ect X Liberation,Kisok no.9,1F,,12:00pm - 8:00pm,,,1026,New,,2022-01-16
K11ArtMall,Shopping,685,966 Time traveller,舊蹓蹓966 Time traveller,Unit 4;201;K11 Natural,2F,,10:00am - 10:00pm,,,1023,K11 Natural,,2022-01-16
K11ArtMall,Shopping,813,a parallel store,a parallel store,Unit 6;101;K11 Select Zone A,1F,52822531,12pm - 8:30pm,Accepts K Dollars,,1024,K11 Select,,2022-01-16
K11ArtMall,Shopping,2,ABC Cooking Studio,ABC Cooking Studio,108;109;110B & 111B,1F,23367022,,Accepts K Dollars,,1017,Lifestyle,,2022-01-16
K11ArtMall,Shopping,202,Afresh by Apple,Afresh by Apple,Kiosk 41,2F,,,Accepts K Dollars,,1013,Beauty & Personal Care,,2022-01-16
K11ArtMall,Shopping,8,agnès b. FLEURISTE,agnès b. FLEURISTE,119,1F,31434115,11am-8pm,Accepts K Dollars,,1017,Lifestyle,,2022-01-16
K11ArtMall,Shopping,3,agnès b. RUE DE MARSEILLE,agnès b. RUE DE MARSEILLE,G26;G28 &  119,GF,31224282,11:00am – 9:00pm,Accepts K Dollars,,1015;1019,"Fashion;Shoes, Bags & Accessories",,2022-01-16
K11ArtMall,Shopping,4,AIGLE,AIGLE,104,1F,31224488,,Accepts K Dollars,,1015,Fashion,,2022-01-16
K11ArtMall,Shopping,900,AME Stadium,亞洲體育電競館,223,2F,68245526,(Mon - Fri) 11:00am - 10:00pm / (Sat - Sun) 10:00am - 10:00pm,,,1026,New,New,2022-01-16
K11ArtMall,Shopping,920,AMOOVARS CONNECT,AMOOVARS CONNECT,Kiosk No.48,2F,55840507,12:00am – 9:00pm,,,1026,New,New,2022-01-16
K11ArtMall,Shopping,924,Archival Reinvent,Archival Reinvent,G05B,GF,,12:00pm - 9:00pm,,,1026,New,,2022-01-16
K11ArtMall,Shopping,199,Arc'teryx,Arc'teryx,G03 & G04,GF,31880581,11am - 8pm (Mon - Thu) / 11am - 8.30pm (Fri – Sun & Public Holidays),Accepts K Dollars,,1020,Sports & Wellness,,2022-01-16
K11ArtMall,Shopping,7,AV Life Prestige,生活影音,B107,B1F,28913398,,Accepts K Dollars,,1014,Electronics & Gadgets,,2022-01-16
K11ArtMall,Shopping,534,b/major,b/major,112,1F,92407354,,Accepts K Dollars,,1015;1019,"Fashion;Shoes, Bags & Accessories",New,2022-01-16
K11ArtMall,Shopping,559,B’IN SELECT & florantiques,B’IN SELECT & florantiques,Unit 8-9;201;K11 Natural,2F,59771668,12:00nn - 9:00pm,Accepts K Dollars,,1023;1017,K11 Natural;Lifestyle,,2022-01-16
K11ArtMall,Shopping,818,Bibilei Art Room Collect,Bibilei Art Room Collect,Unit 5;104A & 105;K11 Select Zone B,1F,,12:00pm - 8:00pm,Accepts K Dollars,,1024,K11 Select,,2022-01-16
K11ArtMall,Shopping,821,Boysnextdoor,Boysnextdoor,Unit 3;101;K11 Select Zone A,1F,,12:00nn - 10:00pm,Accepts K Dollars,,1024,K11 Select,,2022-01-16
K11ArtMall,Shopping,13,CALVIN KLEIN JEANS,CALVIN KLEIN JEANS,G11 & G24,GF,31224187,11:30am – 9:00pm,Accepts K Dollars,,1015,Fashion,,2022-01-16
K11ArtMall,Shopping,656,CARBALI,CARBALI,212,2F,,11:00am - 9:00pm,Accepts K Dollars,,,,,2022-01-16
K11ArtMall,Shopping,922,CARRYin,CARRYin,G05A,GF,91486645,12:00nn - 9:00pm,Accepts K Dollars,,,,,2022-01-16
