mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
K11Musea,Shopping,912,00RINGS,00RINGS,LAB1F08C,B1F,95366284,11:00am - 9:00pm,Accepts K Dollars,,1008;1025,Lifestyle;New,,2022-01-04
K11Musea,Shopping,253,10 perfect nails,10 perfect nails,213B,2F,21159009,11:00am - 8:00pm,Accepts K Dollars,,1001,Beauty & Personal Care,,2022-01-04
K11Musea,Shopping,254,10/10 HOPE,10/10 HOPE,213C,2F,21191160,11:00am - 9:00pm,Accepts K Dollars,,1001,Beauty & Personal Care,,2022-01-04
K11Musea,Shopping,352,1010 & The Club,1010 & The Club,328 & 330,3F,23071010,11:00am -9:00pm,,,1002;1009,Electronics & Gadgets;Services,,2022-01-04
K11Musea,Shopping,428,A80 PARIS,A80 PARIS,215,2F,,,Accepts K Dollars,,1001;1008,Beauty & Personal Care;Lifestyle,,2022-01-04
K11Musea,Shopping,360,Adidas,Adidas,303B,3F,,,Accepts K Dollars,,1011,Sports & Wellness,,2022-01-04
K11Musea,Shopping,345,Aesop,Aesop,B1F07,B1F,,,Accepts K Dollars,,1001,Beauty & Personal Care,,2022-01-04
K11Musea,Shopping,250,Alexander McQueen,Alexander McQueen,001,GF,26538468,11:00am – 9:00pm,Accepts K Dollars,,1004;1005;1010,"Fashion – Men;Fashion – Women;Shoes, Bags & Accessories",,2022-01-04
K11Musea,Shopping,295,Alice + Olivia by Stacey Bendet,Alice + Olivia by Stacey Bendet,222,2F,,,Accepts K Dollars,,1005;1010,"Fashion – Women;Shoes, Bags & Accessories",,2022-01-04
K11Musea,Shopping,216,American Vintage,American Vintage,223A,2F,35425767,10:00am – 10:00pm,Accepts K Dollars,,1005,Fashion – Women,,2022-01-04
K11Musea,Shopping,839,AMOREPACIFIC,AMOREPACIFIC,LA111,1F,93136737,11:00am - 8:00pm,Accepts K Dollars,,1001;1025,Beauty & Personal Care;New,,2022-01-04
K11Musea,Shopping,881,AP House,AP House,511 & 512,5F,,10:00am – 08:00pm,,,1006;1025,Jewellery & Watches;New,,2022-01-04
K11Musea,Shopping,286,APM Monaco,APM Monaco,232 & 232A,2F,31050112,11:00 am - 8:00 pm,Accepts K Dollars,,1010,"Shoes, Bags & Accessories",,2022-01-04
K11Musea,Shopping,427,Arc'teryx,Arc'teryx,102,1F,21570558, 11:00am - 10:00pm ,Accepts K Dollars,,1004;1005,Fashion – Men;Fashion – Women,,2022-01-04
