mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
Landmark,Shopping,rare-skinfuel,RARE SkinFuel,RARE SkinFuel,309,3F,28668689,10:30am-7:30pm DailyNo treatment Service,Accept Bespoke Dollar;Accept Point Registration,1,beauty_wellness,Beauty&Wellness,beauty_wellness_skin_personalcare;beauty_wellness_beauty_wellnessconc,2022-01-16
Landmark,Shopping,anya-hindmarch,Anya Hindmarch,Anya Hindmarch,214B,2F,,Mon-Sat: 10:30am-7:30pmSun & Public Holidays: 10:30am-7pm,Not accept Bespoke Dollar;Accept Point Registration,0,forher;home,ForHer;Home,forher_bags;forher_fashion;forher_gifts_accessories;home_decor_7c10e35;home_gifts;home_tech_accessories,2022-01-16
Landmark,Shopping,thom-browne,Thom Browne,Thom Browne,213,2F,25397008,Daily 10:30am-7:30pm,Accept Bespoke Dollar;Accept Point Registration,1,forhim;forher,ForHim;ForHer,forhim_fashion;forhim_bags;forhim_shoes;forhim_sneakers;forhim_casualwear;forhim_gifts_accessories;forhim_activewear;forher_activewear;forher_bags;forher_casualwear;forher_fashion;forher_gifts_accessories;forhim_suits;forher_shoes;forher_sneakers;forhim_streetwear;forher_streetwear;forher_tailoring;forhim_tailoring,2022-01-16
Landmark,Shopping,beauty-botanica,beauty botanica,beauty botanica,312-314,3F,,11am - 8pm Daily,Accept Bespoke Dollar;Accept Point Registration,1,forher;beauty_wellness;popup;forhim,ForHer;Beauty&Wellness;PopUp;ForHim,beauty_wellness_mensgrooming;forhim_mensgrooming;beauty_wellness_cosmetics;beauty_wellness_skin_personalcare;beauty_wellness_personalisation;forhim_gifts_accessories;beauty_wellness_beautygadgets;sustainabilty_skin_personalcare;beauty_wellness_exclusive;forher_gifts_accessories;beauty_wellness_fragrance,2022-01-16
Landmark,Shopping,buccellati,Buccellati,布契拉提,119,1F,25100805,Mon to Sat 11am-7pmSun & Public Holidays 11am-6pm,Accept Bespoke Dollar;Accept Point Registration,1,jewellery_watches;home,Jewellery&Watches;Home,jewellery_watches_finejewellery;home_decor_7c10e35,2022-01-16
Landmark,Shopping,belowground,BELOWGROUND,BELOWGROUND,B49-52,BF,,11am-8pm daily,Not accept Bespoke Dollar;Accept Point Registration,0,forher;forhim;jewellery_watches;home;travel_lifestyle;popup,ForHer;ForHim;Jewellery&Watches;Home;Travel&Lifestyle;PopUp,home_books_stationery;home_gifts;forher_activewear;home_exclusive;forhim_streetwear;popup_exclusive;forhim_fashion;forhim_casualwear;forher_eyewear;forher_fashion;forhim_eyewear;forhim_activewear;forher_exclusive;forher_casualwear;home_decor_7c10e35;home_audio_visual_569a443;forhim_shoes;forher_shoes;home_tech_accessories;travel_lifestyle_audio_visual;home_art_antiques;home_furniture;forher_streetwear;forhim_bags;forhim_gifts_accessories;jewellery_watches_watches;travel_lifestyle_tech_accessories;travel_lifestyle_gadgets;jewellery_watches_exclusive;forher_bags;forhim_exclusive;travel_lifestyle_exclusive;forher_gifts_accessories;forher_sneakers;forhim_sneakers,2022-01-16
Landmark,Shopping,charbonnel-et-walker-landmark-alexandra,Charbonnel et Walker,Charbonnel et Walker,104,1F,93036782,11am - 8pm daily,Accept Bespoke Dollar;Accept Point Registration,1,gourmet_groceries;popup,Gourmet&Groceries;PopUp,gourmet_groceries_chocolatiers;popup_aftersalesservice;popup_deliveryservices;popup_personalisation;popup_hampers;popup_exclusive;popup_sustainability;gourmet_groceries_aftersalesservice;gourmet_groceries_personalisation;gourmet_groceries_hampers;gourmet_groceries_exclusive;gourmet_groceries_delivery__copy_,2022-01-16
Landmark,Shopping,royal-caviar-club,Royal Caviar Club,Royal Caviar Club,216A,2F,94478565,10:30am - 7:30pm Daily,Not accept Bespoke Dollar;Accept Point Registration,0,gourmet_groceries,Gourmet&Groceries,gourmet_groceries_hampers,2022-01-16
Landmark,Shopping,crust-italian,Crust Italian,Crust Italian,350,3F,92183540,9am-7pm Daily,Not accept Bespoke Dollar;Not accept Point Registration,0,gourmet_groceries;popup,Gourmet&Groceries;PopUp,gourmet_groceries_patisseries;gourmet_groceries_sustainability__c;gourmet_groceries_gluten_free,2022-01-16
Landmark,Shopping,dior-homme-b66-67,Dior Men,Dior Men (改建中),B66-67,BF,800969886,Mon to Sat 10:30am-7:30pmSun & Public Holidays 11am-7pm,,0,forhim,ForHim,forhim_fashion;forhim_bags;forhim_shoes;forhim_eyewear;forhim_gifts_accessories;forhim_casualwear;forhim_sneakers;forhim_tailoring;forhim_viproom;forhim_landmarkmen;jewellery_watches_finejewellery;jewellery_watches_watches,2022-01-16
Landmark,Shopping,farrington-interiors,Farrington Interiors,富樂庭,216-218,2F,28080831,"Mon-Fri 10:30am-7pmSat, Sun & Public Holidays 11am-6:30pm",Accept Bespoke Dollar;Accept Point Registration,1,home,Home,home_decor_7c10e35;home_bed_bath;home_furniture,2022-01-16
Landmark,Shopping,frette,Frette,Frette,239,2F,25221231,10:30am-7:30pm daily,Accept Bespoke Dollar;Accept Point Registration,1,home,Home,home_hampers;home_gifts;home_exclusive;home_deliveryservices;home_personalisation;home_bed_bath;home_decor_7c10e35;home_viproom;home_aftersalesservice,2022-01-16
