mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
LanghamPlace,Shopping,53,AAPE BY A BATHING APE,AAPE BY A BATHING APE,01 & 21,5F,35149377,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,309,Active Ride Shop,Active Ride Shop,02,5F,23839186,Mon - Thu: 12:00 - 21:00;Fri - Sun & Public Holidays: 12:00 - 22:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,10,adidas Originals,adidas Originals,09,8F,35144109,Mon - Sun & Public Holidays: 11:00 - 22:30,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,11,adidas Sportswear Collective Store,adidas Sportswear Collective Store,38-39,1F,23379883,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,54,agnés b.,agnés b.,28-33,3F,35144311,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,350,ALGENIST at LANGHAM BEAUTY,ALGENIST at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,178,ALTERNATE W,ALTERNATE W,31-32,11F,37096694,Mon - Thu: 11:00 - 22:00;Fri - Sun & Public Holidays: 11:00 - 22:30,,1,19,Accessories,,2022-01-16
LanghamPlace,Shopping,283,Anima Animus Jewels,Anima Animus Jewels,36-37,9F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,,12,Jewellery / Watches,,2022-01-16
LanghamPlace,Shopping,364,ANNA SUI at LANGHAM BEAUTY,ANNA SUI at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,237,Apivita,Apivita,19A,B1F,98635942,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,337,ARMANI BEAUTY at LANGHAM BEAUTY,ARMANI BEAUTY at LANGHAM BEAUTY,LANGHAM BEAUTY,1F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,112,AVEDA,AVEDA,21,2F,35149234,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,316,BBG,BBG,17,5F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,348,BELIF at LANGHAM BEAUTY,BELIF at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,113,benefit,benefit,31,2F,34279582,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,12,BIGPACK,BIGPACK,07-08,8F,34011142,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,114,BIODERMA,BIODERMA,06,2F,35144368,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,327,BOBBI BROWN at LANGHAM BEAUTY,BOBBI BROWN at LANGHAM BEAUTY,LANGHAM BEAUTY,1F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,204,BOY LONDON,BOY LONDON,06,5F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,356,BURBERRY FRAGRANCES at LANGHAM BEAUTY,BURBERRY FRAGRANCES at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:13 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,351,BY TERRY at LANGHAM BEAUTY,BY TERRY at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,358,CALVIN KLEIN FRAGRANCES at LANGHAM BEAUTY,CALVIN KLEIN FRAGRANCES at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,55,Calvin Klein Jeans,Calvin Klein Jeans,03,3F,35144185,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,56,CALVIN KLEIN UNDERWEAR,CALVIN KLEIN UNDERWEAR,20,3F,35149022,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,179,Candy Wagon,糖果馬車,37,11F,23326670,Mon - Sun & Public Holidays: 12:00 - 22:30,,1,19,Accessories,,2022-01-16
LanghamPlace,Shopping,314,CAT PLUS. CUTIE,CAT PLUS. CUTIE,17-18,12F,62191172,Mon - Sun & Public Holidays: 11:30 - 21:00,,1,11,Lifestyle,,2022-01-16
LanghamPlace,Shopping,188,CATALO,CATALO,22-23,B2F,34279207,Mon - Sun & Public Holidays: 10:00 - 21:00,,1,9,Personal Care,,2022-01-16
LanghamPlace,Shopping,13,CATALOG,CATALOG,02-05,6F,35144132,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,187,CAUDALIE,CAUDALIE,07,2F,26430886,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,57,CHAMPION,CHAMPION,06-08,6F,34283860,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,217,CHARLES & KEITH,CHARLES & KEITH,01-02,3F,39052289,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,8,Shoes / Bags,,2022-01-16
LanghamPlace,Shopping,58,CHEVIGNON,CHEVIGNON,09,5F,25412138,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,357,CHLOÉ PARFUM at LANGHAM BEAUTY,CHLOÉ PARFUM at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,98,CINEMA CITY,CINEMA CITY 戲院,01,8F,23600910,Mon - Sun & Public Holidays: 11:00 - 00:00,,1,16,Cinema,,2022-01-16
LanghamPlace,Shopping,326,CLARINS at LANGHAM BEAUTY,CLARINS at LANGHAM BEAUTY,LANGHAM BEAUTY,1F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,365,CLEAN BEAUTY COLLECTIVE  at LANGHAM BEAUTY,CLEAN BEAUTY COLLECTIVE  at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,59,COACH,COACH,07-08,1F,35149288,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,14,Fashion,,2022-01-16
LanghamPlace,Shopping,366,COACH at LANGHAM BEAUTY,COACH at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,14,Columbia Sportswear Company,Columbia Sportswear Company,02-03,7F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,15,CONVERSE,CONVERSE,05-06,8F,35149319,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,7,Sportswear,,2022-01-16
LanghamPlace,Shopping,251,Cosme Go,Cosme Go,29,2F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,115,COVERMARK,COVERMARK,22,2F,35149062,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,306,Crudo,Crudo,19-21,9F,,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,19,Accessories,,2022-01-16
LanghamPlace,Shopping,116,Derma Skincare Center- VICHY / SKINCEUTICALS / LA ROCHE-POSAY,Derma Skincare Center- VICHY / SKINCEUTICALS / LA ROCHE-POSAY,20,2F,35144023,Mon - Sun & Public Holidays: 11:00 - 23:00,,1,17,Beauty,,2022-01-16
LanghamPlace,Shopping,362,DERMACEPT at LANGHAM BEAUTY,DERMACEPT at LANGHAM BEAUTY,LANGHAM BEAUTY,2F,31893100,Mon - Sun & Public Holidays: 11:00 - 22:00,,1,17,Beauty,,2022-01-16
