mall,type,shop_category_id,shop_category_name,update_date
LeeGardensMalls,Dinning, All Categories ,All Categories,2022-01-31
LeeGardensMalls,Dinning,Business Centre & Co-working Space,Business Centre & Co-working Space,2022-01-31
LeeGardensMalls,Dinning,Education,Education,2022-01-31
LeeGardensMalls,Dinning,Fashion & Accessories,Fashion & Accessories,2022-01-31
LeeGardensMalls,Dinning,Home Furnishing & Appliances,Home Furnishing & Appliances,2022-01-31
LeeGardensMalls,Dinning,"Jewellery, Watches & Optical","Jewellery, Watches & Optical",2022-01-31
LeeGardensMalls,Dinning,Kids’ Fashion & Lifestyle,Kids’ Fashion & Lifestyle,2022-01-31
LeeGardensMalls,Dinning,Medical & Healthcare,Medical & Healthcare,2022-01-31
LeeGardensMalls,Dinning,Kids' Play & Learn ,Kids' Play & Learn ,2022-01-31
LeeGardensMalls,Dinning,"Lifestyle, Electronics & Music","Lifestyle, Electronics & Music",2022-01-31
LeeGardensMalls,Dinning,Personal Care & Beauty,Personal Care & Beauty,2022-01-31
LeeGardensMalls,Dinning,Sports,Sports,2022-01-31
LeeGardensMalls,Dinning,"Supermarket, Gourmet & Wine ","Supermarket, Gourmet & Wine ",2022-01-31
LeeGardensMalls,Dinning,Others,Others,2022-01-31
LeeGardensMalls,Dinning, All Categories ,All Categories,2022-01-31
LeeGardensMalls,Dinning,Chinese,Chinese,2022-01-31
LeeGardensMalls,Dinning,Japanese & Korean,Japanese & Korean,2022-01-31
LeeGardensMalls,Dinning,Western,Western,2022-01-31
LeeGardensMalls,Dinning,Asian,Asian,2022-01-31
LeeGardensMalls,Dinning,Café & Others,Café & Others,2022-01-31
LeeGardensMalls,Dinning,Food Court ,Food Court ,2022-01-31
