mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
HysanPlace,Dining,BAI FUNG BENTO,BAI FUNG BENTO,百芳池上便當,11/F,HysanPlace,21091338,"11:00 - 23:00* (Mon to Thur & Sun);11:00 - 12:00* (Fri, Sat & eve of PH)",,,Food Court ,Food Court ,,2022-01-30
HysanPlace,Dining,Cadillac Bar & Grill,Cadillac Bar & Grill,Cadillac Bar & Grill,718-719,HysanPlace,25212322,11:30 - 24:00* (Sun to Thu);11:30 - 02:00* (Fri & Sat),,,Western,Western,,2022-01-30
HysanPlace,Dining,Chatuchak,Chatuchak,Chatuchak,11/F,HysanPlace,,"11:00 - 23:00* (Sun - Thur);11:00 - 00:00* (Fri, Sat and eve of PH)",,,Food Court ,Food Court ,,2022-01-30
HysanPlace,Dining,Chi Cha San Chen,Chi Cha San Chen,吃茶三千,511A,HysanPlace,,"10:00-22:00 (Sunday to Thu);10:00-23:00 (Fri, Sat & eve of PH)",,,Asian,Asian,,2022-01-30
HysanPlace,Dining,Chun Shui Tang,Chun Shui Tang,春水堂,317-319,HysanPlace,36145725,"10:00 - 22:00* (Sun to Thu);10:00 - 23:00* (Fri, Sat & eve of PH)",,,Asian,Asian,,2022-01-30
HysanPlace,Dining,Coucou Hotpot・Brew Tea,Coucou Hotpot・Brew Tea,湊湊火鍋・茶憩,1401-1402,HysanPlace,28180698,11:00 - 22:00*,,,Asian,Asian,,2022-01-30
HysanPlace,Dining,CUPFY,CUPFY,CUPFY,9/F(eslite),HysanPlace,34196729,10:00 – 22:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,Curry House Coco Ichibanya,Curry House Coco Ichibanya,Curry House Coco Ichibanya,11/F,HysanPlace,35710157,11:30 - 21:30* (Sun to Thu);11:30 - 22:00* (Fri & Sat),,,Food Court ,Food Court ,,2022-01-30
HysanPlace,Dining,FLIPPER’S @ i.t blue block,FLIPPER’S @ i.t blue block,FLIPPER’S @ i.t blue block,"601-625, 628-632",HysanPlace,23672133,12:30 - 21:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,Green Waffle Diner,Green Waffle Diner,Green Waffle Diner,1303,HysanPlace,28805123,"11:00 - 23:00* (Sun to Thu);11:00 - 00:00* (Fri, Sat & eve of PH)",,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,HABITŪ table,HABITŪ table,HABITŪ table,8/F(eslite),HysanPlace,35431313,10:00 - 22:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,Ho Hung Kee (1946) Congee & Noodle Shop,Ho Hung Kee (1946) Congee & Noodle Shop,何洪記（1946）粥麵專家,1204-1205,HysanPlace,25776028,"11:30 - 23:00* (Mon to Fri);11:00 - 23:00* (Sat, Sun & PH)",,,Chinese,Chinese,,2022-01-30
HysanPlace,Dining,Home Baking Day,Home Baking Day,Home.焙小日子,705-708A,HysanPlace,31658677,10:00 – 22:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,Homing People,Homing People,Homing People,10/F(eslite),HysanPlace,,10:00 - 22:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,HOW to live well,HOW to live well,HOW to live well,414 - 417,HysanPlace,67900774,"12:00 – 22:00* (Sun to Thu);12:00 – 23:00* (Fri , Sat)",,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,IPPUDO,IPPUDO,一風堂,1403,HysanPlace,28922387,11:30 - 22:00*,,,Japanese & Korean,Japanese & Korean,,2022-01-30
HysanPlace,Dining,kikusan,kikusan,kikusan,1301,HysanPlace,22527808,11:30am - 11:00pm*,,,Chinese,Chinese,,2022-01-30
HysanPlace,Dining,kikusan,kikusan,kikusan,1301,HysanPlace,22527808,11:30am - 11:00pm*,,,Japanese & Korean,Japanese & Korean,,2022-01-30
HysanPlace,Dining,Kyo Hayashiya,Kyo Hayashiya,京林屋,1203,HysanPlace,35801838,"11:00 - 23:00* (Sun - Thur);11:00 - 00:00* (Fri, Sat and eve of Public Holidays)",,,Japanese & Korean,Japanese & Korean,,2022-01-30
HysanPlace,Dining,Lane No.9 Tea,Lane No.9 Tea,阿玖里台湾料理,B2/F,HysanPlace,,11:00 - 20:00*,,,Asian,Asian,,2022-01-30
HysanPlace,Dining,Le Cha,Le Cha,Le Cha,10/F(eslite),HysanPlace,34196793,10:00 - 22:00*,,,Café & Others,Café & Others,,2022-01-30
HysanPlace,Dining,Lee Fa Yuen Express,Lee Fa Yuen Express,梨花園快餐,11/F,HysanPlace,25063793,"11:00 - 23:00* (Sun - Thur);11:00 - 00:00* (Fri, Sat and eve of Public Holidays)",,,Food Court ,Food Court ,,2022-01-30
