mall,type,shop_category_id,shop_category_name,update_date
LinkHKMalls,Shopping,5,FRESH MARKET,2022-01-31
LinkHKMalls,Shopping,1,FASHION & ACCESSORIES,2022-01-31
LinkHKMalls,Shopping,2,HOUSEHOLD & DEPARTMENT STORES,2022-01-31
LinkHKMalls,Shopping,8,ELECTRONICS & TELECOMMUNICATION SERVICES,2022-01-31
LinkHKMalls,Shopping,3,"BEAUTY, HEALTH & PERSONAL CARE",2022-01-31
LinkHKMalls,Shopping,7,SUPERMARKETS & CONVENIENCE STORES,2022-01-31
LinkHKMalls,Shopping,4,CLINICS & PHARMACIES,2022-01-31
LinkHKMalls,Shopping,6,BANKING & FINANCIAL SERVICES,2022-01-31
LinkHKMalls,Shopping,19,TAKEAWAY REFRESHMENTS,2022-01-31
LinkHKMalls,Shopping,16,"GIFTS, BOOKS & EDUCATION",2022-01-31
LinkHKMalls,Shopping,9,OTHERS,2022-01-31
LinkHKMalls,Dining,0,ALL  CUISINES,2022-01-31
LinkHKMalls,Dining,15,HONG KONG STYLE,2022-01-31
LinkHKMalls,Dining,11,CHINESE CUISINE,2022-01-31
LinkHKMalls,Dining,18,WESTERN CUISINE,2022-01-31
LinkHKMalls,Dining,12,JAPANESE CUISINE,2022-01-31
LinkHKMalls,Dining,13,KOREAN CUISINE,2022-01-31
LinkHKMalls,Dining,17,OTHER ASIAN CUISINES,2022-01-31
LinkHKMalls,Dining,14,FAST FOOD,2022-01-31
LinkHKMalls,Dining,21,DELIS & DESSERTS,2022-01-31
LinkHKMalls,Dining,20,GREEN DELIGHTS,2022-01-31
