mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
ButterflyPlaza,Shopping,26339,DR. KONG,DR. KONG,R205,2F,24301218,Monday to Sunday & Public Hoilday: 10:30 am - 8:30 pm,,,1,FASHION & ACCESSORIES,,2022-05-02
ButterflyPlaza,Shopping,26160,7-Eleven,7-Eleven,R105,1F,21948202,Monday to Sunday & Public Hoilday: 7:00 am - 11:00 pm,,,7,SUPERMARKETS & CONVENIENCE STORES,,2022-05-02
ButterflyPlaza,Shopping,27368,Baleno,班尼路,R202-R203 & R206,2F,24647597,Monday to Sunday & Public Hoilday: 9:00 am - 9:00 pm,,,1,FASHION & ACCESSORIES,,2022-05-02
ButterflyPlaza,Shopping,29106,Spins,Spins,R217,2F,21550368,Monday to Sunday & Public Hoilday: 9:00 am - 9:30 pm,,,1,FASHION & ACCESSORIES,,2022-05-02
ButterflyPlaza,Shopping,27391,Wing Wah Medicine (NT) Ltd,榮華藥坊,R118,1F,22780079,Monday to Sunday & Public Hoilday: 9:30 am - 8:30 pm,,,4,CLINICS & PHARMACIES,,2022-05-02
ButterflyPlaza,Shopping,27383,Conwell Medical Centre Limited,康和醫務中心有限公司,R231,2F,24622768,Monday to Friday: 9:00 am - 1:00 pm & 4:00 pm - 8:00 pmSaturday and Sunday: 9:00 am - 1:00 pm,,,4,CLINICS & PHARMACIES,,2022-05-02
ButterflyPlaza,Shopping,31371,VILLA,VILLA,R318B,3F,24633531,Monday to Sunday & Public Hoilday: 10:00 am - 8:00 pm,,,2,HOUSEHOLD & DEPARTMENT STORES,,2022-05-02
ButterflyPlaza,Dining,27385,KFC,肯德基,R234-R237,2F,23269178,Monday to Sunday & Public Hoilday: 7:30 am - 10:00 pm,,,14,FAST FOOD,,2022-05-02
ButterflyPlaza,Shopping,26786,Colour,Colour,R219,2F,28339186,Monday to Sunday & Public Hoilday: 10:00 am - 9:00 pm,,,1,FASHION & ACCESSORIES,,2022-05-02
ButterflyPlaza,Shopping,27212,Maple,Maple,R209,2F,24487823,Monday to Sunday & Public Hoilday: 9:30 am - 9:30 pm,,,1,FASHION & ACCESSORIES,,2022-05-02
ButterflyPlaza,Shopping,26776,YATTA ,YATTA ,R216,2F,,Monday to Sunday & Public Hoilday:,,,9,OTHERS,,2022-05-02
ButterflyPlaza,Shopping,27384,VICTORIA UNIFORM,維多利校服公司,R165,1F,24040177,Monday to Saturday: 10:45 am - 7:00 pm,,,1;16,"FASHION & ACCESSORIES;GIFTS, BOOKS & EDUCATION",,2022-05-02
ButterflyPlaza,Shopping,27379,BANK OF CHINA (HONG KONG),中國銀行(香港),R156-R164,1F,39882388,Monday to Friday: 9:00 am - 5:00 pm Saturday: 9:00 am - 1:00 pm ,,,6,BANKING & FINANCIAL SERVICES,,2022-05-02
ButterflyPlaza,Shopping,27380,Dr. Tung Kwok Fai,西醫董國輝,R230,2F,24623923,Monday to Friday: 9:00 am - 1:00 pm & 4:00 pm - 8:00 pmSaturday and Sunday: 9:00 am - 1:00 pm ,,,4,CLINICS & PHARMACIES,,2022-05-02
ButterflyPlaza,Shopping,27370,Greenery Music,青苗琴行,R229,2F,27358088,Monday to Friday: 12:00 pm - 9:00 pm Saturday: 9:00 am - 8:00 pm Sunday: 9:00 am - 6:00 pm,,,16,"GIFTS, BOOKS & EDUCATION",,2022-05-02
ButterflyPlaza,Shopping,28286,Yiu Fung Learning Centre,耀豐學習中心,R166,1F,27851028,Monday to Saturday: 10:00 am - 7:00 pm,,,16,"GIFTS, BOOKS & EDUCATION",,2022-05-02
