mall,type,shop_category_id,shop_category_name,update_date
LukYeungGalleria,Shopping,blt545e30dbdd4091aa,Beauty,2022-01-31
LukYeungGalleria,Shopping,blt842c76ea1400fe71,Confectionary,2022-01-31
LukYeungGalleria,Shopping,blt8b177ad3065ce91f,Education,2022-01-31
LukYeungGalleria,Shopping,blt6715a7fc3132c858,Entertainment,2022-01-31
LukYeungGalleria,Shopping,blt24f6cdb24fb781b7,Fashion,2022-01-31
LukYeungGalleria,Shopping,blt770a3de727067430,"Gifts, Books & Stationery",2022-01-31
LukYeungGalleria,Shopping,blt98df7e140cc9d70a,Health & Personal Care,2022-01-31
LukYeungGalleria,Shopping,blte0f4afe2e56fb0e5,Household & Grocery,2022-01-31
LukYeungGalleria,Shopping,blt3004494ff6a1557c,Optical,2022-01-31
LukYeungGalleria,Shopping,blt5362ed313d1590bd,Services,2022-01-31
LukYeungGalleria,Shopping,bltb326a48daccdea0f,Shoes & Bags,2022-01-31
LukYeungGalleria,Shopping,blt3a9c6b8cefff835c,Supermarket & Convenience Store,2022-01-31
LukYeungGalleria,Shopping,blt8dc6c10c01d2422e,Travel Agency,2022-01-31
LukYeungGalleria,Dining,bltb5f9f47b57529c8a,Food & Beverage,2022-01-31
