mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
LukYeungGalleria,Shopping,120,ANGELS,ANGELS,G25,LGF,22178382,10:00 - 21:00,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,172,AQ Bio,AQ Bio,G40,LGF,,,MTR Points Promotion,,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,60,Aussie,澳仕健康食品,F14A,1F,24998377,10:00 - 21:00,MTR Points Promotion,1,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,139,Baleno,Baleno,G29-29A,LGF,24270900,10:00 - 21:00,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,37,Bestmart 360,優品360,P3-4,1F,,09:00 - 22:00,MTR Points Promotion,1,blte0f4afe2e56fb0e5,Household & Grocery,,2022-01-31
LukYeungGalleria,Shopping,147,Body Chocolate,Body Chocolate,G20,LGF,31082150,,MTR Points Promotion,,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,99,Breo,Breo,G2,LGF,56430677,11:30 - 20:30,MTR Points Promotion,1,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,144,Catalo,美國家得路,F20,1F,36210130,11:00 - 20:00,MTR Points Promotion,,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,40,Centaline Property Agency Limited,中原地產,P7,1F,24199088/24022262,09:30 - 21:30,,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,126,Charlotte,Charlotte,G39,LGF,21160877,12:00 - 21:00,MTR Points Promotion,,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,123,China Life,中國人壽 (海外),S18A,2F,,10:00 - 20:00,,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,73,China Travel Service,香港中國旅行社,S5-6,2F,24988826,10:30 - 18:30,MTR Points Promotion,,blt8dc6c10c01d2422e,Travel Agency,,2022-01-31
LukYeungGalleria,Shopping,125,Chloe Everett,Chloe Everett,G38,LGF,26586299,12:00 - 21:30,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,41,Circle K,OK便利店,P8,1F,22549472,00:00 - 23:59,MTR Points Promotion,,blt3a9c6b8cefff835c,Supermarket & Convenience Store,,2022-01-31
LukYeungGalleria,Shopping,61,Cook Cook Land,星廚天地,F15,1F,24014937,10:30 - 21:00,MTR Points Promotion,1,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,179,COOLOO LEATHER,COOLOO LEATHER,Kiosk C,LGF,,11:00 - 21:00,MTR Points Promotion,1,bltb326a48daccdea0f,Shoes & Bags,,2022-01-31
LukYeungGalleria,Shopping,160,Crafted,巧手製作蒸飯包點專門店,F4,1F,,07:00 - 22:00,MTR Points Promotion,,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,167,DCH Finest,大昌煮意,F21,1F,,09:00 - 21:30,MTR Points Promotion,1,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,36,DSC Dental Service Centre,DSC牙科護理中心,P2A-C,1F,23669996,10:00 - 20:00,MTR Points Promotion,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,133,DV Meteor,DV Meteor,G46,LGF,24666118,,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,143,Dynasty Hair & Nail Centre,唐朝髮型,G32,LGF,24296668,10:00 - 21:00,MTR Points Promotion,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,168,eg mix & match,eg mix & match,G24,LGF,26359818,10:00 - 20:00,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,71,EGL Tour / EGL Market,東瀛遊,S3-4A,2F,26119399,10:30 - 20:00,MTR Points Promotion,,blte0f4afe2e56fb0e5,Household & Grocery,,2022-01-31
LukYeungGalleria,Shopping,53,Eu Yan Sang,余仁生,F7,1F,24131989,10:00 - 20:00,MTR Points Promotion,1,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,132,FATINA,FATINA,G45,LGF,26518928,11:00 - 20:00,MTR Points Promotion,,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,175,Footspot,Footspot,G12-13,LGF,,10:30 - 20:00,MTR Points Promotion,,bltb326a48daccdea0f,Shoes & Bags,,2022-01-31
LukYeungGalleria,Shopping,130,Fortune Queen,Fortune Queen,G43,LGF,24628862,11:00 - 21:00,MTR Points Promotion,,blt545e30dbdd4091aa,Beauty,,2022-01-31
LukYeungGalleria,Shopping,142,Fotomax,快圖美,G31,LGF,24139396,10:30 - 19:30,MTR Points Promotion,1,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,181,Goods2Buy,Goods2Buy,S13,2F,,12:00 - 20:00,MTR Points Promotion,,blte0f4afe2e56fb0e5,Household & Grocery,,2022-01-31
LukYeungGalleria,Shopping,82,Hallmark,Hallmark,S15A,2F,24980418,11:00 - 21:00,MTR Points Promotion,1,blt770a3de727067430,"Gifts, Books & Stationery",,2022-01-31
LukYeungGalleria,Shopping,69,Hang Seng Bank,恒生銀行,F21A,1F,21989550,09:00 - 17:00,,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,81,HANJIN,韓剪,S14,2F,,10:00 - 20:30,MTR Points Promotion,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,115,Haple,Haple,G19,LGF,21542299,11:30 - 21:30,MTR Points Promotion,1,bltb326a48daccdea0f,Shoes & Bags,,2022-01-31
LukYeungGalleria,Shopping,134,HONG Silver Works,泓銀工房,G47,LGF,24333068,11:00 - 19:00,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,176,HOSO MORE,HOSO MORE,G27A,LGF,,11:00 - 20:00,MTR Points Promotion,1,blte0f4afe2e56fb0e5,Household & Grocery,,2022-01-31
LukYeungGalleria,Shopping,106,Image Optical,潮流天地,G9,LGF,26962280,11:00 - 21:30,MTR Points Promotion,1,blt3004494ff6a1557c,Optical,,2022-01-31
LukYeungGalleria,Shopping,103,innisfree,innisfree,G6,LGF,36210906,11:00 - 21:00,MTR Points Promotion,1,blt545e30dbdd4091aa,Beauty,,2022-01-31
LukYeungGalleria,Shopping,52,J' s Garden,菁雲,F6,1F,39750502,10:00 - 21:00,MTR Points Promotion,1,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,183,Japan Ice-cream House,日本雪糕屋,F19B,1F,27979967(Hotline),11:00 - 21:00,MTR Points Promotion,,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,102,Jipi Japa,Jipi Japa,G5,LGF,23702919,11:00 - 21:30,MTR Points Promotion,1,bltb326a48daccdea0f,Shoes & Bags,,2022-01-31
LukYeungGalleria,Shopping,177,Jolly Kingdom,啟言英語教育中心,S9,2F,,09:30 - 18:30,,,blt8b177ad3065ce91f,Education,,2022-01-31
LukYeungGalleria,Shopping,45,JP Partners Medical Group,莊柏醫療,P10B,1F,26183805,09:00 - 20:00,MTR Points Promotion,,blt5362ed313d1590bd,Services,,2022-01-31
LukYeungGalleria,Shopping,57,Kee Wah Bakery,奇華餅家,F12,1F,24173177,08:30 - 21:00,MTR Points Promotion,1,blt842c76ea1400fe71,Confectionary,,2022-01-31
LukYeungGalleria,Shopping,174,Kitchen Lab,Kitchen Lab,G3,LGF,,11:30 - 20:30,MTR Points Promotion,1,blte0f4afe2e56fb0e5,Household & Grocery,,2022-01-31
LukYeungGalleria,Shopping,59,Korea Ginseng Hanyinhong,韓國人蔘韓印紅,F14,1F,23201728,10:30 - 20:00,MTR Points Promotion,,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,98,LANEIGE,LANEIGE,G1,LGF,21114005,11:00 - 21:00,MTR Points Promotion,1,blt545e30dbdd4091aa,Beauty,,2022-01-31
LukYeungGalleria,Shopping,110,Leona,Leona,G14,LGF,24999411,11:30 - 20:30,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,114,LK Beauty,LK Beauty,G18,LGF,95205537,13:00 - 20:00,MTR Points Promotion,1,blt545e30dbdd4091aa,Beauty,,2022-01-31
LukYeungGalleria,Shopping,93,Luk Yeung Kindergarten and Childcare Centre,綠楊幼稚園暨幼兒園,S30,2F,24998832,08:30 - 17:30,,,blt8b177ad3065ce91f,Education,,2022-01-31
LukYeungGalleria,Shopping,124,M + W,M + W,G37,LGF,35800901,12:00 - 20:00,MTR Points Promotion,,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,33,Ma Belle,Ma Belle,G26,LGF,24125271,11:00 - 21:00,MTR Points Promotion,1,blt24f6cdb24fb781b7,Fashion,,2022-01-31
LukYeungGalleria,Shopping,46,Mannings,萬寧,P11A-B,1F,24923224,09:30 - 22:00,MTR Points Promotion,1,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,171,Maskology Living,Maskology Living,G10-11B,LGF,26882063,11:00 - 20:30,MTR Points Promotion,1,blt98df7e140cc9d70a,Health & Personal Care,,2022-01-31
LukYeungGalleria,Shopping,83,Maxgate Stationery,萬有文具,S15B-16,2F,27404366/28111126,11:00 - 20:30,MTR Points Promotion,1,blt770a3de727067430,"Gifts, Books & Stationery",,2022-01-31
