mall,type,shop_category_id,shop_category_name,update_date
MaritimeSquare,Shopping,blta0696592c745aac3,Beauty,2022-01-20
MaritimeSquare,Shopping,bltd86d71922df1385a,Confectionary,2022-01-20
MaritimeSquare,Shopping,bltcedf54012c969c8a,Department Store,2022-01-20
MaritimeSquare,Shopping,blt13a22a2293184fe1,Electronics & Telecommunications,2022-01-20
MaritimeSquare,Shopping,blt63e17c7ed666477d,Entertainment,2022-01-20
MaritimeSquare,Shopping,blt0d39e8dbe2eb28e2,Fashion,2022-01-20
MaritimeSquare,Shopping,blt0faa44182d5be960,"Gifts, Books & Stationery",2022-01-20
MaritimeSquare,Shopping,bltd321ff217d6861df,Health Products & Personal Care,2022-01-20
MaritimeSquare,Shopping,blt74b9390ac4bac132,Household,2022-01-20
MaritimeSquare,Shopping,blt091527776f51de6a,Optical,2022-01-20
MaritimeSquare,Shopping,blt58dadf2acb899661,Others,2022-01-20
MaritimeSquare,Shopping,blt195d521b79c8af2d,Services,2022-01-20
MaritimeSquare,Shopping,bltbf2cb7ba3a7fd21b,Shoes & Bags,2022-01-20
MaritimeSquare,Shopping,blt6fbf3a626457f1b5,Sports,2022-01-20
MaritimeSquare,Shopping,blt13325b3322ab2c12,Supermarket,2022-01-20
MaritimeSquare,Shopping,blta3a8ba554a8a82b4,Watch & Jewellery,2022-01-20
MaritimeSquare,Dining,bltb36ae496d11d2738,Asian Flavours,2022-01-20
MaritimeSquare,Dining,blt14713a9584c149a2,Cafes & Fast Food,2022-01-20
MaritimeSquare,Dining,blt4ac742769190a8e1,Chinese Cuisine,2022-01-20
MaritimeSquare,Dining,blt1fa00202a8f2c290,Western Delicacy,2022-01-20
