mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
MaritimeSquare,Shopping,366,±0 Plus Minus Zero,±0正負零,148,Maritime Square 1 1F,,11:00 - 21:00,MTR Points Promotion,1,blt13a22a2293184fe1,Electronics & Telecommunications,,2022-01-31
MaritimeSquare,Shopping,234,123 . . . by ELLA,123 . . . by ELLA,316B,Maritime Square 1 3F,24113030,09:00 - 21:00,MTR Points Promotion,1,blt0faa44182d5be960,"Gifts, Books & Stationery",,2022-01-31
MaritimeSquare,Shopping,194,6IXTY 8IGHT,6IXTY 8IGHT,159,Maritime Square 1 1F,24350900,10:00 - 22:00,MTR Points Promotion,1,blt0d39e8dbe2eb28e2,Fashion,,2022-01-31
MaritimeSquare,Shopping,328,759 Store,759 阿信屋,131,Maritime Square 1 1F,36696732,09:00 - 22:00,MTR Points Promotion,,blt13325b3322ab2c12,Supermarket,,2022-01-31
MaritimeSquare,Shopping,349,A-1 Bakery,A-1 Bakery,179,Maritime Square 2 1F,26649555,07:30 - 22:00,,,bltd86d71922df1385a,Confectionary,,2022-01-31
MaritimeSquare,Shopping,350,ABOUTHAI,阿布泰國生活百貨,194,Maritime Square 2 1F,,10:00 - 22:00,,,bltd321ff217d6861df,Health Products & Personal Care,,2022-01-31
MaritimeSquare,Shopping,296,adidas,adidas,120,Maritime Square 1 1F,28876428,12:00 - 21:00,MTR Points Promotion,1,blt6fbf3a626457f1b5,Sports,,2022-01-31
MaritimeSquare,Shopping,60,ALFRINA,ALFRINA,213A,Maritime Square 1 2F,26760668,11:00 - 21:00,MTR Points Promotion,1,blt0d39e8dbe2eb28e2,Fashion,,2022-01-31
MaritimeSquare,Shopping,225,amika:,amika:,150B,Maritime Square 1 1F,23109691,11:00 - 21:00,MTR Points Promotion,1,blt58dadf2acb899661,Others,,2022-01-31
MaritimeSquare,Shopping,76,Arome Bakery,東海堂,151,Maritime Square 1 1F,21868678,08:00 - 21:00,MTR Points Promotion,1,bltd86d71922df1385a,Confectionary,,2022-01-31
MaritimeSquare,Shopping,386,AUSupreme,澳至尊,184,Maritime Square 2 1F,"26928568,26928598",09:30 - 21:30,,,bltd321ff217d6861df,Health Products & Personal Care,,2022-01-31
MaritimeSquare,Shopping,341,Awesome,Awesome,195,Maritime Square 2 1F,26232280/26232778,11:00 - 21:00,,,blt0faa44182d5be960,"Gifts, Books & Stationery",,2022-01-31
MaritimeSquare,Shopping,300,Baleno,Baleno,149,Maritime Square 1 1F,24880506,11:00 - 20:00,MTR Points Promotion,1,blt0d39e8dbe2eb28e2,Fashion,,2022-01-31
MaritimeSquare,Shopping,304,BANK OF CHINA (HONG KONG),中國銀行(香港),108G,Maritime Square 1 1F,39882388,,,,blt195d521b79c8af2d,Services,,2022-01-31
MaritimeSquare,Shopping,9,BANK OF CHINA (HONG KONG),中國銀行(香港),115-116,Maritime Square 1 1F,39882388,09:00 - 17:00,,,blt195d521b79c8af2d,Services,,2022-01-31
