mall,type,shop_category_id,shop_category_name,update_date
MiraPlace,Shopping,Fashion,Fashion & Sports,2022-01-16
MiraPlace,Shopping,Jewellery & Accessories,Jewellery & Accessories,2022-01-16
MiraPlace,Shopping,Fitness & Beauty,Skin Care & Beauty,2022-01-16
MiraPlace,Shopping,Lifestyle,Home & Lifestyle,2022-01-16
MiraPlace,Shopping,Gift,Gift,2022-01-16
MiraPlace,Shopping,Wellness,Wellness,2022-01-16
MiraPlace,Shopping,Others,Bank & Others,2022-01-16
MiraPlace,Dining,FoodLoft,FoodLoft,2022-01-16
MiraPlace,Dining,Asian,Asian,2022-01-16
MiraPlace,Dining,Chinese,Chinese,2022-01-16
MiraPlace,Dining,Western,Western,2022-01-16
MiraPlace,Dining,Café & Confectionary,Café & Confectionary,2022-01-16
MiraPlace,Dining,Gourmet,Gourmett/ Wine/ Superstore,2022-01-16
