mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
MiraPlace,Shopping,5ifty-5ive-tabernacle-beauty,5ifty-5ive Tabernacle beauty,5ifty-5ive Tabernacle beauty,272;Mira Place 2,2F,61170336/34876768,Mon-Sat:11:00-21:00,,,Fitness & Beauty,Skin Care & Beauty,,2022-01-03
MiraPlace,Shopping,6ixty-8ight,6IXTY 8IGHT,6IXTY 8IGHT,105;Mira Place 1,1F,23269038,Mon-Sun:10:00–22:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,adidas-hong-kong-ftwr-supply,adidas HONG KONG FTWR SUPPLY,adidas HONG KONG FTWR SUPPLY,G32;Mira Place 1,GF,27996980,Mon-Sun:11:00-22:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,aluxe,ALUXE,ALUXE,129;Mira Place 1,1F,23111858,Mon-Sun:12:00-21:30,,,Jewellery & Accessories,Jewellery & Accessories,,2022-01-03
MiraPlace,Shopping,american-eagle,American Eagle,American Eagle,G11 - G14;Mira Place 1,GF,34228269,Mon-Sun:12:00-20:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,amor,Amor,Amor,110A;Mira Place 1,1F,34682124,Mon-Sun:12:00-21:30,,,Fitness & Beauty,Skin Care & Beauty,,2022-01-03
MiraPlace,Shopping,arte-madrid,ARTE Madrid,ARTE Madrid,G18C;Mira Place 1,GF,37090520,Mon-Sun:11:00–21:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,asuni,"asuni,","asuni,",G29;Mira Place 1,GF,61698863,Mon–Sun:11:30–21:30;Sat&Sun:11:30–22:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,b-r-h-diamond-collection,B.R.H Diamond Collection,B.R.H Diamond Collection,362;Mira Place 2,3F,35655746,Mon-Sun:12:00-21:00,,,Jewellery & Accessories,Jewellery & Accessories,,2022-01-03
MiraPlace,Shopping,b51,B51,B51,233;Mira Place 1,2F,31703816,Mon-Sun:11:00-21:00,,,Gift,Gift,,2022-01-03
MiraPlace,Shopping,bakebe,Bakebe,Bakebe,170;Mira Place 2,1F,31658279,Mon-Sun:11:00-22:00,,,Lifestyle,Home & Lifestyle,,2022-01-03
MiraPlace,Shopping,banananaxx,Banananaxx,Banananaxx,125;Mira Place 1,1F,53384345,Mon–Sun:11:30–21:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,berth,BERTH,BERTH,239;Mira Place 1,2F,23380395,Mon-Sun:12:00-21:30,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,blaack-by-g2000,BLAACK BY G2000,BLAACK BY G2000,G61;G & 161;Mira Place 2,1F,27550223/27550078,Mon-Sun:10:00–22:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,blanc-des-vosges,Blanc Des Vosges,Blanc Des Vosges,B126 - B130;Mira Place 1,B1F,39041153,Mon-Sun:11:00-21:00,,,Lifestyle,Home & Lifestyle,,2022-01-03
MiraPlace,Shopping,bodibeauti,BodiBeauti ,BodiBeauti ,285;Mira Place 2,2F,31044791,Mon-Fri:11:00-21:00Sat-Sun/PublicHoliday:11:00-20:00,,,Fitness & Beauty,Skin Care & Beauty,,2022-01-03
MiraPlace,Shopping,brown-bear,BROWN BEAR,BROWN BEAR ,G28;Mira Place 1,GF,,Mon–Sun:11:00–21:00,,,Fashion,Fashion & Sports,,2022-01-03
MiraPlace,Shopping,cadmus,CADMUS,卡文珠寶,265;Mira Place Two,2F,23689731,Mon-Fri:11:00-19:00;Sat-Sun:12:00-17:00,,,Jewellery & Accessories,Jewellery & Accessories,,2022-01-03
