mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
OlympianCity,Shopping,203,10 minutes to 10,10 minutes to 10,UG08D,OlympianCity2 UGF,26093221,Mon - Sun: 11:30am - 09:30pm,,,9,Fashion​​,Fashion;Ladies’ Fashion,2022-01-31
OlympianCity,Shopping,87,7-ELEVEN (OC1),7-11便利店 (一期),UG02,OlympianCity1 UGF,27492170,Mon - Sun: 12:00am - 12:00am,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Confectionery;Convenience Stores;Drink;Food;Snack,2022-01-31
OlympianCity,Shopping,86,7-ELEVEN (OC2),7-11便利店 (二期),UG02C,OlympianCity2 UGF,29048136,Mon - Sun: 07:00am - 11:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Confectionery;Convenience Stores;Drink;Food;Snack,2022-01-31
OlympianCity,Shopping,106,759 Store,759 阿信屋,UG15,OlympianCity1 UGF,36696778,Mon - Sun: 10:00am - 10:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-31
OlympianCity,Shopping,409,Adelina,Adelina,UG57,OlympianCity2 UGF,,Mon - Sun: 11:00am - 08:00pm,,,11,"Jewellery, Watches, Optical & Accessories​​",Accessories;Gift;Jewellery;Luxury;Necklace,2022-01-31
OlympianCity,Shopping,330,aojo,aojo,UG21,OlympianCity2 UGF,23680055,Mon - Sun: 11:00am - 09:00pm,,,11,"Jewellery, Watches, Optical & Accessories​​",Gift;Optical;Sunglasses,2022-01-31
OlympianCity,Shopping,364,AQ Bio,AQ Bio,128F,OlympianCity2 1F,39051895,Mon - Sun: 11:00am - 09:00pm,,,4,Health Products & Personal Care​​,Healthy Living;Personal Care,2022-01-31
OlympianCity,Shopping,18,AQUARIUS Beauty Care & Healthy Trim Centre,水瓶座美容健康纖體中心,UG16,OlympianCity1 UGF,22724650,"Mon - Fri: 11:00am - 08:00pmSat: 10:00am - 07:30pmSun, PH: 10:00am - 06:30pm",,,4,Health Products & Personal Care​​,Body Care;Facial;Healthy Living;Skin Care;Slimming,2022-01-31
OlympianCity,Shopping,242,Artistic Studios,Artistic Studios,UG17,OlympianCity3 UGF,27803177,Mon - Sun: 11:00am - 09:00pm,,,12,Kid's Wear & Toys​​,Baby Products;Book;Game;Gift;Toy,2022-01-31
OlympianCity,Shopping,421,AT HOME DESIGN,AT HOME DESIGN,UG36G-H,OlympianCity1 UGF,39564396,Mon - Sun: 11:00am - 09:00pm,,,17,Others​​,Family,2022-01-31
OlympianCity,Shopping,404,aureus academy,aureus academy,126C,OlympianCity2 1F,58032563,Mon - Sun: 10:00am - 08:00pm,,,5,"Books, Stationery & Education​​",Education,2022-01-31
OlympianCity,Shopping,434,AUSupreme,澳至尊,UG13,OlympianCity3 UGF,23503170/23503178,Mon - Sun: 10:00am - 10:00pm,,,4,Health Products & Personal Care​​,Health Care;Healthy Living,2022-01-31
OlympianCity,Shopping,5,AV Life,生活影音,UG69B,OlympianCity2 UGF,24503398,Mon - Sun: 11:30am - 09:00pm,,,1,Audio-Visual & Electrical Appliances,Electrical Appliances;HIFI;Speaker;TV,2022-01-31
OlympianCity,Shopping,489,AVGS,AVGS,UG23B,OlympianCity2 UGF,,Mon - Sun: 11:30am - 09:30pm,,,9,Fashion​​,Fashion,2022-01-31
OlympianCity,Shopping,244,Balabala,Balabala,UG28-29,OlympianCity3 UGF,35161008,Mon - Sun: 10:00am - 09:00pm,,,12,Kid's Wear & Toys​​,Kids' Accessories;Kids' Fashion,2022-01-31
OlympianCity,Shopping,405,Baleno,Baleno,UG50,OlympianCity3 UGF,26758923,"Mon - Fri: 10:30am - 08:00pmSat, Sun: 10:30am - 08:30pm",,,9,Fashion​​,Casual Wear;Clothing;Kids' Fashion;Ladies’ Fashion,2022-01-31
OlympianCity,Shopping,418,Bandone Premium Food,一品優質凍肉專門店,UG06,OlympianCity3 UGF,26384777,Mon - Sun: 10:00am - 08:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-31
OlympianCity,Shopping,9,BANK OF CHINA (HONG KONG),中國銀行 (香港),130-133,OlympianCity2 1F,39882388,Mon - Fri: 09:00am - 05:00pmSat: 09:00am - 01:00pmFrom 13Jan  : Mon-Fri 09:00am-04:00pm ; Sat 09:00am-12:00nn until further notice,,,2,Banking Services,ATM;Insurance;Money Exchange;Wealth Mangement,2022-01-31
OlympianCity,Shopping,10,Bank of East Asia,東亞銀行,UG46-47,OlympianCity2 UGF,36092762,Mon - Fri: 09:00am - 05:00pmSat: 09:00am - 01:00pmFrom 14Jan : Mon-Fri 09:00am-04:00pm ; Sat 09:00am-12:00nn until further notice,,,2,Banking Services,ATM;Insurance;Money Exchange;Wealth Mangement,2022-01-31
OlympianCity,Shopping,36,Beauty essence,雅倩坊,G52,OlympianCity2 GF,26981128,Mon - Sun: 11:00am - 09:00pm,,,4,Health Products & Personal Care​​,Facial;Skin Care,2022-01-31
OlympianCity,Shopping,74,Beetle Art,創意小甲蟲,105A,OlympianCity1 1F,53137770,Tue: 10:30am - 05:30pmWed - Sat: 09:30am - 06:30pmSun: 10:30am - 01:30pm,,,5,"Books, Stationery & Education​​",Education;Tutorial,2022-01-31
OlympianCity,Shopping,37,Beijing Tong Ren Tang,北京同仁堂,123,OlympianCity2 1F,22734928,Mon - Sun: 10:00am - 08:00pm,,,4,Health Products & Personal Care​​,Chinese Medicine;Health Care,2022-01-31
OlympianCity,Shopping,412,BELLATRIX,BELLATRIX,UG38,OlympianCity3 UGF,25578488,Mon - Sun: 11:30am - 09:30pm,,,9,Fashion​​,Casual Wear;Clothing;Ladies’ Fashion,2022-01-31
OlympianCity,Shopping,55,benefit,benefit,UG55,OlympianCity2 UGF,36210036,Mon - Sun: 11:00am - 08:00pm,,,3,Beauty & Cosmetics​​,Gift,2022-01-31
OlympianCity,Shopping,310,Best Mart 360°,優品 360°,UG92,OlympianCity3 UGF,26122323,Mon - Sun: 09:30am - 10:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-31
OlympianCity,Shopping,488,Blanc Des Vosges,Blanc Des Vosges,G19,OlympianCity2 GF,28131168,Mon - Sun: 11:00am - 08:00pm,,,10,Furniture & Lifestyle​​,Bedding;Home Decoration,2022-01-31
OlympianCity,Shopping,275,blueplace,blueplace,UG32A,OlympianCity2 UGF,25688903,Mon - Sun: 11:00am - 09:00pm,,,14,Sportswear & Equipment​​,Outdoor;Sportswear,2022-01-31
OlympianCity,Shopping,477,Boatat Foods Market,寶達食品超市,K04,OlympianCity1 UGF,56260378,Mon - Sun: 10:00am - 10:00pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Supermarket,2022-01-31
OlympianCity,Shopping,465,BODYCARE,BODYCARE,UG62B,OlympianCity2 UGF,63335325,Mon - Sun: 11:30am - 09:00pm4:30pm-5:30pm Lunch Break,,,4,Health Products & Personal Care​​,Body Care;Health Care;Massager Chair,2022-01-31
OlympianCity,Shopping,493,BRICKS HOUSE,BRICKS HOUSE,G11,OlympianCity3 GF,57952072,"Mon - Fri: 11:30am - 09:00pmSat, Sun, PH: 11:00am - 09:00pm",,,12,Kid's Wear & Toys​​,Gift;Toy,2022-01-31
