mall,type,shop_category_id,shop_category_name,update_date
PacificPlace,Shopping,arts_gifts_home,"Arts, Gifts & Home",2022-01-12
PacificPlace,Shopping,banks_services,Banks & Services,2022-01-12
PacificPlace,Shopping,books_music_electronics,"Books, Music & Electronics",2022-01-12
PacificPlace,Shopping,childrenswear_toys,Children's Wear & Toys,2022-01-12
PacificPlace,Shopping,entertainment,Entertainment,2022-01-12
PacificPlace,Shopping,health_beauty,Health & Beauty,2022-01-12
PacificPlace,Shopping,jewellery_watches_accessories,"Jewellery, Watches & Accessories",2022-01-12
PacificPlace,Shopping,ladies_fashion,Ladies' Fashion,2022-01-12
PacificPlace,Shopping,mens_fashion,Men's Fashion,2022-01-12
PacificPlace,Shopping,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",2022-01-12
PacificPlace,Shopping,sports,Sports,2022-01-12
PacificPlace,Shopping,arts_gifts_home,"Arts, Gifts & Home",2022-01-12
PacificPlace,Shopping,banks_services,Banks & Services,2022-01-12
PacificPlace,Shopping,books_music_electronics,"Books, Music & Electronics",2022-01-12
PacificPlace,Shopping,childrenswear_toys,Children's Wear & Toys,2022-01-12
PacificPlace,Shopping,entertainment,Entertainment,2022-01-12
PacificPlace,Shopping,health_beauty,Health & Beauty,2022-01-12
PacificPlace,Shopping,jewellery_watches_accessories,"Jewellery, Watches & Accessories",2022-01-12
PacificPlace,Shopping,ladies_fashion,Ladies' Fashion,2022-01-12
PacificPlace,Shopping,mens_fashion,Men's Fashion,2022-01-12
PacificPlace,Shopping,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",2022-01-12
PacificPlace,Shopping,sports,Sports,2022-01-12
PacificPlace,Dining,1asian,Asian,2022-01-12
PacificPlace,Dining,1western,Western,2022-01-12
PacificPlace,Dining,2chinese,Chinese,2022-01-12
PacificPlace,Dining,2french,French,2022-01-12
PacificPlace,Dining,2hong_kong_style,Hong Kong Style,2022-01-12
PacificPlace,Dining,2italian,Italian,2022-01-12
PacificPlace,Dining,2japanese,Japanese,2022-01-12
PacificPlace,Dining,3bars,Bars,2022-01-12
PacificPlace,Dining,3cafe,Café,2022-01-12
PacificPlace,Dining,4happy_hour,Happy Hour,2022-01-12
PacificPlace,Dining,4Wine,Wine,2022-01-12
PacificPlace,Dining,cakes,Cakes,2022-01-12
PacificPlace,Dining,confectionary,Confectionary,2022-01-12
PacificPlace,Dining,fine-dining,Fine Dining,2022-01-12
PacificPlace,Dining,hotel,Hotel,2022-01-12
PacificPlace,Dining,outdoor_seating,Outdoor Seating,2022-01-12
PacificPlace,Dining,1asian,Asian,2022-01-12
PacificPlace,Dining,1western,Western,2022-01-12
PacificPlace,Dining,2chinese,Chinese,2022-01-12
PacificPlace,Dining,2french,French,2022-01-12
PacificPlace,Dining,2hong_kong_style,Hong Kong Style,2022-01-12
PacificPlace,Dining,2italian,Italian,2022-01-12
PacificPlace,Dining,2japanese,Japanese,2022-01-12
PacificPlace,Dining,3bars,Bars,2022-01-12
PacificPlace,Dining,3cafe,Café,2022-01-12
PacificPlace,Dining,4happy_hour,Happy Hour,2022-01-12
PacificPlace,Dining,4Wine,Wine,2022-01-12
PacificPlace,Dining,cakes,Cakes,2022-01-12
PacificPlace,Dining,confectionary,Confectionary,2022-01-12
PacificPlace,Dining,fine-dining,Fine Dining,2022-01-12
PacificPlace,Dining,hotel,Hotel,2022-01-12
PacificPlace,Dining,outdoor_seating,Outdoor Seating,2022-01-12
