mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
PacificPlace,Shopping,45r,45R,45R,"Vincent Mansion, No.7 Star Street",STARSTREET,28611145,12:00 pm - 9:00 pm,,,ladies_fashion,Ladies' Fashion,,2022-01-16
PacificPlace,Shopping,acqua-di-parma,Acqua di Parma,Acqua di Parma,"L1, 101A",1F,63217457,10:30 am - 8:30 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,adidas,adidas,Adidas,"L1, 127",1F,22431822,10:30 am - 8:30 pm,,,sports;ladies_fashion;mens_fashion;childrenswear_toys,Sports;Ladies' Fashion;Men's Fashion;Children's Wear & Toys,,2022-01-16
PacificPlace,Shopping,alexandre-de-paris,Alexandre de Paris,Alexandre de Paris,"L2, 221",2F,24655388,11:00 am - 6:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,american-vintage,American Vintage,American Vintage,"L1, 135",1F,35210115,10:00 am - 9:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,andre-fu-living,André Fu Living,André Fu Living,"L3, 355",3F,36890161,10:30 am - 8:00 pm,,,arts_gifts_home,"Arts, Gifts & Home",,2022-01-16
PacificPlace,Shopping,giorgio-armani,ARMANI beauty,ARMANI beauty,"L1, 151",1F,29181871,11:00 am - 8:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,ashworth,ASHWORTH,ASHWORTH 雅獅威 ,"L2, 209B",2F,26239911,10:00 am - 8:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,Aveda,Aveda,Aveda,"L1, 160",1F,21112951,10:30 am - 8:30 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,Bash,ba&sh,ba&sh,"L1, 138",1F,21172876,11:00 am - 8:00 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,Balenciaga,Balenciaga,Balenciaga,"L2, 227",2F,27611811,10:30 am - 7:30 pm,,,ladies_fashion;shoes_bag_leathergoods;mens_fashion;childrenswear_toys,"Ladies' Fashion;Shoes, Bag & Leather Goods;Men's Fashion;Children's Wear & Toys",,2022-01-16
PacificPlace,Shopping,bally,Bally,BALLY,"L2, 250",2F,25226123,10:00 am - 8:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,balmain,Balmain,Balmain,"L2, 235",2F,21164599,10:00 am - 8:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,bea-i-financial-centre,BEA i-Financial Centre,東亞銀行i-理財中心,"L3, 356",3F,36091496,Closed,,,banks_services,Banks & Services,,2022-01-16
PacificPlace,Shopping,beyorg,BEYORG,BEYORG,"L1, 161",1F,28668238,10:30 am - 8:30 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,Bookazine,Bookazine,Bookazine,"Shop 4, Level B3 Three Pacific Place",STARSTREET,29973018,10:00 am - 7:00 pm,,,books_music_electronics,"Books, Music & Electronics",,2022-01-16
PacificPlace,Shopping,bottega-veneta,Bottega Veneta,Bottega Veneta,"L3, 370",3F,29181792,11:00 am - 7:30 pm,,,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,Boucheron,Boucheron,Boucheron,"L3, 318",3F,26122517,11:00 am - 7:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,brooks-brothers,Brooks Brothers,Brooks Brothers,"L2, 207",2F,21130223,10:00 am - 8:00 pm,,,mens_fashion;shoes_bag_leathergoods,"Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,burberry,Burberry,Burberry,"L2, 201",2F,29184010,10:30 am - 8:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods;childrenswear_toys,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods;Children's Wear & Toys",,2022-01-16
PacificPlace,Shopping,BVLGARI,BVLGARI,BVLGARI 寶格麗,"L3, 325A",3F,29181221,11:00 am - 7:30 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,canali,Canali,Canali,"L3, 302",3F,21968793,10:00 am - 8:00 pm,,,mens_fashion,Men's Fashion,,2022-01-16
PacificPlace,Shopping,cartier,Cartier,Cartier 卡地亞,"L3, 357",3F,25231852,10:30 am - 7:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,celine,CELINE,CELINE 賽琳,"L3, 334",3F,28694886,10:30 am - 7:30 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,chanel,Chanel,Chanel,"L2, 225L3, 337",2F;3F,29184391,12:00 pm - 7:00 pm,,,jewellery_watches_accessories;ladies_fashion;shoes_bag_leathergoods,"Jewellery, Watches & Accessories;Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,chanel-beaute,CHANEL BEAUTÉ ,CHANEL BEAUTÉ,"L1, 158",1F,28101083,11:00 am - 8:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,chinese-arts-crafts,Chinese Arts & Crafts,Chinese Arts & Crafts 中藝(香港)有限公司,"L3, 320",3F,25233933,11:00 am - 7:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,chloe,Chloé,Chloé,"L2, 231",2F,29181686,10:30 am - 7:30 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,cocktail,COCKTAIL,COCKTAIL,"L1, 144",1F,21677308,11:00 am - 8:00 pm,,,ladies_fashion,Ladies' Fashion,,2022-01-16
PacificPlace,Shopping,columbia,Columbia,Columbia,"L1, 124A",1F,63913081,11:00 am - 8:00 pm,,,sports;ladies_fashion;mens_fashion,Sports;Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,cos,COS,COS,"L1, 118",1F,27487044,11:00 am - 8:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,Devialet,Devialet,Devialet,"L1, 134",1F,22199991,10:30 am - 9:00 pm,,,arts_gifts_home;entertainment,"Arts, Gifts & Home;Entertainment",,2022-01-16
PacificPlace,Shopping,DIOR,DIOR ,DIOR 迪奧,"L3, 345-347L4, 401",3F;4F,25227938,10:00 am - 8:00 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,drivepro,drivepro,drivepro,"L2, 212",2F,26622333,10:00 am - 8:00 pm,,,books_music_electronics;entertainment,"Books, Music & Electronics;Entertainment",,2022-01-16
PacificPlace,Shopping,Ellermann,Ellermann Flower Boutique,Ellermann Flower Boutique,"L1, 126",1F,21183518,10:00 am - 9:00 pm,,,arts_gifts_home,"Arts, Gifts & Home",,2022-01-16
PacificPlace,Shopping,emphasis-jewellery,EMPHASIS,Emphasis Jewellery,"L1, 139",1F,21540061,11:00 am - 8:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,emporio-armani,Emporio Armani,Emporio Armani,"L2, 252",2F,29180699,11:00 am - 8:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,fendi,FENDI,FENDI 芬迪,"L3, 335",3F,29189665,10:00 am - 7:30 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,fendi-men,FENDI MEN,FENDI MEN,"L2, 223",2F,26309385,10:30 am - 7:30 pm,,,mens_fashion;shoes_bag_leathergoods,"Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,gigasports,GigaSports,GigaSports,"L1, 146",1F,23370005,10:30 am - 9:00 pm,,,sports;ladies_fashion;mens_fashion;childrenswear_toys,Sports;Ladies' Fashion;Men's Fashion;Children's Wear & Toys,,2022-01-16
PacificPlace,Shopping,Glasstique,Glasstique,GLASSTIQUE,"L1, 130",1F,29181011,11:00 am - 8:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,glue,glue,glue,"Shop 1A, 1 Electric Street, Starstreet Precinct",STARSTREET,34965150,9:30 am - 10:30 pm,,,services,,,2022-01-16
PacificPlace,Shopping,goyard,Goyard,Goyard,"L3, 362",3F,28265268,10:00 am - 7:30 pm,,,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,gucci,Gucci,Gucci,"L3, 368",3F,25240412,10:00 am - 8:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,harvey-nichols,Harvey Nichols,Harvey Nichols 夏菲尼高,L2,2F,39682668,11:00 am - 8:00 pm,,,arts_gifts_home;books_music_electronics;childrenswear_toys;jewellery_watches_accessories;ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Arts, Gifts & Home;Books, Music & Electronics;Children's Wear & Toys;Jewellery, Watches & Accessories;Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,hermes,Hermès,Hermès,"L3, 354",3F,25226229,11:00 am - 7:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,hogan,Hogan,Hogan,"L2, 251",2F,29180181,10:30 am - 8:00 pm,,,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,hsbc-premier-centre,HSBC Premier Centre / HSBC Day & Night Plus / HSBC Express Banking,HSBC Premier Centre 匯豐卓越理財中心,"L4, 403",4F,22333000,Closed,,,banks_services,Banks & Services,,2022-01-16
PacificPlace,Shopping,hsbc-premier-centre-2,HSBC Premier Centre / HSBC Express Banking,HSBC Premier Centre 匯豐卓越理財中心,"L2, 203",2F,22333000,Closed,,,banks_services,Banks & Services,,2022-01-16
PacificPlace,Shopping,i-t,I.T,I.T,"L1, 100",1F,25270052,10:30 am - 9:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,iblues,iBLUES,iBLUES,"L2, 242",2F,27229640,11:00 am - 8:00 pm,,,ladies_fashion,Ladies' Fashion,,2022-01-16
PacificPlace,Shopping,iD,iD,iD,"L2, 218",2F,27096688,11:00 am - 8:00 pm,,,books_music_electronics,"Books, Music & Electronics",,2022-01-16
PacificPlace,Shopping,il-colpo,IL COLPO Hair. Nails,IL COLPO Hair. Nails,"L2, 220",2F,28020151,9:00 am - 9:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,Isabel-Marant,Isabel Marant,ISABEL MARANT,"L2, 230B",2F,25059238,11:00 am - 9:00 pm,,,ladies_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,iwc-schaffhausen,IWC Schaffhausen,沙夫豪森 IWC 萬國錶,"L2, 243",2F,29181851,11:00 am - 7:00 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,j-select,J SELECT,J SELECT,"L2, 214",2F,31803118,10:30 am - 8:30 pm,,,books_music_electronics;entertainment,"Books, Music & Electronics;Entertainment",,2022-01-16
PacificPlace,Shopping,j-lindeberg,J.LINDEBERG ,J.LINDEBERG ,"L2, 209A",2F,26189373,10:00 am - 9:00 pm,,,ladies_fashion;mens_fashion,Ladies' Fashion;Men's Fashion,,2022-01-16
PacificPlace,Shopping,jaeger-lecoultre,Jaeger-LeCoultre,Jaeger-LeCoultre,"L3, 321",3F,29184388,10:00 am - 7:30 pm,,,jewellery_watches_accessories,"Jewellery, Watches & Accessories",,2022-01-16
PacificPlace,Shopping,jimmy-choo,Jimmy Choo,Jimmy Choo,"L2, 224",2F,29836133,10:30 am - 8:00 pm,,,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,jo-malone,Jo Malone London,Jo Malone London,"L1, 137",1F,29184865,11:00 am - 9:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,joyce,JOYCE,JOYCE,"L2, 232",2F,25235944,10:30 am - 7:30 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,joyce-beauty,Joyce Beauty,Joyce Beauty,"L1, 152",1F,37980172,11:00 am - 8:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,kapok-sun-street,Kapok,Kapok,"8 Sun street, Starstreet Precinct",STARSTREET,25499254,12:00 pm - 7:00 pm,,,ladies_fashion;mens_fashion;shoes_bag_leathergoods;jewellery_watches_accessories;health_beauty;books_music_electronics;arts_gifts_home,"Ladies' Fashion;Men's Fashion;Shoes, Bag & Leather Goods;Jewellery, Watches & Accessories;Health & Beauty;Books, Music & Electronics;Arts, Gifts & Home",,2022-01-16
PacificPlace,Shopping,kelly-walsh-ltd,Kelly & Walsh Ltd.,Kelly & Walsh Ltd.,"L2, 204",2F,25225743,11:00 am - 7:30 pm,,,books_music_electronics,"Books, Music & Electronics",,2022-01-16
PacificPlace,Shopping,king-country,King & Country,King & Country,"L2, 245",2F,25258603,11:00 am - 7:00 pm,,,arts_gifts_home;childrenswear_toys,"Arts, Gifts & Home;Children's Wear & Toys",,2022-01-16
PacificPlace,Shopping,kwanpen,KWANPEN,KWANPEN,"L3, 310",3F,29189199,10:00 am - 9:00 pm,,,shoes_bag_leathergoods,"Shoes, Bag & Leather Goods",,2022-01-16
PacificPlace,Shopping,loccitane,L’OCCITANE,L’OCCITANE,"L1, 156",1F,61731712,11:00 am - 8:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,la-mer,La Mer,La Mer,"L1, 157",1F,21114088,11:00 am - 7:00 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,la-perla,La Perla,La Perla,"L3, 361",3F,21183977,11:00 am - 8:00 pm,,,ladies_fashion,Ladies' Fashion,,2022-01-16
PacificPlace,Shopping,la-prairie,La Prairie,La Prairie,"L1, 154",1F,29180806,10:00 am - 8:30 pm,,,health_beauty,Health & Beauty,,2022-01-16
PacificPlace,Shopping,lane-crawford-home,Lane Crawford,Lane Crawford,"L1, 126",1F,21183652,11:00 am - 8:00 pm,,,arts_gifts_home;books_music_electronics;entertainment,"Arts, Gifts & Home;Books, Music & Electronics;Entertainment",,2022-01-16
