mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
ParadiseMall,Shopping,177,1+1 Stationery Gift & Toys,1+1 Stationery Gift & Toys,213,2F,26124020,10:30 - 20:30,MTR Points Promotion,,blt8dff60d7dd3532fb,"Gifts, Books & Stationery",,2022-05-02
ParadiseMall,Shopping,86,7-ELEVEN,7-11便利店,161,1F,29760158,,MTR Points Promotion,,blt8b9c8d1a98554815,Supermarket & Convenience Store,,2022-05-02
ParadiseMall,Shopping,148,7-Eleven,7-11便利店,G58A,GF,28732390,00:00 - 00:00,MTR Points Promotion,,blt8b9c8d1a98554815,Supermarket & Convenience Store,,2022-05-02
ParadiseMall,Shopping,220,759 Store,759阿信屋,G59,GF,36696748,10:00 - 22:00,MTR Points Promotion,,blt1be2f1b5a42e454e,Household & Grocery,,2022-05-02
ParadiseMall,Shopping,232,accuratesports,accuratesports,111A&C,1F,28956822,11:00 - 21:00,MTR Points Promotion,1,blt29e8c2c00a3b6763,Sports,,2022-05-02
ParadiseMall,Shopping,154,adidas,adidas,118-119,1F,28736033,11:00 - 20:30,MTR Points Promotion,1,blt29e8c2c00a3b6763,Sports,,2022-05-02
ParadiseMall,Shopping,251,AMERICAN EAGLE,AMERICAN EAGLE,G09; G15B; G16-18 & G30-31,GF,26931222,11:00 - 21:00,MTR Points Promotion,1,blt1ef0a0ce074abc3c,Fashion,,2022-05-02
ParadiseMall,Shopping,219,AT Home,AT Home,170,1F,64407219,11:00 - 21:00,MTR Points Promotion,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,247,Babington Education,柏明頓教育中心,111B,1F,25566828,,,,blt1e37f142913f1638,Education,,2022-05-02
ParadiseMall,Shopping,120,Baby Spa by Aqua Play,Baby Spa by Aqua Play,G07,GF,51195131,10:00 - 19:00,MTR Points Promotion,1,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,110,Bank of China HK Ltd.,中國銀行香港,205-208,2F,39825688,,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,210,Best Mart 360,優品360,G55,GF,23167899,10:00 - 21:30,MTR Points Promotion,1,blt1be2f1b5a42e454e,Household & Grocery,,2022-05-02
ParadiseMall,Shopping,171,Billy Jealousy,Billy Jealousy,163,1F,95818769,11:30 - 20:30,MTR Points Promotion,,bltc4dec09736043d20,Shoes & Bags,,2022-05-02
ParadiseMall,Shopping,206,BODYCARE,BODYCARE,128,1F,26120806,11:30 - 21:00,MTR Points Promotion,1,blt29e8c2c00a3b6763,Sports,,2022-05-02
ParadiseMall,Shopping,213,Bright Blue Education Center Heng Fa,蔚藍教育中心,G32-G33,GF,25586060,,MTR Points Promotion,,blt1e37f142913f1638,Education,,2022-05-02
ParadiseMall,Shopping,234,Camela,Camela,132B,1F,28383126,10:30 - 20:00,MTR Points Promotion,,blt1ef0a0ce074abc3c,Fashion,,2022-05-02
ParadiseMall,Shopping,91,Cavia,Cavia,167,1F,28984003,10:30 - 20:30,MTR Points Promotion,1,blt1ef0a0ce074abc3c,Fashion,,2022-05-02
ParadiseMall,Shopping,77,Centaline Property,中原地產,143,1F,28972929,09:30 - 21:30,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,222,Centaline Property,中原地產,140,1F,25111183,09:30 - 21:30,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,74,Century 21,世紀21物業,166,1F,25751328,09:30 - 21:30,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,245,Chateraise,Chateraise,131,1F,,10:00 - 20:00,,,bltfc7ab56d28c117c8,Confectionary,,2022-05-02
ParadiseMall,Shopping,79,Cheerful,置富設計廊,147-148,1F,25951688,10:00 - 19:00,MTR Points Promotion,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,239,China Life,China Life,Shop 173 & 178,1F,,10:00 - 20:00,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,89,Citibank ATM,Citibank ATM,165,1F,N/A,,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,134,City Life,生活提案,214-215,2F,24870879,09:00 - 22:00,MTR Points Promotion,1,blt1be2f1b5a42e454e,Household & Grocery,,2022-05-02
ParadiseMall,Shopping,29,Dah Sing Bank,大新銀行,234-235,2F,28417443,,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,214,DCH FOODS DELUXE,大昌食品專門店,232-233,2F,27486455,08:30 - 21:30,MTR Points Promotion,1,bltfc7ab56d28c117c8,Confectionary,,2022-05-02
ParadiseMall,Shopping,78,Dermis Beauty,養宮美肌專家,145-146,1F,28987616,10:00 - 19:00,MTR Points Promotion,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,241,Dr. Hui Ki Fat Clinic,許其發醫生醫務所,172,1F,25053001,,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,175,Dr. Kong,Dr. Kong,123B & 125,1F,25267298,11:00 - 21:00,MTR Points Promotion,1,bltc4dec09736043d20,Shoes & Bags,,2022-05-02
ParadiseMall,Shopping,198,Dreamland Playground,童遊大世界,203F&G,2F,23501830,12:00 - 19:00,MTR Points Promotion,,bltf6fd6d89cf831a11,Entertainment,,2022-05-02
ParadiseMall,Shopping,149,Easy Smile,思樂牙科診所,201,2F,26666095,,MTR Points Promotion,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,137,EF Locker,順便智能櫃,212,2F,,,,,bltd0994bbe27bb721b,Services,,2022-05-02
ParadiseMall,Shopping,152,English Excel School of English,English Excel School of English,151-152,1F,28122711,,,,blt1e37f142913f1638,Education,,2022-05-02
ParadiseMall,Shopping,223,Enlightening Education,啟蒙教育,G05,GF,23883384,,MTR Points Promotion,1,blt1e37f142913f1638,Education,,2022-05-02
ParadiseMall,Shopping,94,Eye Level Ustar Education Centre,Eye Level Ustar Education Centre,171,1F,28890811,,MTR Points Promotion,,blt1e37f142913f1638,Education,,2022-05-02
ParadiseMall,Shopping,111,Farm Direct,Farm Direct,231B,2F,24310838,10:00 - 21:00,MTR Points Promotion,,bltfc7ab56d28c117c8,Confectionary,,2022-05-02
ParadiseMall,Shopping,186,Fila,Fila,204C,2F,28849766,11:00 - 21:00,MTR Points Promotion,1,blt29e8c2c00a3b6763,Sports,,2022-05-02
ParadiseMall,Shopping,250,Footspot.,Footspot.,122,1F,,11:00 - 20:00,,,bltc4dec09736043d20,Shoes & Bags,,2022-05-02
ParadiseMall,Shopping,157,Free Running Pro,Free Running Pro,113,1F,23997823,10:30 - 21:30,MTR Points Promotion,1,blt29e8c2c00a3b6763,Sports,,2022-05-02
ParadiseMall,Shopping,132,Fusion by PARKnSHOP,Fusion by PARKnSHOP,217-230,2F,28979805,08:00 - 22:00,MTR Points Promotion,,blt8b9c8d1a98554815,Supermarket & Convenience Store,,2022-05-02
