mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
PlazaAscot,Shopping,4,7-Eleven,7-11便利店,G21,GF,26347225,00:00 - 23:59,MTR Points Promotion,,blt33c3275f2b583596,Supermarket & Convenience Store,,2022-01-31
PlazaAscot,Shopping,49,ATM - ICBC Asia,ATM - 中國工商銀行（亞洲）,ATM No.1,GF,21895588,06:30 - 23:00,,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,35,Babington Education Centre,Babington Education Centre,79,GF,29593006,09:30 - 18:30,MTR Points Promotion,,blt7c15a2a8cb043fec,Education,,2022-01-31
PlazaAscot,Shopping,18,Beethoven Music Arts Studio,貝多芬音樂藝術學院,G54,GF,26346583,10:30 - 21:00,MTR Points Promotion,,blt7c15a2a8cb043fec,Education,,2022-01-31
PlazaAscot,Shopping,24,Centaline Property Agency Limited,中原地產代理有限公司,G60,GF,26989899,09:30 - 21:30,,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,31,Centaline Property Agency Limited,中原地產代理有限公司,G73,GF,26989899,09:30 - 21:30,,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,48,Cosmetic Studio by Shirley Beauty,莎莉美容中心,G94-96,GF,27827830,10:00 - 20:00,MTR Points Promotion,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,38,Dr. Daisy S.H. You Dental Surgery,牙齒美容激光植齒矯齒中心 - 游舜華牙科醫生,G82A,GF,26348300,09:00 - 19:00,MTR Points Promotion,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,39,DR. TSE PO SHU,西醫謝寶樹,G82B,GF,24131399,09:00 - 13:00,MTR Points Promotion,,blt07005439cb98f4da,Services,,2022-01-31
PlazaAscot,Shopping,1,Fusion by PARKnSHOP,Fusion - 百佳超級市場,G01-17,GF,26349182,08:00 - 22:00,MTR Points Promotion,,blt33c3275f2b583596,Supermarket & Convenience Store,,2022-01-31
PlazaAscot,Shopping,23,GOODS FOR U LTD,靚靚海味蔘茸有限公司,G59,GF,26348099,09:30 - 20:00,MTR Points Promotion,1,bltb510b595c3a38b43,Health & Personal Care,,2022-01-31
PlazaAscot,Shopping,36,Greenland Education Centre,青田教育研習中心,G80A-81A,GF,26912013,09:00 - 18:00,MTR Points Promotion,,blt7c15a2a8cb043fec,Education,,2022-01-31
