mall,type,shop_category_id,shop_category_name,update_date
PlazaHollywood,Shopping,Art / Home Furnishings,Art / Home Furnishings,2022-01-25
PlazaHollywood,Shopping,Fashion,Fashion,2022-01-25
PlazaHollywood,Shopping,Newspaper / Gift / Stationery,Newspaper / Gift / Stationery,2022-01-25
PlazaHollywood,Shopping,Telecommunications,Telecommunications,2022-01-25
PlazaHollywood,Shopping,Department Store / Supermarket,Department Store / Supermarket,2022-01-25
PlazaHollywood,Shopping,Leather Goods / Shoes / Bags,Leather Goods / Shoes / Bags,2022-01-25
PlazaHollywood,Shopping,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,2022-01-25
PlazaHollywood,Shopping,Banks / Other Services,Banks / Other Services,2022-01-25
PlazaHollywood,Shopping,Jewelry / Watches / Accessories,Jewelry / Watches / Accessories,2022-01-25
PlazaHollywood,Shopping,Sports Wear / Equipment,Sports Wear / Equipment,2022-01-25
PlazaHollywood,Shopping,Av / Electrical Appliances,Av / Electrical Appliances,2022-01-25
PlazaHollywood,Shopping,Entertainment / Hobby,Entertainment / Hobby,2022-01-25
PlazaHollywood,Dining,Food & Beverage,Food & Beverage,2022-01-25
PlazaHollywood,Dining,Asian Flavours,Asian Flavours,2022-01-25
PlazaHollywood,Dining,Chinese Cuisine,Chinese Cuisine,2022-01-25
PlazaHollywood,Dining,Western Delicary / Fast Food,Western Delicary / Fast Food,2022-01-25
