mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
PlazaHollywood,Shopping,286,±0 PLUS MINUS ZERO ,±0 PLUS MINUS ZERO ,286.0,2F,,11:00 - 21:00 (Mon - Sun & PH),,,Art / Home Furnishings,Art / Home Furnishings,,2022-01-31
PlazaHollywood,Shopping,242,10 minutes to 10,10 minutes to 10,242.0,2F,29557128,11:30 - 21:30 (Mon - Sun & PH),,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,260,123 By ELLA,123 By ELLA,260.0,2F,26011083,"09:30 - 21:30 (Mon - Sun, PH)",,,Newspaper / Gift / Stationery,Newspaper / Gift / Stationery,,2022-01-31
PlazaHollywood,Shopping,254,2 plus,2 plus,254.0,2F,25900850,"11:00 - 21:00 (Mon - Sun, PH)",,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,386,3C Easy 手機專業維修,3C Easy 手機專業維修,386.0,3F,25950133,11:00 - 20:30 (Mon - Sun & PH),,,Telecommunications,Telecommunications,,2022-01-31
PlazaHollywood,Shopping,128-129,6IXTY8IGHT,6IXTY8IGHT,128-129,1F,23597708,"10:00 - 22:00 (Mon - Sun, PH)",,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,G103,7-Eleven,7-Eleven,G103,GF,23660648,24hours,,,Department Store / Supermarket,Department Store / Supermarket,,2022-01-31
PlazaHollywood,Shopping,360,A-FONTANE,雅芳婷,360,3F,29555789,11:00 - 20:00 (Mon - Sun & PH),,,Art / Home Furnishings,Art / Home Furnishings,,2022-01-31
PlazaHollywood,Shopping,305,Airland,雅蘭,305,3F,23889799,11:00 - 21:00 (Mon - Sun & PH),,,Art / Home Furnishings,Art / Home Furnishings,,2022-01-31
PlazaHollywood,Shopping,221,AL ALBA,AL ALBA,221,2F,39710862,12:00 - 20:00 (Mon - Sun & PH),,,Leather Goods / Shoes / Bags,Leather Goods / Shoes / Bags,,2022-01-31
PlazaHollywood,Shopping,250,AQ Bio,AQ Bio,250,2F,,11:30 - 20:30 (Mon - Sun & PH),,,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,,2022-01-31
PlazaHollywood,Shopping,330C,AUSupreme,澳至尊,330C,3F,26410166,"10:00 - 22:00 (Mon - Sun, PH)",,,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,,2022-01-31
PlazaHollywood,Shopping,215,Baleno,Baleno,215,2F,24337163,"10:30 - 20:00 (Mon - Fri) / 10:30 - 21:00 (Sat, Sun & PH)",,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,G107,Bank of China (Hong Kong),中國銀行(香港),G107,GF,39882388,09:00 - 16:00 (Mon - Fri) / 09:00 - 12:00 (Sat),,,Banks / Other Services,Banks / Other Services,,2022-01-31
PlazaHollywood,Shopping,206B,Banker,Banker,206B,2F,23220105,"11:00 - 21:00 (Mon - Sun, PH)",,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,119,Bauhaus,Bauhaus,119,1F,23522766,"11:30 - 20:30 (Mon - Sun, PH)",,,Fashion,Fashion,,2022-01-31
PlazaHollywood,Shopping,165,BC House ,BC House ,165,1F,69286286(OnlyacceptWhatsApp),10:30 - 20:30 (Mon - Sun & PH),,,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,,2022-01-31
PlazaHollywood,Shopping,369A,BEDDER zleep,BEDDER zleep,369A,3F,22346308,11:30 - 20:30 (Mon - Sun & PH),,,Art / Home Furnishings,Art / Home Furnishings,,2022-01-31
PlazaHollywood,Shopping,334,Beijing Tong Ren Tang,北京同仁堂,334,3F,29555198,"10:30 - 20:30 (Mon - Sun, PH)",,,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,,2022-01-31
PlazaHollywood,Shopping,271B,Bellain Accessories Shop,Bellain Accessories Shop,271B,2F,24488262,"10:00 - 22:00 (Mon - Sun, PH)",,,Jewelry / Watches / Accessories,Jewelry / Watches / Accessories,,2022-01-31
PlazaHollywood,Shopping,279A,Benefit Cosmetics,Benefit Cosmetics,279A,2F,21140599,11:00 - 20:00 (Mon - Thur & Sun) / 11:00 - 21:00 (Fri & Sat),,,Health / Beauty / Pharmacy,Health / Beauty / Pharmacy,,2022-01-31
