mall,type,shop_category_id,shop_category_name,update_date
PopCorn,Shopping,blt29a3855a202027f5,Beauty,2022-01-20
PopCorn,Shopping,blt8b8a59c8dc45dce2,Confectionary,2022-01-20
PopCorn,Shopping,bltee680cec9e337eb7,Electronics & Telecommunications,2022-01-20
PopCorn,Shopping,blta0176c743684b13e,Entertainment,2022-01-20
PopCorn,Shopping,bltd3938d2a906fee6b,Fashion,2022-01-20
PopCorn,Shopping,bltd6f918e01c94cbf7,"Gifts, Books & Stationery",2022-01-20
PopCorn,Shopping,bltafe1d7a9fee3d300,Health Products & Personal Care,2022-01-20
PopCorn,Shopping,blte1279928352458b5,Household,2022-01-20
PopCorn,Shopping,blt23b22137f837059b,Optical,2022-01-20
PopCorn,Shopping,blt91711d1c309a8367,Services,2022-01-20
PopCorn,Shopping,bltb634628178cc276c,Shoes & Bags,2022-01-20
PopCorn,Shopping,blt9d3afe39a66a1b01,Sports,2022-01-20
PopCorn,Shopping,bltf3b9116129962812,Supermarket,2022-01-20
PopCorn,Shopping,bltb322754ce8057253,Watch & Jewellery,2022-01-20
PopCorn,Dining,blt195962e76c4d81f4,Asian Flavours,2022-01-20
PopCorn,Dining,blt9b3a132d606d14f2,Cafes & Fast Food,2022-01-20
PopCorn,Dining,blteb19169546332f9e,Chinese Cuisine,2022-01-20
PopCorn,Dining,blt450ca033ef0a0c3f,Western Delicacy,2022-01-20
