mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
PopCorn,Shopping,55,adidas,adidas,F50, PopCorn 1 L1,26963362,11:00 - 21:00,MTR Points Promotion,1,blt9d3afe39a66a1b01,Sports,,2022-01-20
PopCorn,Shopping,104,agnes b.,agnes b.,G12-13, PopCorn 1 G,28118721,11:00 - 20:30,MTR Points Promotion,1,bltd3938d2a906fee6b,Fashion,,2022-01-20
PopCorn,Shopping,182,AIGLE,AIGLE,F42, PopCorn 1 L1,23192908,11:30 - 21:30,MTR Points Promotion,1,bltd3938d2a906fee6b,Fashion,,2022-01-20
PopCorn,Shopping,90,ASA Physiotherapy Clinic/ UMP Dental Centre,ASA物理治療診所/ 聯合醫務牙科中心,F92, PopCorn 2 L1,"ASA物理治療診所(PhysiotherapyClinic)27521129,聯合醫務牙科中心(UMPDentalCentre)27521176",10:00 - 14:00,MTR Points Promotion,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Shopping,250,ASICS,ASICS,F41, PopCorn 1 L1,23376022,11:00 - 21:00,,1,blt9d3afe39a66a1b01,Sports,,2022-01-20
PopCorn,Shopping,173,Best Mart 360,優品360,F75-76, PopCorn 2 L1,39023055,09:00 - 22:30,MTR Points Promotion,1,blt8b8a59c8dc45dce2,Confectionary,,2022-01-20
PopCorn,Shopping,119,Bobbi Brown,Bobbi Brown,G30, PopCorn 1 G,25040699,10:00 - 22:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,87,Book Buddy,Book Buddy,F88-89, PopCorn 2 L1,27521122,11:00 - 20:00,MTR Points Promotion,1,bltd6f918e01c94cbf7,"Gifts, Books & Stationery",,2022-01-20
PopCorn,Shopping,49,bread n butter,bread n butter,F44, PopCorn 1 L1,27783918,11:30 - 20:00,MTR Points Promotion,1,bltd3938d2a906fee6b,Fashion,,2022-01-20
PopCorn,Shopping,12,C.P.U.,C.P.U.,F08, PopCorn 1 L1,26561323,11:00 - 21:30,MTR Points Promotion,1,blt9d3afe39a66a1b01,Sports,,2022-01-20
PopCorn,Shopping,54,Catalog,Catalog,F49, PopCorn 1 L1,27598090,11:30 - 21:00,MTR Points Promotion,1,blt9d3afe39a66a1b01,Sports,,2022-01-20
PopCorn,Shopping,246,CAUDALIE,CAUDALIE,G31, PopCorn 1 G,24616282,11:00 - 22:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,179,CD Warehouse,CD Warehouse,G48, PopCorn 1 G,37912110,11:30 - 21:30,MTR Points Promotion,1,bltd6f918e01c94cbf7,"Gifts, Books & Stationery",,2022-01-20
PopCorn,Shopping,xxx,Centaline Property,中原地產,G53, PopCorn 2 G,,,,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Shopping,xxx,Centaline Property,渝味曉宇重慶老火鍋,G53, PopCorn 2 G,,,,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Dining,xxx,Xiao Yu Hotpot Restaurant,中原地產,G49, PopCorn 2 G,28132826,11:30 - 00:00,,,blteb19169546332f9e,Chinese Cuisine,,2022-01-20
PopCorn,Dining,xxx,Xiao Yu Hotpot Restaurant,渝味曉宇重慶老火鍋,G49, PopCorn 2 G,28132826,11:30 - 00:00,,,blteb19169546332f9e,Chinese Cuisine,,2022-01-20
PopCorn,Shopping,139,Centaline Property,中原地產,G54, PopCorn 2 G,27011717,09:15 - 21:00,,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Shopping,219,cha FOR TEA,天仁喫茶趣,F01, PopCorn 1 L1,26388530,10:00 - 22:00,MTR Points Promotion,,blt8b8a59c8dc45dce2,Confectionary,,2022-01-20
PopCorn,Shopping,126,Chow Sang Sang,周生生,G39, PopCorn 1 G,27585263,10:30 - 20:30,MTR Points Promotion,1,bltb322754ce8057253,Watch & Jewellery,,2022-01-20
PopCorn,Shopping,124,Chow Tai Fook,周大福,G36-37, PopCorn 1 G,26963918,11:00 - 21:00,MTR Points Promotion,1,bltb322754ce8057253,Watch & Jewellery,,2022-01-20
PopCorn,Shopping,64,CITY CHAIN,時間廊,F61-62, PopCorn 1 L1,27956198,11:00 - 21:00,MTR Points Promotion,1,bltb322754ce8057253,Watch & Jewellery,,2022-01-20
PopCorn,Shopping,151,CLINIQUE,CLINIQUE,G18, PopCorn 1 G,26986770,10:30 - 22:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,174,Colourmix,卡萊美,F103-105, PopCorn 2 L1,31265990,11:00 - 22:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,93,Comvita,康維他,F98, PopCorn 2 L1,29593111,10:00 - 21:00,MTR Points Promotion,1,bltafe1d7a9fee3d300,Health Products & Personal Care,,2022-01-20
PopCorn,Shopping,287,Cookat Market,Cookat Market,G40, PopCorn 1 G,,11:30 - 20:30,,,blt8b8a59c8dc45dce2,Confectionary,,2022-01-20
PopCorn,Shopping,178,csl. / HKT / 1010,香港電訊,F73, PopCorn 2 L1,25123123/28881010,11:00 - 21:30,MTR Points Promotion,,bltee680cec9e337eb7,Electronics & Telecommunications,,2022-01-20
PopCorn,Shopping,189,Diamanti Per Tutti,Diamanti Per Tutti,G11, PopCorn 1 G,36909595,11:00 - 20:00,MTR Points Promotion,1,bltb322754ce8057253,Watch & Jewellery,,2022-01-20
PopCorn,Shopping,123,Dior Beauty,Dior Beauty,G35, PopCorn 1 G,27119345,11:00 - 22:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,85,DONQ / Mini One,DONQ / Mini One,F86, PopCorn 2 L1,27521045,08:00 - 21:30,MTR Points Promotion,1,blt8b8a59c8dc45dce2,Confectionary,,2022-01-20
PopCorn,Shopping,252,Doughnut,Doughnut,Area B, PopCorn 2 L1,,,MTR Points Promotion,,bltb634628178cc276c,Shoes & Bags,,2022-01-20
PopCorn,Shopping,88,Dr. Chow Pok Yu,周博裕醫生,F90, PopCorn 2 L1,31722609,08:30 - 13:30,,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Shopping,199,Elevatione,Elevatione,F19, PopCorn 1 L1,21210691,10:15 - 21:30,,,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,107,Estee Lauder,Estee Lauder,G17A, PopCorn 1 G,26986131,10:00 - 21:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,111,Extravaganza,Extravaganza,G21-22, PopCorn 1 G,35149141,11:00 - 21:00,MTR Points Promotion,1,bltb634628178cc276c,Shoes & Bags,,2022-01-20
PopCorn,Shopping,170,FILA,FILA,F21-22, PopCorn 1 L1,26173633,10:30 - 21:00,MTR Points Promotion,1,blt9d3afe39a66a1b01,Sports,,2022-01-20
PopCorn,Shopping,181,Fortress,豐澤,F70, PopCorn 2 L1,25555788,11:30 - 22:00,MTR Points Promotion,1,bltee680cec9e337eb7,Electronics & Telecommunications,,2022-01-20
PopCorn,Shopping,235,Francfranc,Francfranc,G10, PopCorn 1 G,26620656,11:00 - 21:00,MTR Points Promotion,1,blte1279928352458b5,Household,,2022-01-20
PopCorn,Shopping,249,Gift & Take,Gift & Take,F43, PopCorn 1 L1,94686679,11:00 - 20:30,MTR Points Promotion,1,bltd6f918e01c94cbf7,"Gifts, Books & Stationery",,2022-01-20
PopCorn,Shopping,175,Glycel,Glycel,F106-107, PopCorn 2 L1,26435088,11:00 - 21:00,MTR Points Promotion,1,blt29a3855a202027f5,Beauty,,2022-01-20
PopCorn,Shopping,24,Godiva Chocolatier,GODIVA Belgium 1926,F15, PopCorn 1 L1,27158036,11:00 - 21:00,MTR Points Promotion,1,blt8b8a59c8dc45dce2,Confectionary,,2022-01-20
PopCorn,Shopping,221,Hair One,Hair One,F91, PopCorn 2 L1,26337180,10:00 - 20:30,MTR Points Promotion,,blt91711d1c309a8367,Services,,2022-01-20
PopCorn,Shopping,132,Hallmark,Hallmark,G46, PopCorn 1 G,23503312,11:00 - 21:00,MTR Points Promotion,1,bltd6f918e01c94cbf7,"Gifts, Books & Stationery",,2022-01-20
PopCorn,Shopping,243,Hanjin,韓剪,G55, PopCorn 2 G,,10:00 - 20:30,,,blt91711d1c309a8367,Services,,2022-01-20
