mall,type,shop_category_id,shop_category_name,update_date
TelfordPlaza,Shopping,blte6e1309035d930bc,Beauty,2022-05-02
TelfordPlaza,Shopping,blt669a60dccd57402a,Confectionary,2022-05-02
TelfordPlaza,Shopping,blt13e8b29c8b4e301e,Department Store,2022-05-02
TelfordPlaza,Shopping,bltc8faaa5f641f429b,Electronics & Telecommunications,2022-05-02
TelfordPlaza,Shopping,blta4084d73fa267d3b,Entertainment,2022-05-02
TelfordPlaza,Shopping,blt2549ceb50d74bdbe,Fashion,2022-05-02
TelfordPlaza,Shopping,bltc504006156927c63,"Gifts, Books & Stationery",2022-05-02
TelfordPlaza,Shopping,blte8be4a2de8aac74b,Health Products & Personal Care,2022-05-02
TelfordPlaza,Shopping,blt76e5af278b203663,Household,2022-05-02
TelfordPlaza,Shopping,blte003d7e310125ade,Kids Wear,2022-05-02
TelfordPlaza,Shopping,blte8caadd82751d042,Optical,2022-05-02
TelfordPlaza,Shopping,bltbcead7cf00c544e2,Others,2022-05-02
TelfordPlaza,Shopping,blt02b9510a024dc049,Services,2022-05-02
TelfordPlaza,Shopping,blt3bf32ec220716d46,Shoes & Bags,2022-05-02
TelfordPlaza,Shopping,blt62a3c7f1dbaa987b,Sports,2022-05-02
TelfordPlaza,Shopping,blt110f28c80a7fc3e9,Supermarket,2022-05-02
TelfordPlaza,Shopping,bltc4697b61e20ff86a,Watch & Jewellery,2022-05-02
TelfordPlaza,Dining,blt723ce97a743f5613,Asian Flavours,2022-05-02
TelfordPlaza,Dining,blt833eb9c2d3db26fa,Cafés & Fast Food,2022-05-02
TelfordPlaza,Dining,blt5ce24914903e7fb4,Chinese Cuisine,2022-05-02
TelfordPlaza,Dining,bltd91fd881346e861f,Western Delicacy,2022-05-02
