mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
TelfordPlaza,Shopping,258,3 Shop,3 Shop,P44,Plaza 1 Podium,27597974,11:00 - 21:00,MTR Points Promotion,,bltc8faaa5f641f429b,Electronics & Telecommunications,,2022-01-20
TelfordPlaza,Shopping,81,3D-JP,3D-JP,3D-JP,Plaza 2 4F,25568298,12:00 - 21:30,MTR Points Promotion,1,bltc504006156927c63,"Gifts, Books & Stationery",,2022-01-20
TelfordPlaza,Shopping,157,6IXTY8IGHT,6IXTY8IGHT,G19/58,Plaza 1 GF,23050062,10:00 - 22:00,MTR Points Promotion,1,blt2549ceb50d74bdbe,Fashion,,2022-01-20
TelfordPlaza,Shopping,35,A Nice Gift,賞茶,418,Plaza 2 4F,31044783,11:30 - 21:00,MTR Points Promotion,1,blt669a60dccd57402a,Confectionary,,2022-01-20
TelfordPlaza,Shopping,229,A-1 Bakery,A-1 Bakery,G98,Plaza 1 GF,27952057,07:30 - 21:30,MTR Points Promotion,1,blt669a60dccd57402a,Confectionary,,2022-01-20
TelfordPlaza,Shopping,213,AIGLE,AIGLE,G80,Plaza 1 GF,23203893,11:00 - 20:00,MTR Points Promotion,1,blt2549ceb50d74bdbe,Fashion,,2022-01-20
TelfordPlaza,Shopping,293,AIRLAND,雅蘭床褥,604-605,Plaza 2 6F,28363312,12:00 - 21:00,MTR Points Promotion,1,blt76e5af278b203663,Household,,2022-01-20
TelfordPlaza,Shopping,6,Arome Bakery,東海堂,308,Plaza 2 3F,27576602,07:00 - 21:00,MTR Points Promotion,1,blt669a60dccd57402a,Confectionary,,2022-01-20
TelfordPlaza,Shopping,379,ARTE Madrid,ARTE Madrid,G9A,Plaza 1 GF,37517184,11:00 - 21:00,MTR Points Promotion,1,bltc4697b61e20ff86a,Watch & Jewellery,,2022-01-20
TelfordPlaza,Shopping,48,ASA PHYSIOTHERAPY CLINIC,ASA 物理治療診所,514,Plaza 2 5F,23800208,08:00 - 20:00,MTR Points Promotion,,blt02b9510a024dc049,Services,,2022-01-20
TelfordPlaza,Shopping,68,AVEDA,AVEDA,323-324,Plaza 2 3F,29972294,10:00 - 22:00,MTR Points Promotion,1,blte6e1309035d930bc,Beauty,,2022-01-20
TelfordPlaza,Shopping,150,Balabala,巴拉巴拉,G10-11,Plaza 1 GF,23668912,10:30 - 22:30,MTR Points Promotion,1,blte003d7e310125ade,Kids Wear,,2022-01-20
TelfordPlaza,Shopping,241,BANK OF CHINA HONG KONG,中國銀行香港,P2-7,Plaza 1 Podium,27961551,09:00 - 17:00,,,blt02b9510a024dc049,Services,,2022-01-20
TelfordPlaza,Shopping,232,Bank of East Asia,東亞銀行,F12B,Plaza 1 1F,36092219,09:00 - 17:00,,,blt02b9510a024dc049,Services,,2022-01-20
TelfordPlaza,Shopping,233,bauhaus,bauhaus,F30,Plaza 1 1F,22859173,,MTR Points Promotion,1,blt2549ceb50d74bdbe,Fashion,,2022-01-20
TelfordPlaza,Shopping,289,BEA ATM,東亞銀行 ATM,ATM No. 3,Plaza 1 1F,22111818,,,,blt02b9510a024dc049,Services,,2022-01-20
TelfordPlaza,Shopping,110,Beard Papa's,Beard Papa's,F12C,Plaza 1 1F,27876044,11:30 - 22:00,,,blt669a60dccd57402a,Confectionary,,2022-01-20
