mall,type,shop_category_id,shop_category_name,update_date
TheLane,Shopping,blt3f19984031110bd7,Beauty,2022-01-31
TheLane,Shopping,blt5d7292069cc48e1c,Confectionary,2022-01-31
TheLane,Shopping,blte11c0050498748fa,Electronics & Telecommunications,2022-01-31
TheLane,Shopping,bltae9d460020582d6e,Fashion,2022-01-31
TheLane,Shopping,blt52f316e949addfc9,"Gifts, Books & Stationery",2022-01-31
TheLane,Shopping,blt5465e893842dc25b,Health Products & Personal Care,2022-01-31
TheLane,Shopping,bltbc0a06c44b81ef60,Optical,2022-01-31
TheLane,Shopping,bltb880f76bbda1bcd6,Services,2022-01-31
TheLane,Dining,bltb02a549ed641f17a,Cafes & Fast Food,2022-01-31
TheLane,Dining,blt4ac2be8521604ca2,Chinese Cuisine,2022-01-31
