mall,type,shop_category_id,shop_category_name,update_date
TheLohas,Shopping,blt6fc8fb8bfa1dfe95,Beauty,2022-01-20
TheLohas,Shopping,blt66396f4a432325ee,Confectionery,2022-01-20
TheLohas,Shopping,blt9f7252d483cb1194,Electronics & Telecommunications,2022-01-20
TheLohas,Shopping,blt7edc419570b9c9e7,Entertainment,2022-01-20
TheLohas,Shopping,blte25d68e9450d9cae,Fashion,2022-01-20
TheLohas,Shopping,blt448d0c103610083e,"Gifts, Books & Stationery",2022-01-20
TheLohas,Shopping,blt15ff8cb7a131c79c,Health Products & Personal Care,2022-01-20
TheLohas,Shopping,blt766eec8356d6f927,Household,2022-01-20
TheLohas,Shopping,blt1b393d695c515402,Optical,2022-01-20
TheLohas,Shopping,blt46cb04efc31d3b46,Others,2022-01-20
TheLohas,Shopping,bltcd6f9313808af270,Services,2022-01-20
TheLohas,Shopping,blt5bb64f43476d3f1e,Sports,2022-01-20
TheLohas,Shopping,bltc761a6d8d40fe535,Supermarket,2022-01-20
TheLohas,Shopping,bltb4b7e5cb48d58d65,Watch & Jewellery,2022-01-20
TheLohas,Dining,bltdfff661ec1c94bc4,Asian Flavours,2022-01-20
TheLohas,Dining,blt403ae98890b6b91c,Cafes & Fast Food,2022-01-20
TheLohas,Dining,blt13dd81383de8dd8c,Chinese Cuisine,2022-01-20
TheLohas,Dining,blt57e93ffa70bdcf3b,Western Delicacy,2022-01-20
