mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
TheLohas,Shopping,137,180 Popcorn,180 Popcorn,301A,3F,,11:00 - 21:00,MTR Points Promotion,,blt66396f4a432325ee,Confectionery,,2022-01-31
TheLohas,Shopping,111,Ambassador Flowers,大使花禮,346B,3F,,10:00 - 20:00,,,blt46cb04efc31d3b46,Others,,2022-01-31
TheLohas,Shopping,40,AROME BAKERY,東海堂,357D,3F,27787288,08:00 - 21:00,MTR Points Promotion,,blt66396f4a432325ee,Confectionery,,2022-01-31
TheLohas,Shopping,110,at.home,at.home,407-408,4F,27091877,11:00 - 21:00,MTR Points Promotion,1,blt766eec8356d6f927,Household,,2022-01-31
TheLohas,Shopping,117,Baleno,Baleno,350,3F,26135394,11:00 - 20:00,MTR Points Promotion,1,blte25d68e9450d9cae,Fashion,,2022-01-31
TheLohas,Shopping,21,Bank of China (Hong Kong),中國銀行(香港),413,4F,39874438,09:00 - 16:00,,,bltcd6f9313808af270,Services,,2022-01-31
TheLohas,Shopping,76,Bellain Accessories Shop,Bellain Accessories Shop,330B,3F,24483298,11:30 - 20:30,MTR Points Promotion,1,blte25d68e9450d9cae,Fashion,,2022-01-31
TheLohas,Shopping,14,Best Mart 360,優品360,205C,2F,26613993,10:00 - 22:00,MTR Points Promotion,1,blt66396f4a432325ee,Confectionery,,2022-01-31
TheLohas,Shopping,107,Bodycare,Bodycare,321A,3F,63792313,11:30 - 21:00,MTR Points Promotion,1,blt15ff8cb7a131c79c,Health Products & Personal Care,,2022-01-31
TheLohas,Shopping,136,Brilliant Mlle,Brilliant Mlle,351,3F,23690015,10:00 - 22:00,MTR Points Promotion,,blte25d68e9450d9cae,Fashion,,2022-01-31
TheLohas,Shopping,5,Centaline Property Agency,中原地產,336; 337B,3F,27203822/27016700,09:15 - 21:00,,,bltcd6f9313808af270,Services,,2022-01-31
TheLohas,Shopping,49,Chateraise,Chateraise,357B,3F,23379813,11:00 - 22:00,MTR Points Promotion,,blt66396f4a432325ee,Confectionery,,2022-01-31
TheLohas,Shopping,84,Cheong Kwan Jang,正官庄,355D,3F,28612816,10:00 - 21:00,MTR Points Promotion,,blt15ff8cb7a131c79c,Health Products & Personal Care,,2022-01-31
TheLohas,Shopping,57,China Life,中國人壽,339,3F,65320670,10:00 - 20:00,,,bltcd6f9313808af270,Services,,2022-01-31
TheLohas,Shopping,123,Choi Fung,彩豐,348B,3F,21511205,11:00 - 20:30,MTR Points Promotion,1,blt15ff8cb7a131c79c,Health Products & Personal Care,,2022-01-31
