mall,type,shop_category_id,shop_category_name,update_date
TheOne,Shopping,2,Supermarket,2021-12-31
TheOne,Shopping,4,Jewellery & Watches ,2021-12-31
TheOne,Shopping,11,Fashion & Accessories,2021-12-31
TheOne,Shopping,16,Deli & Confectionery ,2021-12-31
TheOne,Dining,28,Food & Beverage ,2021-12-31
TheOne,Shopping,79,Personal Care & Beauty,2021-12-31
TheOne,Shopping,106,Home Furnishings & Gifts,2021-12-31
TheOne,Shopping,107,Entertainment ,2021-12-31
TheOne,Dining,125,The Sky Dining ,2021-12-31
TheOne,Shopping,126,Kid’s Wear & Accessories,2021-12-31
