mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
TheOne,Shopping,1300,#CCCCCc SE/ECT,#CCCCCc SE/ECT,L601,L6,54765291,12:45 - 21:15 (Monday to Thursday)12:45 - 21:45 (Friday to Sunday),The ONE Card,1,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1365,:CHOCOOLATE,:CHOCOOLATE,GB03-GB05,G,26770160,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1236,adidas Originals,adidas Originals,L117,L1,26738404,12:00 - 22:00,,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1279,ad-lib,ad-lib,L318,L3,31044990,11:00-22:00,,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1196,AEON Supermarket,AEON Supermarket,LG1-LG2,LG1LG2,26736108,10:00 - 23:00,,1,2,Supermarket,,2022-01-03
TheOne,Dining,1372,AFURI,AFURI,L2,L2,28152177,12:00 – 21:30,,1,28,Food & Beverage ,,2022-01-03
TheOne,Shopping,1220,AIGLE,AIGLE,UG219,UG2,28821369,"11:00-20:00 (Sun-Thu) 11:00-20:30 (Fri,Sat&PH)",,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1203,amoovars,amoovars,GA07,G,-,11:30-20:30,,,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1274,ARLOS,ARLOS,L313,L3,97255346,11:00-21:00,,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1230,as Know as de base,as Know as de base,L109,L1,26770261,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1266,AWESOMEISM,AWESOMEISM,L305-L306,L3,98386572,11:00-22:00,,1,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1208,b+ab,b+ab,UG113-UG116,UG1,26770557,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1214,BEAMS,BEAMS,UG207-UG210,UG2,26770230,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1269,Bear Of Color + PorkChop & Friends,Bear Of Color + PorkChop & Friends,L309-L310,L3,,11:00-22:00,,1,16,Deli & Confectionery ,,2022-01-03
TheOne,Shopping,1213,BEAUTY & YOUTH UNITED ARROWS,BEAUTY & YOUTH UNITED ARROWS,UG204-UG206,UG2,26770217,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1207,Beauty Bazaar Harvey Nichols,Beauty Bazaar Harvey Nichols,"UG101-UG108, UG117-UG126A",UG1,39062388,10:00 - 22:00,,1,79,Personal Care & Beauty,,2022-01-03
TheOne,Shopping,1309,Bedder Zleep,貝特詩,L703,L7,28822019,11:00-21:00,,1,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1227,BLACKZMITH OPTICAL,BLACKZMITH OPTICAL,L104-L105,L1,23860220,11:30-21:30,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1218,bread n butter,bread n butter,UG217,UG2,34279875,11:00 - 22:00,,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1306,Broadway Cinemas,百老匯戲院,L6-L10,L6,23883188,,,,107,Entertainment ,,2022-01-03
TheOne,Dining,1286,Cambo,Cambo,L403,L4,27186022,11:00-23:30,,1,28,Food & Beverage ,,2022-01-03
TheOne,Shopping,1205,CAMPER,CAMPER,GB01,G,26770025,12:00 - 22:00,The ONE Card,1,11,Fashion & Accessories,,2022-01-03
TheOne,Shopping,1199,COLLECTIBLES CORNER,COLLECTIBLES CORNER,GA03-GA04,G,34888387,12:00-21:00,,1,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1292,Cookie Galerie,曲奇薈,L410,L4,31883161,11:30-21:30,,,16,Deli & Confectionery ,,2022-01-03
TheOne,Dining,1356,Dazzling Cafe,Dazzling Cafe,L322-L323,L3,23126099,12:00 - 23:00,,1,28,Food & Beverage ,,2022-01-03
TheOne,Shopping,1304,De Rucci,De Rucci,L707,L7,23031968/23031967,11:00 - 21:00,,,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Shopping,1371,Deus Café,Deus Café,L2,L2,28152390,12:00 – 21:30,,1,16,Deli & Confectionery ,,2022-01-03
TheOne,Shopping,1310,Dunlopillo moments,Dunlopillo moments,L704,L7,29070837,11:00-21:00,,,106,Home Furnishings & Gifts,,2022-01-03
TheOne,Dining,1318,East Ocean‧Lafayette,東海薈‧拉斐特,L12,L12,26980990,"Mon to Fri : 11:00-23:00Sat, Sun and Public Holiday : 10:30-23:00",,1,125,The Sky Dining ,,2022-01-03
