mall,type,shop_category_id,shop_category_name,update_date
TimeSquare,Shopping,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,2022-05-02
TimeSquare,Shopping,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,2022-05-02
TimeSquare,Shopping,Jewelry-Watches-Optical,Jewelry / Watches / Optical,2022-05-02
TimeSquare,Shopping,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,2022-05-02
TimeSquare,Shopping,Banks-Services,Banks / Services,2022-05-02
TimeSquare,Shopping,Ladies-Fashion,Ladies' Fashion,2022-05-02
TimeSquare,Shopping,Childrens-Wear-Toys,Children's Wear / Toys,2022-05-02
TimeSquare,Shopping,Gifts-Books-Stationery,Gifts / Books / Stationery,2022-05-02
TimeSquare,Shopping,Department-Store-Supermarket,Department Store / Supermarket,2022-05-02
TimeSquare,Shopping,Mens-Fashion,Men's Fashion,2022-05-02
TimeSquare,Shopping,Sports-Action-Wear-Equipment,Sports / Action Wear / Equipment,2022-05-02
TimeSquare,Shopping,Audio-Visual-Computers-Electronics-Home-Appliance,Audio-Visual / Computers / Electronics / Home Appliance,2022-05-02
TimeSquare,Shopping,Cinema-Entertainment-Music,Cinema / Entertainment / Music,2022-05-02
TimeSquare,Dining,CafSweetLight-Meal,Café/Sweet/Light Meal,2022-05-02
TimeSquare,Dining,Chinese,Chinese,2022-05-02
TimeSquare,Dining,Asian,Asian,2022-05-02
TimeSquare,Dining,Western,Western,2022-05-02
