mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
TimeSquare,Shopping,be92d1fb-cb92-ea11-a812-000d3a8287a9,3CEStylenanda,3CEStylenanda,B223C,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,51e2a4bc-a458-ec11-8f8f-000d3a80fa9c,6IXTY8IGHT,6IXTY8IGHT,725,7F,,,,,Ladies-Fashion,Ladies' Fashion,,2022-05-02
TimeSquare,Shopping,5592d1fb-cb92-ea11-a812-000d3a8287a9,AAPEBYABATHINGAPE®,AAPEBYABATHINGAPE®,B225B,B23F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,a14dd9f5-cb92-ea11-a812-000d3a8287a9,adidasSportswearCollectiveStore,adidasSportswearCollectiveStore,717-721,7F,,,,,Sports-Action-Wear-Equipment,Sports / Action Wear / Equipment,,2022-05-02
TimeSquare,Shopping,2704e6e9-cb92-ea11-a812-000d3a8287a9,agnèsb.,agnèsb.,503-504,5F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,a704e6e9-cb92-ea11-a812-000d3a8287a9,Aigle,Aigle,714,7F,,,,,Sports-Action-Wear-Equipment,Sports / Action Wear / Equipment,,2022-05-02
TimeSquare,Shopping,fccadefd-5553-ec11-8f8e-002248166f91,AlexanderMcQueen,亞歷山大·麥昆,316-317,3F,,,,,Ladies-Fashion,Ladies' Fashion,,2022-05-02
TimeSquare,Shopping,d84dd9f5-cb92-ea11-a812-000d3a8287a9,AMERICANEAGLEOUTFITTERS,AMERICANEAGLEOUTFITTERS,B203B,B23F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,5036e6e3-cb92-ea11-a812-000d3a8287a9,AMOREPACIFIC,AMOREPACIFIC,408,4F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,71aeebdb-7fa3-ec11-983f-0022481783e8,ANTEPRIMAWIREBAG,ANTEPRIMAWIREBAG,506,5F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,5936e6e3-cb92-ea11-a812-000d3a8287a9,apmMONACO,apmMONACO,406-407,4F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,0e778050-8643-eb11-a812-000d3a856750,Area0264,Area0264,633,6F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,3d36e6e3-cb92-ea11-a812-000d3a8287a9,ARTĒMadrid,ARTĒMadrid,413,4F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,ac04e6e9-cb92-ea11-a812-000d3a8287a9,Ashworth,Ashworth,705,7F,,,,,Sports-Action-Wear-Equipment,Sports / Action Wear / Equipment,,2022-05-02
TimeSquare,Shopping,1f04e6e9-cb92-ea11-a812-000d3a8287a9,AtsuroTayama,AtsuroTayama,505,5F,,,,,Ladies-Fashion,Ladies' Fashion,,2022-05-02
TimeSquare,Shopping,2636e6e3-cb92-ea11-a812-000d3a8287a9,BALENCIAGA,BALENCIAGA,318-319,3F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,da7bd5e8-02ee-eb11-94ef-000d3a81fd58,Bauhaus,Bauhaus,615,6F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,eb4dd9f5-cb92-ea11-a812-000d3a8287a9,Benefit,Benefit,B206A,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,dd0cc7aa-81f2-eb11-94ef-000d3a804d35,Blancpain,Blancpain,,3F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,43a3deef-cb92-ea11-a812-000d3a8287a9,"Bookazine,Partytime,SweetWorld","Bookazine,Partytime,SweetWorld",925,9F,,,,,Gifts-Books-Stationery,Gifts / Books / Stationery,,2022-05-02
TimeSquare,Shopping,ffa2deef-cb92-ea11-a812-000d3a8287a9,Bose,Bose,809-810,8F,,,,,Audio-Visual-Computers-Electronics-Home-Appliance,Audio-Visual / Computers / Electronics / Home Appliance,,2022-05-02
TimeSquare,Shopping,da35e6e3-cb92-ea11-a812-000d3a8287a9,BottegaVeneta,BottegaVeneta,205-208,2F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,02a3deef-cb92-ea11-a812-000d3a8287a9,Broadway,Broadway,814-816,8F,,,,,Audio-Visual-Computers-Electronics-Home-Appliance,Audio-Visual / Computers / Electronics / Home Appliance,,2022-05-02
TimeSquare,Shopping,4b36e6e3-cb92-ea11-a812-000d3a8287a9,BrooksBrothers,BrooksBrothers,514,5F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,6504e6e9-cb92-ea11-a812-000d3a8287a9,CALVINKLEINJeansandCALVINKLEINUnderwear,CALVINKLEINJeansandCALVINKLEINUnderwear,617-618,6F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,1fa3deef-cb92-ea11-a812-000d3a8287a9,Cartier,Cartier,322-23,3F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,49a3deef-cb92-ea11-a812-000d3a8287a9,CATALO,CATALO,912,9F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,1a36e6e3-cb92-ea11-a812-000d3a8287a9,CELINE,CELINE,314-315,3F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,bc4dd9f5-cb92-ea11-a812-000d3a8287a9,CHANEL,CHANEL,209-10,2F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,8592d1fb-cb92-ea11-a812-000d3a8287a9,ChanelBeaute,ChanelBeaute,B238-B239,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,6b92d1fb-cb92-ea11-a812-000d3a8287a9,ChowSangSang,ChowSangSang周生生,B230-B231,B23F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,7492d1fb-cb92-ea11-a812-000d3a8287a9,ChowTaiFook,ChowTaiFook周大福,B233-B235,B23F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,1aa3deef-cb92-ea11-a812-000d3a8287a9,ChungYuen,ChungYuen中原,822,8F,,,,,Audio-Visual-Computers-Electronics-Home-Appliance,Audio-Visual / Computers / Electronics / Home Appliance,,2022-05-02
TimeSquare,Shopping,612255f0-bf3a-eb11-a813-000d3a8287a9,CigarKingdom,CigarKingdom雪茄王國,919A,9F,,,,,Gifts-Books-Stationery,Gifts / Books / Stationery,,2022-05-02
TimeSquare,Shopping,46a3deef-cb92-ea11-a812-000d3a8287a9,CityChainmillisecond,CityChainmillisecond,911,9F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,c84dd9f5-cb92-ea11-a812-000d3a8287a9,city'super,city'super,B1,B1F,,,,,Department-Store-Supermarket,Department Store / Supermarket,,2022-05-02
TimeSquare,Shopping,cc4dd9f5-cb92-ea11-a812-000d3a8287a9,city'super-LOG-ON,city'super-LOG-ON,B1(A),B1F,,,,,Gifts-Books-Stationery,Gifts / Books / Stationery,,2022-05-02
TimeSquare,Shopping,c192d1fb-cb92-ea11-a812-000d3a8287a9,Clémence,Clémence,521B,5F,,,,,Ladies-Fashion,Ladies' Fashion,,2022-05-02
TimeSquare,Shopping,d04dd9f5-cb92-ea11-a812-000d3a8287a9,Clinique,Clinique倩碧,B202,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,3304e6e9-cb92-ea11-a812-000d3a8287a9,ClubMonaco,ClubMonaco,525,5F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,b204e6e9-cb92-ea11-a812-000d3a8287a9,ColumbiaSportswearCompany,ColumbiaSportswearCompany,726,7F,,,,,Sports-Action-Wear-Equipment,Sports / Action Wear / Equipment,,2022-05-02
TimeSquare,Shopping,0a7c1480-2606-ec11-b6e6-00224816c097,CrownHour,CrownHour,927,9F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,5104e6e9-cb92-ea11-a812-000d3a8287a9,Diesel,Diesel,528-529,5F,,,,,Ladiess-Mens-Fashion,Ladies's & Men's Fashion,,2022-05-02
TimeSquare,Shopping,fc35e6e3-cb92-ea11-a812-000d3a8287a9,Dior,Dior,214-215,2F,,,,,Ladies-Fashion,Ladies' Fashion,,2022-05-02
TimeSquare,Shopping,f84dd9f5-cb92-ea11-a812-000d3a8287a9,DiorBeauty,DiorBeauty,B207B,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
TimeSquare,Shopping,e535e6e3-cb92-ea11-a812-000d3a8287a9,DiorHomme,DiorHomme,216-217,2F,,,,,Mens-Fashion,Men's Fashion,,2022-05-02
TimeSquare,Shopping,40a3deef-cb92-ea11-a812-000d3a8287a9,DonguriRepublic,DonguriRepublic,925C,9F,,,,,Gifts-Books-Stationery,Gifts / Books / Stationery,,2022-05-02
TimeSquare,Shopping,7304e6e9-cb92-ea11-a812-000d3a8287a9,ecco,ecco,631,6F,,,,,Leather-Goods-Shoes-Bags,Leather Goods / Shoes / Bags,,2022-05-02
TimeSquare,Shopping,d791827f-96bc-eb11-bacc-000d3a80a4ef,ElegantWatch&Jewellery,ElegantWatch&Jewellery,302-303,3F,,,,,Jewelry-Watches-Optical,Jewelry / Watches / Optical,,2022-05-02
TimeSquare,Shopping,1192d1fb-cb92-ea11-a812-000d3a8287a9,ÉLÉVATIONE,ÉLÉVATIONE,B213A,B23F,,,,,Beauty-Personal-Care-Health-Products,Beauty / Personal Care/ Health Products,,2022-05-02
