mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
Tmtplaza,Shopping,14,7-Eleven (Phase 1),7-11便利店 (一期),G055,Phase1 GF,24517973,24 hours,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Convenience Stores;Daily Necessities;Drink;Food,2022-01-16
Tmtplaza,Shopping,61,7-Eleven (Phase 2),7-11便利店 (二期),7,Phase2 GF,24045816,24 hours,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Convenience Stores;Daily Necessities;Drink;Food,2022-01-16
Tmtplaza,Shopping,289,:CHOCOOLATE,:CHOCOOLATE,2219,Phase1 2F,24419772,Mon - Sun: 12:00pm - 09:00pm,,,9,Fashion​​,Casual Wear;Clothing;Fashion;Jeans,2022-01-16
Tmtplaza,Shopping,88,Aape & double-park,Aape & double-park,3210,Phase1 3F,24415435,"Mon - Sun, PH: 12:00pm - 09:00pm",,,9,Fashion​​,Casual Wear;Fashion;Jeans;Ladies’ Fashion;Men’s Fashion,2022-01-16
Tmtplaza,Shopping,85,adidas,adidas,3208,Phase1 3F,27869633,"Mon - Fri: 12:00pm - 09:30pmSat, Sun, PH: 11:30am - 09:30pm",,,14,Sportswear & Equipment​​,Fashion;Shoes;Sneakers;Sporting Goods;Sportswear,2022-01-16
Tmtplaza,Shopping,198,"AEON (1/F, Phase 1)","AEON (1/F, 一期)",Portion of 1/F,Phase1 1F,24527333,Mon - Sun: 10:00am - 10:30pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Baby Products;Department Store;Fashion;Sporting Goods;Toy,2022-01-16
Tmtplaza,Shopping,54,"AEON (G/F, Phase 1)","AEON (G/F, 一期)",G081-112,Phase1 GF,24527333,Mon - Sun: 10:00am - 10:30pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Department Store;Electronics;Furniture;Home Appliances;Houseware,2022-01-16
Tmtplaza,Shopping,77,AEON Supermarket,AEON超級市場,UG081,Phase1 UGF,24527333,Mon - Sun: 08:30am - 10:30pm,,,8,"Department Stores, Supermarkets and Convenience Stores​​",Daily Necessities;Department Store;Drink;Food;Supermarket,2022-01-16
Tmtplaza,Shopping,527,Aerie by American Eagle,Aerie by American Eagle,1055,Phase1 1F,,"Mon - Sun, PH, Day before PH: 11:00am - 09:00pm",,,9,Fashion​​,Casual Wear;Fashion;Ladies’ Fashion;Underwear,2022-01-16
Tmtplaza,Shopping,157,amika:,amika:,1069B,Phase1 1F,22970085,"Mon - Sun, PH, Day before PH: 11:00am - 09:00pm",,,3,Beauty & Cosmetics​​,Beauty;Hair Care,2022-01-16
Tmtplaza,Shopping,120,Apivita,Apivita,1033,Phase1 1F,96819028,Mon - Wed: 11:00am - 08:00pmThu - Sun: 11:00am - 09:00pm,,,3,Beauty & Cosmetics​​,Beauty;Personal Care;Skin Care,2022-01-16
Tmtplaza,Shopping,372,ARMANI,阿瑪尼,1086,Phase1 1F,26439981,"Mon - Sun, PH, Day before PH: 11:00am - 08:00pm",,,3,Beauty & Cosmetics​​,Beauty;Cosmetics;Fragrance;Personal Care;Skin Care,2022-01-16
Tmtplaza,Shopping,384,ARTCELIO,克斯洛珠寶,Kiosk 3,Phase1 3F,53868878,"Mon - Sun, PH: 12:00pm - 08:00pm",,,11,"Jewellery, Watches, Optical & Accessories​​",Accessories;Earrings;Gift;Jewellery;Necklace,2022-01-16
Tmtplaza,Shopping,436,Asics,Asics,1186,Phase1 1F,35982022,"Mon - Sun, PH, Day before PH: 11:00am - 09:00pm",,,14,Sportswear & Equipment​​,Shoes;Sportswear,2022-01-16
Tmtplaza,Shopping,248,Ausupreme,澳至尊,2106,Phase1 2F,24748027,"Mon - Sun, PH: 10:00am - 10:00pm",,,4,Health Products & Personal Care​​,Beauty;Health Care;Healthy Living;Supplements,2022-01-16
Tmtplaza,Shopping,3,AV Life,生活影音,G008,Phase1 GF,27903398,"Mon - Sun, PH, Day before PH: 11:00am - 09:00pm",,,1,Audio-Visual & Electrical Appliances,Audiovisual;Earphone;Electrical Appliances;Entertainment;TV,2022-01-16
Tmtplaza,Shopping,118,Aveda,Aveda,1031,Phase1 1F,31062866,Mon - Wed: 11:00am - 08:00pmThu - Sun: 11:00am - 09:00pm,,,3,Beauty & Cosmetics​​,Beauty;Hair Care;Personal Care,2022-01-16
Tmtplaza,Shopping,55,Bank of China (Hong Kong),中國銀行(香港),2,Phase2 GF,24508877,Mon - Fri: 09:00am - 04:00pmSat: 09:00am - 12:00pm,,,2,Banking Services​​,ATM;Bank;Wealth Management,2022-01-16
Tmtplaza,Shopping,290,Bauhaus,Bauhaus,2222,Phase1 2F,24520822,Mon - Sun: 11:30am - 09:00pm,,,9,Fashion​​,Clothing;Fashion;Ladies’ Fashion;Leather Goods;Men’s Fashion,2022-01-16
Tmtplaza,Shopping,24,Beijing Tong Ren Tang,北京同仁堂,G067,Phase1 GF,37554485,Mon - Sun: 10:00am - 08:00pm,,,4,Health Products & Personal Care​​,Chinese Medicine;Drug;Health Care;Healthy Living;Supplements,2022-01-16
Tmtplaza,Shopping,260,Best Mart 360°,優品 360°,2183,Phase1 2F,35211933,"Mon - Sun, PH: 10:00am - 09:30pm",,,8,"Department Stores, Supermarkets and Convenience Stores​​",,2022-01-16
Tmtplaza,Shopping,481,Best Ware Supply,Best Ware Supply,Kiosk 5,Phase1 3F,26036603,Mon - Sun: 12:00pm - 08:00pm,,,4,Health Products & Personal Care​​,Health Care;Healthy Living,2022-01-16
Tmtplaza,Shopping,182,Bioderma,Bioderma,1132,Phase1 1F,24042899,"Mon - Sun, PH, Day before PH: 11:00am - 08:00pm",,,3,Beauty & Cosmetics​​,Beauty;Personal Care;Skin Care,2022-01-16
Tmtplaza,Shopping,158,Bobbi Brown Cosmetics,Bobbi Brown Cosmetics,1068,Phase1 1F,34228310,"Mon - Sun, PH, Day before PH: 11:00am - 08:00pm",,,3,Beauty & Cosmetics​​,Beauty;Cosmetics,2022-01-16
Tmtplaza,Shopping,5,Broadway,百老滙,G011,Phase1 GF,21468757,Mon - Sun: 11:00am - 10:00pm,,,1,Audio-Visual & Electrical Appliances,Electrical Appliances;Home Appliances;TV,2022-01-16
Tmtplaza,Shopping,513,BRUNO,BRUNO,2195A,Phase1 2F,57142356,"Mon - Sun, PH: 11:00am - 09:00pm",,,10,Furniture & Lifestyle​​,Family;Home Decoration;Houseware;Kitchenware;Tableware,2022-01-16
Tmtplaza,Shopping,209,C.P.U.,C.P.U.,1209,Phase1 1F,21040262,"Mon - Thu: 11:30am - 09:00pmFri - Sun, PH: 11:00am - 09:30pm",,,14,Sportswear & Equipment​​,Fashion;Shoes;Sneakers,2022-01-16
Tmtplaza,Shopping,394,Calvin Klein Jeans & Underwear,Calvin Klein Jeans & Underwear,1219A,Phase1 1F,24595900,"Mon - Sun, PH: 11:00am - 08:00pm",,,9,Fashion​​,Fashion;Underwear,2022-01-16
Tmtplaza,Shopping,110,CANVAS,CANVAS,1022,Phase1 1F,28619007,Mon - Sun: 10:30am - 09:30pm,,,3,Beauty & Cosmetics​​,Beauty;Skin Care,2022-01-16
Tmtplaza,Shopping,94,Catalog,Catalog,3216,Phase1 3F,24049639,"Mon - Sun, PH: 12:00pm - 09:00pm",,,14,Sportswear & Equipment​​,Casual Wear;Fashion;Shoes;Sneakers,2022-01-16
Tmtplaza,Shopping,514,Cath Kidston,Cath Kidston,Kiosk 3,Phase1 2F,24849345,"Mon - Sun, PH, Day before PH: 11:30am - 08:30pm",,,13,Shoes & Bags​​,Bag;Ladies’ Fashion,2022-01-16
Tmtplaza,Shopping,558,Champion,Champion,1220,Phase1 1F,,,,,9,Fashion​​,Casual Wear;Fashion,2022-01-16
Tmtplaza,Shopping,475,Charlotte Tilbury,Charlotte Tilbury,1138A,Phase1 1F,90978110,"Mon - Sun, PH, Day before PH: 11:00am - 09:00pm",,,3,Beauty & Cosmetics​​,Blush;Cosmetics;Eyeshadow;Foundation;Lipstick,2022-01-16
Tmtplaza,Shopping,204,Chevignon,Chevignon,1188,Phase1 1F,62972191,"Mon - Sun, PH: 11:30am - 08:30pm",,,9,Fashion​​,Casual Wear;Jeans;Ladies’ Fashion;Men’s Fashion,2022-01-16
Tmtplaza,Shopping,250,Chicks,雞仔嘜,2111,Phase1 2F,31885018,"Mon - Sun, PH: 10:30am - 08:30pm",,,9,Fashion​​,Casual Wear;Ladies’ Fashion;Men’s Fashion;Sleepwear;Underwear,2022-01-16
Tmtplaza,Shopping,66,China Construction Bank (Asia),中國建設銀行(亞洲),9,Phase2 GF,37183118,Mon - Fri: 10:00am - 05:00pmSat: 10:00am - 01:00pm,,,2,Banking Services​​,ATM;Bank;Wealth Management,2022-01-16
Tmtplaza,Shopping,452,China Life,中國人壽海外,2103,Phase1 2F,24989618,"Mon - Sun, PH: 11:00am - 08:00pm",,,2,Banking Services​​,Insurance,2022-01-16
Tmtplaza,Shopping,390,China Mobile,自在點,36,Phase2 1F,,Mon - Sun: 11:00am - 08:30pm,,,15,Telecom​​,,2022-01-16
Tmtplaza,Shopping,8,China Mobile (Phase 1),中國移動(一期),G042,Phase1 GF,24300920,"Mon - Sun, PH, Day before PH: 10:00am - 09:00pm",,,15,Telecom​​,Local Data;Mobile Service;Roaming;Smartphone;Telecom,2022-01-16
Tmtplaza,Shopping,255,China Travel Service,香港中國旅行社,2128,Phase1 2F,24591988,"Mon - Sun, PH: 10:30am - 07:30pm",,,16,Travels & Travel Products​​,Airline Ticket;Cruise;Hotel Reservation;Travel Package;Travel Tour,2022-01-16
Tmtplaza,Shopping,30,China Unicom,中國聯通,38B,Phase2 1F,24493828,Mon - Sun: 11:00am - 09:00pm,,,15,Telecom​​,Local Data;Mobile Service;Roaming;Smartphone;Telecom,2022-01-16
Tmtplaza,Shopping,203,Chow Sang Sang,周生生,1175,Phase1 1F,21544264,"Mon - Sun, PH: 10:30am - 08:00pm",,,11,"Jewellery, Watches, Optical & Accessories​​",Diamond;Gold;Jewellery;Luxury,2022-01-16
Tmtplaza,Shopping,35,CHOW TAI FOOK,周大福,49,Phase2 1F,26182300,Mon - Sun: 11:00am - 07:30pm,,,11,"Jewellery, Watches, Optical & Accessories​​",Gold;Jewellery;Ring,2022-01-16
Tmtplaza,Shopping,192,CHOW TAI FOOK T MARK,周大福 T MARK,1158,Phase1 1F,23683298,"Mon - Sun, PH, Day before PH: 11:00am - 07:00pm",,,11,"Jewellery, Watches, Optical & Accessories​​",,2022-01-16
Tmtplaza,Shopping,517,Cilocala,Cilocala,2215,Phase1 2F,61966064,"Mon - Sun, PH, Day before PH: 11:00am - 08:30pm",,,13,Shoes & Bags​​,Backpack;Bag,2022-01-16
Tmtplaza,Shopping,18,City Chain,時間廊,27,Phase2 1F,24526073,Mon - Thu: 11:00am - 08:30pmFri - Sun: 11:00am - 09:00pm,,,11,"Jewellery, Watches, Optical & Accessories​​",Watch,2022-01-16
Tmtplaza,Shopping,151,Clarins,Clarins,1073,Phase1 1F,24865412,"Mon - Sun, PH, Day before PH: 11:00am - 08:00pm",,,3,Beauty & Cosmetics​​,Beauty;Body Care;Personal Care;Skin Care;Slimming,2022-01-16
Tmtplaza,Shopping,442,CLEAN CUT,清剪,1126,Phase1 1F,,"Mon - Sun, PH, Day before PH: 10:00am - 08:30pm",,,4,Health Products & Personal Care​​,Hair Salon,2022-01-16
Tmtplaza,Shopping,535,Clear Vision,清晰視力,3A&5A,Phase2 1F,23751866,Mon - Sun: 10:30am - 08:30pm,,,11,"Jewellery, Watches, Optical & Accessories​​",Contact Lens;Optical;Sunglasses,2022-01-16
Tmtplaza,Shopping,149,CLINIQUE,倩碧,1095,Phase1 1F,37554515,"Mon - Sun, PH, Day before PH: 11:00am - 08:00pm",,,3,Beauty & Cosmetics​​,Beauty;Cosmetics;Skin Care,2022-01-16
Tmtplaza,Shopping,16,CMK Electrical Store,張毛記電業有限公司,G060,Phase1 GF,31018208,"Mon - Sun, PH, Day before PH: 10:30am - 08:30pm",,,1,Audio-Visual & Electrical Appliances,Audiovisual;Electrical Appliances;Entertainment;Smartphone;Tablet,2022-01-16
Tmtplaza,Shopping,230,Colourmix,卡萊美,2061,Phase1 2F,28818089,"Mon - Fri: 10:30am - 09:30pmSat, Sun, PH, Day before PH: 10:30am - 09:00pm",,,3,Beauty & Cosmetics​​,Beauty;Cosmetics;Fragrance;Skin Care,2022-01-16
Tmtplaza,Shopping,208,Columbia,Columbia,1215,Phase1 1F,63910963,"Mon - Sun, PH: 11:30am - 08:30pm",,,14,Sportswear & Equipment​​,Outdoor;Shoes;Sporting Goods;Sports Accessories;Sportswear,2022-01-16
Tmtplaza,Shopping,520,Converse,Converse,3281,Phase1 3F,23567278,"Mon - Fri: 12:00pm - 09:30pmSat, Sun, PH: 11:30am - 09:30pm",,,14,Sportswear & Equipment​​,Fashion;Shoes;Sneakers;Sporting Goods;Sportswear,2022-01-16
Tmtplaza,Shopping,9,CR Care,華潤堂,3B,Phase2 1F,24301328,Mon - Sun: 10:00am - 08:00pm,,,4,Health Products & Personal Care​​,Chinese Medicine;Drug;Health Care;Healthy Living;Supplements,2022-01-16
Tmtplaza,Shopping,533,crocs,卡駱馳,2191,Phase1 2F,,"Mon - Sun, PH: 11:30am - 09:00pm",,,13,Shoes & Bags​​,,2022-01-16
Tmtplaza,Shopping,127,Crystalink,名石店,1040,Phase1 1F,24492331,"Mon - Fri: 11:00am - 08:30pmSat, Sun, PH, Day before PH: 10:30am - 08:30pm",,,11,"Jewellery, Watches, Optical & Accessories​​",,2022-01-16
