mall,type,shop_category_id,shop_category_name,update_date
Windsor,Shopping,1,Fashion & Accessories,2022-01-16
Windsor,Shopping,4,Kid's Wear / Toys / Baby Care,2022-01-16
Windsor,Shopping,5,Jewellery & Watches,2022-01-16
Windsor,Shopping,6,Home Style,2022-01-16
Windsor,Shopping,7,Audio-Visual / Computer & Digital Product / Home Applicance,2022-01-16
Windsor,Shopping,8,Personal Care & Beauty,2022-01-16
Windsor,Shopping,9,Entertainment,2022-01-16
Windsor,Shopping,10,Books & Gifts,2022-01-16
Windsor,Shopping,11,Sports Wear & Equipment,2022-01-16
Windsor,Shopping,12,Travel Accessories,2022-01-16
Windsor,Shopping,18,Service,2022-01-16
Windsor,Shopping,13,Others,2022-01-16
Windsor,Dining,14,Food & Beverages,2022-01-16
Windsor,Dining,17,Confectionery,2022-01-16
