mall,type,shop_id,shop_name_en,shop_name_tc,shop_number,shop_floor,phone,opening_hours,loyalty_offer,voucher_acceptance,shop_category_id,shop_category_name,tag,update_date
Windsor,Shopping,113,A-Fontane,雅芳婷,1209,12F,25561223,11:00 - 21:00,WINDSOR CLUB Offer,1,6,Home Style,,2022-01-16
Windsor,Shopping,45,ad-lib,ad-lib,103-104,1F,31713131,12:00 - 21:00,,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,62,As Know As Ponpoko,As Know As Ponpoko,205,2F,29831699,11:00-21:00 (Mon-Sun),WINDSOR CLUB Offer,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,126,B51 Kids,B51 Kids,217,2F,,11:00 - 21:00,,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,64,Balabala,Balabala,207,2F,22649005/22649001,10:30 - 21:30,WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,2,Belgium Diamond House,比利時鑽石中心,116,1F,23691199,11:30-20:45 (Mon-Sun),,1,5,Jewellery & Watches,,2022-01-16
Windsor,Shopping,32,Bershka,Bershka,B77,BF,23628338,11:00-22:00 (Mon-Sun),,,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,55,Bioderma,Bioderma,120,1F,25773808,11:00-22:00 (Mon-Sun),WINDSOR CLUB Offer,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,69,Book Buddy,Book Buddy,208,2F,23762230,11:00-21:00,,1,10,Books & Gifts,,2022-01-16
Windsor,Shopping,89,CD Warehouse,CD Warehouse,315,3F,37554849,11:30 – 21:30 (Mon - Sun),,,7,Audio-Visual / Computer & Digital Product / Home Applicance,,2022-01-16
Windsor,Shopping,110,Cheers,芝華仕,1203-1205,12F,27599726,11:00-21:00 (Mon-Sun),,,6,Home Style,,2022-01-16
Windsor,Shopping,70,Chicco,Chicco,214,2F,31623653,11:00 to 21:00,WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,4,Choi Fung,彩豐,121,1F,28829175,11:30 - 20:30,,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,124,CL Mall and Bricks House,CL Mall and Bricks House,308,3F,34211046(CLMall)21520602(BricksHouse),12:00-21:00 (Mon-Fri);11:00-22:00 (Sat-Sun),WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,95,D-Barn,D-Barn,323,3F,31882589,11:00 - 21:00,,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,134,Dermalogica,Dermalogica,Booth 1A,1F,26062712,11:00 - 22:00,WINDSOR CLUB Offer,,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,49,DermeElements / BB Laboratiories,Bb LABORATORIES,108,1F,28080533,11:00 - 22:00,WINDSOR CLUB Offer,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,68,Dr Kong,Dr Kong 健康鞋專門店,211,2F,28908444,11:00-22:00,WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,128,Dr. Koala,Dr. Koala,124,1F,26488588,"Mon – Fri: 11:00 – 15:30, 16:30 – 21:00;Sat, Sun, PH: 11:00 – 16:30, 17:30 - 21:00",,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,114,Dr. Pillow & Mattress,Dr. Pillow & Mattress,1210,12F,25561223,11:00 - 21:00,,1,6,Home Style,,2022-01-16
Windsor,Shopping,112,Dunlopillo,Dunlopillo,1208,12F,25452919,10:30-21:00 (Mon-Sun),WINDSOR CLUB Offer,1,6,Home Style,,2022-01-16
Windsor,Shopping,115,EF English Center,EF English Center,1306-1307,13F,31130485,10:00-21:00 (Mon-Fri);10:00-20:00 (Sat);11:00-18:00 (Sun),,,18,Service,,2022-01-16
Windsor,Shopping,30,elink Box,易領站,B10A,BF,N/A,11:00-23:00 (Mon-Sun),,,18,Service,,2022-01-16
Windsor,Shopping,83,Emmas,Emmas,304,3F,21559056,11:00 - 21:00,WINDSOR CLUB Offer,1,6,Home Style,,2022-01-16
Windsor,Shopping,118,EUGENE baby,荷花親子,16/F,16F,26283393,11:00 - 21:00,WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,59,FANCL,FANCL,125,1F,31853624,11:00-22:00 (Mon-Sun),,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,100,FARBE Sofa Design,FARBE Sofa Design,"1002-1003, 1025-1029",10F,23680628,11:30 - 20:30,,,6,Home Style,,2022-01-16
Windsor,Shopping,41,Flavor Viola,Flavor Viola,G20,GF,28080930,11:30-21:30 (Mon-Sun),WINDSOR CLUB Offer,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,103,Fujifilm Studio,Fujifilm Studio,1013,10F,26738835,11:30-20:00 (Mon-Sun),,,7,Audio-Visual / Computer & Digital Product / Home Applicance,,2022-01-16
Windsor,Shopping,136,GOOD IDEA Furniture & Design,雅詩傢居設計,1006 - 1011,10F,26902030,11:00 - 21:00,WINDSOR CLUB Offer,1,6,Home Style,,2022-01-16
Windsor,Shopping,96,Grand Windsor Cinema,皇室戲院,4/F,4F,21290148,"11:00-22:00 (Mon-Fri);09:00-22:00 (Sat, Sun & PH)",WINDSOR CLUB Offer,1,9,Entertainment,,2022-01-16
Windsor,Shopping,31,GU,GU,"B26, B72, B73, B75 & B76",BF,22198628,11:00-22:00 (Sun-Thu);11:00-23:00 (Fri-Sat),,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,47,h2o+/ Eurobeauté,h2o+/ Eurobeauté,106,1F,25060588,11:00-21:00 (Mon-Sun),WINDSOR CLUB Offer,,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,52,Hallmark,Hallmark,111,1F,25627312,10:00-22:00 (Mon-Sun),WINDSOR CLUB Offer,1,10,Books & Gifts,,2022-01-16
Windsor,Shopping,106,High Talent Computer Systems Limited,智高電腦系統有限公司,1019,10F,28821078,10:00-19:00 (Mon-Sat),,,7,Audio-Visual / Computer & Digital Product / Home Applicance,,2022-01-16
Windsor,Shopping,53,Hisso,Hisso,117,1F,37934167,12:00 - 21:30,WINDSOR CLUB Offer,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,142,Hong Kong Design by HONG KONG OAPES,港設計 by 香港猿創,306,3F,-,"Mon - Fri: 12:00 - 21:00;Sat, Sun: 11:00 - 21:00",,,10,Books & Gifts,,2022-01-16
Windsor,Shopping,105,Hong Kong Post,香港郵政局,1015-1018,10F,28953636,10:30-18:00 (Mon-Fri);;10:30-14:00 (Sat),,,18,Service,,2022-01-16
Windsor,Shopping,104,i-mobile company,i-mobile company,1014,10F,28810778,12:00-20:00 (Mon-Sun),WINDSOR CLUB Offer,1,7,Audio-Visual / Computer & Digital Product / Home Applicance,,2022-01-16
Windsor,Shopping,123,i-mobile company,i-mobile company,1024,10F,28810778,12:00-20:00,WINDSOR CLUB Offer,1,7,Audio-Visual / Computer & Digital Product / Home Applicance,,2022-01-16
Windsor,Shopping,131,JEKCA,JEKCA,301,3F,36190949,-,,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,71,Jumpin Gym U.S.A,美國冒險樂園,215 & 216B,2F,28949322,11:00-22:00 (Sun-Thus);;11:30-23:00 (Fri-Sat),WINDSOR CLUB Offer,1,9,Entertainment,,2022-01-16
Windsor,Shopping,146,Kindanaturals,Kindanaturals,220,2F,,12:00 - 20:00,WINDSOR CLUB Offer,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,1,KING KOIL Gallery,KING KOIL Gallery 愛皇健,302,3F,28051688,11:00 am - 10:30 pm,,1,6,Home Style,,2022-01-16
Windsor,Shopping,102,KING KOIL Gallery,KING KOIL Gallery 愛皇健,1308-1309,13F,28057688,11:45 - 20:45,,1,6,Home Style,,2022-01-16
Windsor,Shopping,67,Kingkow,Kingkow,210,2F,28084432,11:00-21:00 (Sun-Mon);11:00-21:30 (Fri-Sat),,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,56,Kiss,Kiss,122,1F,28909396,11:00-21:00 (Mon-Sun),,,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,60,Kyle & Vivian,Kyle & Vivian,201,2F,55318660,11:00 - 20:00,,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,63,La Compagnie des Petits,La Compagnie des Petits,206,2F,28822240,11:00-21:30 (Mon-Sun),WINDSOR CLUB Offer,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,116,M2,M2,1310-1312,13F,37047966,11:30-21:00 (Mon-Sun),WINDSOR CLUB Offer,,6,Home Style,,2022-01-16
Windsor,Shopping,75,Magic Mirror,Magic Mirror,218,2F,28822122,10:30 - 19:00 (Mon-Sun),,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,88,Mannings,Mannings,311-312,3F,25633343,10:00-22:30 (Mon-Sun),,,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,86,MARKTOYS,MARKTOYS,309,3F,94234557,11:00 - 21:00,,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,91,MAYTOYS,五月玩具,317A & 317B,3F,36752095,12:00 - 22:00,,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,48,Meka,美康,107,1F,23516711,11:00-22:00 (Mon-Sun),WINDSOR CLUB Offer,1,8,Personal Care & Beauty,,2022-01-16
Windsor,Shopping,80,MiDes,MiDes,222,2F,28901982,10:30-21:00 (Sun-Thu);10:30-22:00 (Fri-Sat),,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,76,mimi mono,奈美良一,219,2F,-,11:00-21:00,,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,66,Momonittu,Momonittu,209,2F,26928988,11:00-21:00 (Mon-Fri);11:00-21:30 (Sat-Sun),,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,132,Mr. Tree,大樹先生的家,1501-1505,15F,36190633,"Weekday :;12:00-15:00, 15:30-18:00, 18:30-21:30;;Weekend:;09:30-12:00 ; 12:30-15:00 ; 15:30-18:00 ; 18:30-21:00",,1,9,Entertainment,,2022-01-16
Windsor,Shopping,73,My Little Korner,My Little Korner,216C,2F,31051972,Mon – Thur: 11:00 - 20:00;Fri – Sun: 11:00 - 21:00,WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,44,Optical 88,Optical 88,101-102,1F,28907219,11:00 – 21:00 (Sun – Thur);11:00 – 21:30 (Fri-Sat),WINDSOR CLUB Offer,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,79,Organic Mom,Organic Mom,221,2F,28122283,11:00-21:00 (Sun-Thur);11:00-22:00 (Fri-Sat),WINDSOR CLUB Offer,1,4,Kid's Wear / Toys / Baby Care,,2022-01-16
Windsor,Shopping,29,ORiental TRaffic,ORiental TRaffic,B1,BF,-,11:00 - 22:00,,1,1,Fashion & Accessories,,2022-01-16
Windsor,Shopping,72,partywhere?,partywhere?,216A,2F,26832733,11:00 - 21:00,,,4,Kid's Wear / Toys / Baby Care,,2022-01-16
