mall,type,shop_category_id,shop_category_name,update_date
K11Musea,Shopping,1001,Beauty & Personal Care,2021-12-29
K11Musea,Shopping,1002,Electronics & Gadgets,2021-12-29
K11Musea,Shopping,1003,Entertainment,2021-12-29
K11Musea,Shopping,1004,Fashion – Men,2021-12-29
K11Musea,Shopping,1005,Fashion – Women,2021-12-29
K11Musea,Shopping,1006,Jewellery & Watches,2021-12-29
K11Musea,Shopping,1008,Lifestyle,2021-12-29
K11Musea,Shopping,1009,Services,2021-12-29
K11Musea,Shopping,1007,Kids & Edutainment,2021-12-29
K11Musea,Shopping,1010,"Shoes, Bags & Accessories",2021-12-29
K11Musea,Shopping,1011,Sports & Wellness,2021-12-29
K11Musea,Shopping,1012,Supermarket,2021-12-29
K11Musea,Shopping,1025,New,2021-12-29
K11Musea,Dining,13,Asian Delicacies,2021-12-29
K11Musea,Dining,14,Café & Confectionery,2021-12-29
K11Musea,Dining,15,Chinese Cuisine,2021-12-29
K11Musea,Dining,16,Food Playground,2021-12-29
K11Musea,Dining,17,Western Gourmet,2021-12-29
K11Musea,Dining,18,Taste Chamber,2021-12-29
K11Musea,Dining,20,New,2021-12-29
K11Musea,Dining,21,Coffee Hub,2021-12-29
K11Musea,Dining,23,MUSEA Cocktail Hour,2021-12-29
